METRO;CAPITAL;IPS;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;DEMA;DESMAR;MORTR;MORTI;MORT;MORTINF;HOSP;SUBN;AGUA;ESG;IAGUA;PAGUA;COLETA;LUZ;PAREDE;PISO;ASSJ;ASSM;MORTAT;HOMI;ABNEF;ABNEM;EVSEM;DSTIEM;IDEBF;REPM;INTER;BANDA;TELM;QINTM;EXPVIDA;MRT1550;MRTCRN;OBS;SUI;VERDE;CO2;CALOR;VUNEC;VEG;DIRH;JUS;CULT;GRAV19;PARQUE;TRABI;VMULHER;ESUP;ENEM;FBE14;AG;PEC
0;0;50,95;684872,92;734469,33;32619,88;ADM;22516;46359332,7;33,94;2,25;44;4,36;141,04;10,87;2607,03;5,17;25,46;4,04;46,72;55,66;54,5;94,43;87,24;96,65;20,95;18,78;13,96;13,96;0,7;5,8;7,9;19,6;4,8;2,3;67,01;10,78;62,24;94,83;70,75;2,7;603,96;20,5;13,96;1,45;122,22;109,79;51,82;22,41;12;0,91;3;17,39;4,31;6,75;544,6;50,7;545,59;4,8;0;0
0;0;55,97;2789566,04;3209761,4;28878,27;SERV;111148;397778565,8;74,99;1,48;55,7;0,95;168,36;23,26;1042,75;4,86;48,11;6,13;84,7;32,94;91,06;90,81;90,97;96,54;33,8;10,24;28,92;26,85;1,5;10;9,7;20,5;4,85;3,3;86,27;28,04;91,22;96,23;73,36;2,49;496,15;27,15;8,26;2,35;21,93;13,01;49,41;43,3;5;1,09;7;13,95;3,52;0,59;386,94;50,78;543,39;4,85;0;0
0;0;51,36;227218,94;238411,63;47051,83;AGR;5067;7386748,67;76,04;0,55;57,83;3,15;158,69;22,02;2348,53;4,32;40,75;18,92;48;43,93;66,74;80,84;91,63;98,9;128,76;37,78;37,38;37,38;0,18;0,6;4,8;14,3;5;5,3;48,63;3,58;61,13;94,96;70,39;2,42;418,8;26,82;18,69;2,3;103,91;44,75;56,05;45,36;5;1,07;3;15,63;5,11;0;151,11;42,96;472,13;5;1;0
0;0;61,85;2407776,11;2792382,76;32313,26;SERV;86416;350597003,7;66,82;1,04;36,09;3,49;184,7;11,09;1330,77;4,37;81,41;70,72;78,81;51,83;84,87;85,29;92,11;99,06;14,42;2,26;90,92;14,96;0,3;4;5,6;14,3;5,4;4;83,06;21,68;89,77;95,72;74,27;1,68;532,41;25,06;6,91;5,08;17,45;4,95;51,33;26,44;6;0,97;6;11,6;2,33;2,06;227,76;55,65;546,47;5,4;0;0
0;0;58,71;611133,44;743037,38;46185,81;COM;16088;50204652,23;29,44;0,49;24,69;2,33;108,85;3,68;1970,41;5,04;39,37;19,6;64,1;54,94;89,16;97,89;98,31;98,91;40,14;9,67;37,76;25,17;0,4;5;6,6;17;5,35;4;89,17;8,37;91,54;95,54;72,94;2,42;360,97;27,77;6,29;0,82;50,69;21,4;50,39;15,76;7;1,05;3;15,81;1,89;0,99;24,93;44,97;545,9;5,35;0;0
0;0;59,6;391795,89;424806,6;27923,92;ADM;15213;34640669,76;82,53;0,21;90,07;0;193,23;24,39;834,81;5,57;78,32;5,08;86,53;66,07;87,14;90,61;59,65;93,91;18,67;12,72;25,54;12,77;0,3;2,5;4,5;13,2;5,65;3,4;79,29;1,43;91,75;95,77;73,81;1,8;341,44;25,22;12,77;5,62;40,76;2,55;52,46;32,64;2;1,07;3;8,78;6,68;16,28;38,16;36,35;551,74;5,65;0;0
0;0;55,14;380657,15;396727,61;56257,46;AGR;7052;14416485,57;71,06;0,38;27,7;2,31;144,9;38,83;553,03;3,9;18,54;18,3;29,5;27,78;48,67;93,82;68,33;96,22;0;0;13,3;15,96;0,3;0,5;10,6;17,7;5,35;0,5;39,73;2,45;34,47;96,2;71,45;1,55;327,51;23,02;13,3;0,36;156,56;45,22;62,64;44,95;8;1,05;2;15,53;1,13;12,51;22,2;41,5;509,63;5,35;1;0
0;0;51,47;304914,21;316670,55;16446,15;ADM;19255;12503276,56;39,4;5,63;37,24;0;164,21;13,76;467,41;4,61;15,25;61,44;18,85;73,65;60,77;92,26;94,3;93,85;18,74;2,44;7,92;23,76;1,3;1,7;5,9;22;4,7;7,2;51,74;7,08;41,53;95,03;70,04;2,21;454,09;23,5;9,5;0,87;149,3;136,22;52,41;34,63;6;1,02;2;16,06;2,38;2,13;213,53;38,42;474,25;4,7;0;0
0;0;54,92;695797,64;773380,51;23429,38;ADM;33009;45454358,88;47,09;1,02;27,53;3,06;142,4;15,15;1175,44;4,96;38,17;5,17;48,41;15,66;71,64;84,43;59,51;96,36;12,56;6,82;34;23,8;0,4;4,3;6,7;11,2;5,2;2,3;69,96;12,04;57,16;95,77;74,15;2,85;407,91;23,45;23,8;1,77;42,23;14,63;52,9;26,33;3;0,93;5;15,8;4,8;0,37;68,24;36;505,94;5,2;0;0
0;0;54,61;873487,82;1054178,55;22462,79;ADM;46930;102533632,8;6,41;4,13;51,55;6,44;178,61;21,39;2015,77;4,53;33,35;75,37;43,31;76,42;76,47;87,86;84,99;86,84;8,17;3,53;7,62;15,23;1,4;4,8;8;28,6;4,6;7,6;83,96;12,01;79,56;94,53;74,39;2,54;574,26;20,63;7,62;1,09;36,96;85,31;59,96;4,1;7;0,98;3;19,92;2,11;1,98;101,74;34,54;497,84;4,6;0;0
0;0;56,73;1526986,65;1765088,79;34294,21;SERV;51469;233363443,9;89,04;0,52;23,25;3,87;169,16;14,61;1140,49;5,5;38,2;1,09;50;62,59;81,78;83,73;91,77;99,09;15,91;3,9;15,81;13,84;0,5;7;7;17,6;5,2;2,3;76,73;25,44;87,09;96,81;74,51;1,63;421,52;22,17;5,93;2,21;27,71;8,5;53,31;42,54;5;0,91;3;16,29;4,18;1,03;113,14;49,82;526;5,2;0;0
0;0;56,12;3511481,52;4231113,13;32292,16;SERV;131026;647301255,6;37,71;0,26;40;0,77;164,04;11,44;902,87;4,82;53,05;15,16;69,49;50,97;92,22;88,88;76,92;98,24;71,86;17,41;16,89;45,84;0,4;6,5;7,3;16,8;5,25;4,8;91,04;26;89,16;96,32;73,6;2,68;371,84;27,08;16,09;3,38;11,23;5,47;58,03;15,17;2;1;7;12,19;3,62;0,47;267,51;54,69;539,54;5,25;0;0
