IBGE;ESTADO;IPS;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1100015;RO;56,39;67,67;61,75;39,75;90,96;30,63;88,12;60,95;78,31;14,37;82,91;71,43;42,61;56,72;40,46;19,21;9,01;53,62;4,40;4,36;5,53;25,52;4,56;46,72;59,19;94,74;95,13;96,57;17,16;4,00;17,60;4,00;22,00;0,20;13,70;19,60;4,80;4,10;8,41;1,57;73,16;0,36;44,00;52,80;118,80;44,00;8,80;42,22;33,94;2,25;122,22;12,92;60,00;4,80;12,00;0,00;3,00;17,72;2,51;24,32;40,24;5,00;308,73;42,11;3,00;29,22;19,94
1100023;RO;58,03;72,15;59,74;42,19;90,09;54,80;94,71;49,00;77,38;29,31;78,40;53,89;24,92;68,33;60,71;14,81;11,94;132,71;11,87;0,95;4,97;45,32;6,22;84,70;90,86;98,63;93,88;94,34;33,73;5,00;24,65;5,00;22,83;0,80;11,50;20,50;4,85;5,90;20,79;5,37;101,62;0,90;47,48;77,61;130,57;55,70;12,78;0,00;74,99;1,48;21,93;1,31;61,54;2,79;5,00;0,00;6,00;17,65;0,69;28,93;103,09;5,00;70,08;76,08;3,00;22,45;15,43
1100031;RO;56,38;63,54;53,41;52,20;75,69;41,53;92,10;44,82;83,77;14,66;63,12;52,08;28,75;62,13;99,39;18,53;43,48;0,00;56,48;3,15;4,18;40,42;27,95;48,00;66,27;98,96;99,26;97,64;114,35;6,00;19,28;4,00;57,83;0,20;7,70;14,30;5,00;2,30;5,71;2,35;79,93;0,31;57,83;115,65;231,30;57,83;57,83;0,08;76,04;0,55;103,91;5,33;66,67;7,52;5,00;0,00;3,00;11,59;0,00;39,13;0,00;1,00;7,22;0,00;1,00;28,02;19,34
1100049;RO;63,98;76,56;63,87;51,52;88,93;77,77;95,21;44,32;87,78;30,10;74,15;63,45;44,76;73,34;65,72;22,28;18,87;226,42;8,15;3,49;4,70;81,61;62,36;78,81;86,07;99,56;95,15;97,80;23,66;5,00;18,63;4,00;91,98;0,10;5,40;14,30;5,40;0,40;19,02;5,74;113,71;0,78;46,57;135,05;171,14;36,09;16,30;25,67;66,82;1,04;17,45;0,51;83,33;5,36;6,00;8,00;6,00;12,15;1,61;17,13;27,27;5,00;111,11;33,61;2,00;34,20;22,94
1100056;RO;60,96;68,71;66,08;48,09;90,43;44,71;97,12;42,56;85,98;21,71;81,58;75,03;37,54;61,07;77,85;15,92;7,44;76,05;12,34;2,33;5,13;37,62;16,34;64,10;89,16;98,78;99,85;98,78;52,27;6,00;30,86;5,00;30,86;0,30;7,20;17,00;5,35;0,50;7,30;4,17;115,18;0,76;37,03;92,57;141,94;24,69;6,17;40,68;29,44;0,49;50,69;2,11;77,78;3,46;7,00;3,00;3,00;13,01;0,00;34,57;0,00;1,00;60,84;60,48;3,00;24,80;16,16
1100064;RO;60,39;74,47;58,84;47,87;91,13;71,06;85,05;50,64;88,32;23,47;70,95;52,61;26,46;59,24;89,34;16,43;4,67;467,29;6,43;0,00;5,64;78,32;6,03;86,53;87,47;99,33;60,34;93,45;29,59;5,00;25,73;5,00;12,87;0,48;6,20;13,20;5,65;0,70;10,57;3,75;120,35;0,80;38,60;135,10;167,27;90,07;12,87;0,00;82,53;0,21;40,76;0,26;63,64;6,69;2,00;4,00;3,00;12,81;6,12;46,80;0,00;1,00;25,56;9,97;2,00;23,66;17,88
1100072;RO;53,67;56,56;57,25;47,20;83,85;21,78;72,54;48,06;83,17;9,72;81,34;54,76;30,23;54,96;88,95;14,64;56,08;0,00;6,86;2,31;4,46;17,15;16,38;29,50;47,34;93,66;69,06;73,13;28,28;5,00;13,85;4,00;69,25;1,34;10,00;17,70;5,35;1,30;2,95;1,89;52,88;0,43;41,55;69,25;110,80;27,70;13,85;9,07;71,06;0,38;156,56;5,25;44,44;4,85;8,00;0,00;2,00;14,95;1,49;42,06;0,00;1,00;30,08;21,16;2,00;23,68;14,32
1100080;RO;55,25;63,38;57,89;44,49;89,58;24,35;77,66;61,94;71,92;7,12;84,96;67,57;31,63;48,77;88,71;8,84;26,32;0,00;5,32;0,00;4,98;15,12;69,31;18,85;61,01;90,94;98,56;54,39;18,86;4,00;15,96;4,00;15,96;3,10;19,90;22,00;4,70;4,00;3,97;0,82;36,55;0,33;42,56;47,88;37,24;37,24;5,32;39,09;39,40;5,63;149,30;11,58;55,56;1,92;6,00;4,00;2,00;22,63;0,86;33,16;0,00;1,00;32,96;44,29;2,00;13,35;9,24
1100098;RO;58,58;66,61;63,08;46,06;90,51;36,98;82,54;56,43;85,06;14,14;84,79;68,33;21,94;63,18;85,26;13,85;10,62;42,02;9,18;3,06;5,06;37,31;5,43;48,41;74,23;97,44;62,06;94,38;24,96;5,00;18,35;4,00;18,35;0,90;9,00;11,20;5,20;0,90;9,18;1,90;62,71;0,24;18,35;100,93;100,93;27,53;9,18;31,06;47,09;1,02;42,23;1,39;63,64;5,11;3,00;0,00;4,00;15,50;0,00;20,59;0,00;1,00;73,62;26,37;2,00;20,96;14,45
1100106;RO;61,80;72,40;66,41;46,60;88,03;43,32;87,51;70,72;72,37;17,77;83,23;92,29;43,37;48,11;85,22;9,70;23,31;466,20;2,15;6,44;4,54;33,86;74,42;43,31;78,72;89,52;95,25;84,17;27,77;5,00;4,30;2,00;12,89;1,60;21,70;28,60;4,60;1,60;7,79;3,29;85,50;1,46;30,07;66,59;83,77;51,55;6,44;90,50;6,41;4,13;36,96;7,48;76,92;1,10;7,00;8,00;2,00;20,86;2,35;81,12;2,25;2,00;25,90;15,77;2,00;14,77;10,06
