ANO;ISNA;ALGODAOH;AMENDOIM;ARROZ;BATATAD;CEBOLA;FAVA;FEIJAO;FUMO;MAMONA;MELANCIA;MELAO;MILHO;SOJA;TOMATE
2003;>0,65;6024;647;36904;2186;5;3482;163236;253;280;295;13;249747;71560;1063
2003;0,65;35005;666;43549;1898;10;4935;85981;3577;1325;891;216;172068;349050;1150
2003;0.6;27792;925;43399;1795;571;2971;167952;2531;7150;2049;175;271694;318619;3405
2003;0.55;17793;491;29808;1891;571;9532;719879;8274;37162;1970;190;728094;18860;3606
2003;0.5;28540;460;69228;1274;705;8064;614607;1309;29316;6790;4429;587733;49679;1717
2003;0,45;35716;1935;42438;1124;9156;4403;658703;361;54293;4760;8442;714313;25245;2199
2004;>0,65;8229;1158;39540;2336;2;3790;164775;21;2120;260;31;255689;85164;1143
2004;0,65;95792;876;48726;1859;3;5301;85864;2687;2348;789;236;194945;357876;752
2004;0.6;60073;859;48003;1362;350;3760;174023;1715;7671;1359;65;286207;303532;3399
2004;0.55;24405;502;33383;2071;301;9426;749880;10733;40069;2373;261;699202;15414;3938
2004;0.5;59313;374;79440;2077;825;7791;586049;1329;35808;7435;3980;553450;66686;1763
2004;0,45;44143;3107;55236;1197;9089;4695;718555;369;80455;6763;8119;743609;37130;2367
2005;>0,65;10612;1267;43368;2149;1;3335;147341;41;6340;285;71;245775;119238;1228
2005;0,65;119295;1551;51747;1919;2;4089;76166;3188;2776;1088;156;165664;377028;835
2005;0.6;72662;820;50925;1551;280;3758;181964;2415;9655;1243;44;286783;315751;3448
2005;0.55;28188;658;35259;2358;289;10073;702369;9546;44756;2238;148;675048;17522;4168
2005;0.5;55016;501;81198;1858;766;7329;506618;1428;48056;6953;3699;489860;77739;1708
2005;0,45;39396;2028;55664;1357;11727;4273;660773;323;116426;10781;9083;688413;44146;2413
2006;>0,65;10157;1331;44862;2080;5;3491;149788;63;2799;428;94;252080;127214;1408
2006;0,65;121195;1341;43220;1398;2;5300;81647;3206;2688;978;200;165482;378913;776
2006;0.6;74027;861;43848;1644;334;3631;188801;2908;8759;2349;34;291660;317090;3496
2006;0.55;21025;834;31074;2516;363;9505;715588;11437;38677;2902;105;741099;17444;4087
2006;0.5;32936;615;69111;1884;908;8341;534146;1486;28363;6235;3685;552149;92553;2128
2006;0,45;31047;1521;41640;1217;14554;4717;658647;332;68108;12277;14454;688732;51034;2896
2007;>0,65;14342;801;42447;2197;15;3353;158911;62;2812;260;105;265428;121190;1200
2007;0,65;150774;1560;48291;1483;2;6322;94910;3424;2525;1014;452;185647;374330;934
2007;0.6;91549;711;41590;1500;334;3422;179632;2201;10299;3016;20;315352;313170;2265
2007;0.55;18190;685;30965;2533;225;6599;631720;10779;38663;3338;194;725372;17860;3985
2007;0.5;28897;593;68779;1642;512;7887;496288;1571;32834;5760;3152;556609;79742;1658
2007;0,45;18880;1068;48693;916;14962;4788;619851;290;69373;13085;15405;736293;47688;2879
2008;>0,65;15121;920;43647;2290;4;4791;171250;40;7066;282;88;268739;135030;1164
2008;0,65;169413;1552;46176;2095;2;6846;95893;1706;2618;988;270;191208;373600;996
