IBGE;MUNIC;UF;REG;CAP;AMZ;SEMIAR;IPS25;POP;PIB21;PIBPC21;IVCM;CADPBF;CADPES;CADPBFPERC;RENDATOT;RENDAHOM;RENDAMUL;AREAFLOR;AREANFLOR ;AREAAGRO;AREANVEG;AREAAGUA;AREANAOBSV
1100015;Alta Floresta D'Oeste;RO;Norte;Não;1;0;53,60308054;22787;734469;34420,33236;51,82;110933;419659;26,434081;2154,81;2222,31;2039,49;378179,5853;88659,11338;233204,1941;1047,500026;4683,212921;90,3965347
1100023;Ariquemes;RO;Norte;Não;1;0;55,91746715;109170;3209761;33389,3637;49,41;428306;1519375;28,18961744;2569,41;2826,7;2208,77;135513,0772;3220,140043;288204,5688;8901,836035;6741,027395;27,74717125
1100031;Cabixi;RO;Norte;Não;1;0;52,10384477;5664;238412;44879,91172;56,05;19542;85135;22,95413167;2281,93;2305,79;2233,6;37881,98614;2558,864184;89799,17926;412,6536066;542,5522892;13,65314995
1100049;Cacoal;RO;Norte;Não;1;0;60,94687316;98280;2792383;32372,70703;51,33;360264;1402694;25,68372004;2781,78;3081,22;2389,85;142533,1327;998,5119657;230628,7722;3893,831593;1217,167968;20,87855505
1100056;Cerejeiras;RO;Norte;Não;1;0;59,24029762;16966;743037;47102,65388;50,39;76676;267970;28,61365078;2741,65;3016,56;2329,11;93795,41852;97813,74456;85634,85868;910,0784931;128,5470704;40,24198754
1100064;Colorado do Oeste;RO;Norte;Não;1;0;59,20712429;16508;424807;27319,67638;52,46;29282;155881;18,78484228;2753,72;2997,71;2389,04;32589,21518;2382,872586;109012,4603;1039,940338;72,29414877;7,932514337
1100072;Corumbiara;RO;Norte;Não;1;0;54,77777008;7968;396728;53148,5722;62,64;21224;105856;20,04987908;2202,29;2361,86;1815,26;99686,93323;5161,685527;200391,5354;423,1338766;352,7022923;14,82007193
1100080;Costa Marques;RO;Norte;Não;1;0;53,62473592;13510;316671;25261,95441;52,41;147735;394143;37,48258881;2001,88;2176,14;1646,46;286103,9419;14656,76676;190995,7881;1703,289313;3803,221273;45,2624316
1100098;Espigão D'Oeste;RO;Norte;Não;1;0;55,70782955;32842;773381;26484,89431;52,9;106959;464336;23,03482823;2389,36;2525,73;2154,81;249154,2289;5792,015969;195090,7519;1390,130126;345,0329502;28,67750332
1100106;Guajará-Mirim;RO;Norte;Não;1;0;53,95000455;43594;1054179;26960,02505;59,96;403372;1089160;37,03514635;2261,61;2419,18;2016,61;2247877,641;80878,38482;131829,3526;2129,786543;18358,39516;136,8835571
1100114;Jaru;RO;Norte;Não;1;0;57,02876516;55682;1765089;35144,07997;53,31;197022;793868;24,81797982;2550,38;2796,1;2165,34;42064,86368;2431,969518;247355,0889;1787,589638;772,1424531;2,022572589
1100122;Ji-Paraná;RO;Norte;Não;1;0;60,66983813;140101;4231113;34278,91328;58,03;447534;1771802;25,25869143;2550,73;2810,22;2183,8;452343,8998;3962,623783;223804,1095;4960,305217;4566,94965;22,07425721
1100130;Machadinho D'Oeste;RO;Norte;Não;1;0;51,71251733;34149;890320;29205,69694;51,3;178773;682469;26,19503597;1977,88;2105,73;1750,44;464434,5763;29278,42758;346240,1402;3059,946112;7884,01667;18,97988068
