IBGE;MUNIC;UF;ARRECADA;VABAGRO;VABIND;VABSER;VABSER;VABTOT;IMPLIQ;POP21;PIB;PIBPC;VAB1;VAB2;VAB3;RPC;PATLIQP;RMDEC;PATLIQD;POBE23;POB23;CADU
1100015;Alta Floresta D'Oeste;RO;46359332,7;311468,683;27847,187;172435,421;173121,632;684872,922;49596,402;22516,00;734469,325;32619,88;ADM;PEC;AGR;624,13;23058,88;6243,50;230669,96;2914;2548;12779
1100023;Ariquemes;RO;397778565,8;293000,779;406329,129;1307929,918;782306,216;2789566,041;420195,36;111147,98;3209761,401;28878,27;DMS;ADM;COM;895,10;25168,53;7357,14;206869,28;8963;9107;40689
1100031;Cabixi;RO;7386748,67;136659,3;8115,023;35865,371;46579,249;227218,943;11192,685;5067,00;238411,628;47051,83;AGR;PEC;ADM;442,79;30141,46;4238,39;288512,76;380;505;2488
1100049;Cacoal;RO;350597003,7;341314,544;236722,362;1200629,836;629109,371;2407776,113;384606,648;86416,00;2792382,761;32313,26;DMS;ADM;COM;1215,87;34330,13;8068,19;227805,77;10662;7481;41286
1100056;Cerejeiras;RO;50204652,23;151690,475;27412,337;308666,016;123364,617;611133,444;131903,932;16088,00;743037,376;46185,81;COM;DMS;ADM;850,33;35699,21;5696,04;239136,00;1979;1461;7704
1100064;Colorado do Oeste;RO;5959084,07;123523,517;28793,808;124597,87;114880,697;391795,891;33010,713;15213,00;424806,604;27923,92;ADM;PEC;DMS;943,83;36937,22;6256,22;244841,02;615;675;4708
1100072;Corumbiara;RO;14416485,57;260728,227;14003,212;45390,532;60535,181;380657,153;16070,461;7052,00;396727,614;56257,46;AGR;PEC;ADM;417,42;31200,67;4317,72;322734,73;627;784;3630
1100080;Costa Marques;RO;12503276,56;116782,743;6682,093;53392,408;128056,964;304914,208;11756,339;19255,00;316670,546;16446,15;ADM;PEC;DMS;270,99;7794,63;4220,42;121394,74;5271;1517;10019
1100098;Espigão D'Oeste;RO;45454358,88;202433,801;54689,167;221164,133;217510,539;695797,64;77582,867;33009,00;773380,507;23429,38;ADM;PEC;DMS;513,28;16026,00;5822,99;181807,80;3693;2648;14452
1100106;Guajará-Mirim;RO;3187038,74;77441,552;40473,286;436337,647;319235,34;873487,824;180690,724;46929,99;1054178,548;22462,79;ADM;COM;DMS;656,67;5911,06;6303,47;56741,30;12455;5252;28013
1100114;Jaru;RO;233363443,9;280710,555;177921,892;688494,431;379859,774;1526986,651;238102,138;51469,00;1765088,789;34294,21;DMS;ADM;COM;947,50;31678,96;7498,10;250692,62;3764;5220;23119
1100122;Ji-Paraná;RO;80598640,11;206344,829;502877,101;1926120,951;876138,636;3511481,516;719631,618;131026,02;4231113,134;32292,16;DMS;ADM;COM;1019,37;24962,71;7131,27;174632,87;8727;10040;50977
1100130;Machadinho D'Oeste;RO;35599443,07;352193,201;34664,121;174794,546;275752,76;837404,628;52915,767;41724,00;890320,395;21338,33;ADM;PEC;DMS;322,36;11069,46;4531,85;155615,95;2354;5693;18690
1100148;Nova Brasilândia D'Oeste;RO;10003843,79;228450,895;24608,394;114351,055;142582,174;509992,518;38741,854;20504,00;548734,372;26762,31;ADM;AGR;PEC;403,69;18053,41;5248,20;234705,80;3962;1475;11486
1100155;Ouro Preto do Oeste;RO;79607184,73;216209,007;71159,689;352557,126;249016,476;888942,298;96925,506;35445,00;985867,804;27814,02;ADM;DMS;PEC;845,01;23198,37;6325,50;173657,36;3347;3081;17910
1100189;Pimenta Bueno;RO;358535671,5;297492,054;207602,978;550809,21;280779,155;1336683,397;305833,083;37098,00;1642516,481;44275,07;DMS;ADM;COM;1000,63;27875,95;6895,39;192095,09;2118;2172;13280
1100205;Porto Velho;RO;3762257858;1041284,612;4627967,986;7555512,423;3983359,174;17208124,19;2851397,662;548951,94;20059521,86;36541,49;DMS;ADM;ELET;1251,56;20420,90;8202,01;133826,98;109112;44472;245002
1100254;Presidente Médici (Rondônia);RO;65185674,04;183438,443;50521,485;140111,046;134436,852;508507,827;51481,698;18165,00;559989,525;30827,94;PEC;ADM;DMS;114,88;3680,86;4563,04;146200,55;5255;1868;13372
1100262;Rio Crespo;RO;6533067,94;115354,219;7564,998;18756,471;36556,852;178232,54;6197,629;3843,00;184430,169;47991,2;AGR;PEC;ADM;348,79;-94,59;4704,98;-1275,90;427;359;1776
1100288;Rolim de Moura;RO;132064230,8;194673,218;171633,629;606264,196;411623,166;1384194,208;180999,77;55747,99;1565193,978;28076,24;ADM;DMS;COM;943,22;31670,98;7138,47;239693,19;1740;4477;21952
1100296;Santa Luzia D'Oeste;RO;60576374,8;106979,911;13055,97;33183,748;51633,282;204852,912;8703,091;5942,00;213556,003;35940,09;PEC;ADM;DMS;530,14;18552,31;5411,10;189361,51;1272;584;4454
1100304;Vilhena;RO;601198937,1;674880,42;368862,791;1712224,753;777251,976;3533219,941;681825,82;104516,99;4215045,761;40328,81;COM;DMS;ADM;1245,61;41233,25;7961,16;263537,50;4056;9006;38654
1100320;São Miguel do Guaporé;RO;21972209,7;381638,945;82313,683;199587,107;176033,832;839573,567;65761,708;23147,00;905335,275;39112,42;AGR;ADM;DMS;412,99;14136,34;5309,51;181740,61;1448;2663;11795
1100338;Nova Mamoré;RO;17873308,98;344262,837;21482,116;129299,408;214671,737;709716,099;32970,961;32184,00;742687,06;23076,28;PEC;ADM;DMS;325,76;11055,94;5767,73;195751,85;4597;4279;16057
1100346;Alvorada D'Oeste;RO;24606480,75;147689,219;11551,674;72542,714;104853,489;336637,096;15991,25;13807,00;352628,346;25539,82;PEC;ADM;DMS;566,19;19093,46;5838,22;196880,35;1776;2700;8717
1100379;Alto Alegre dos Parecis;RO;14814252,95;277663,855;18506,682;63694,054;103294,41;463159,002;20512,838;13268,00;483671,84;36454,01;AGR;ADM;PEC;218,37;9438,55;4405,66;190423,03;1212;1206;5292
1100403;Alto Paraíso;RO;9033182,83;185476,519;24047,575;119551,859;148950,644;478026,597;32334,7;22258,00;510361,297;22929,34;ADM;PEC;DMS;558,26;12399,97;5490,60;121955,80;1735;2140;9339
1100452;Buritis;RO;66228234,2;336952,669;35153,119;248229,154;272916,168;893251,111;73300,971;41043,00;966552,082;23549,74;ADM;PEC;DMS;582,65;13773,72;7297,81;172519,86;3923;3743;14781
1100502;Novo Horizonte do Oeste;RO;7612563,07;106735,659;12106,788;40100,08;61437,989;220380,516;11121,271;8125,00;231501,787;28492,53;PEC;ADM;AGR;379,76;-18812,58;5228,12;-258991,73;399;1573;5347
