IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1100015;Alta Floresta D'Oeste;RO;311468,683;27847,187;172435,421;173121,632;684872,922;734469,325;32619,88
1100023;Ariquemes;RO;293000,779;406329,129;1307929,918;782306,216;2789566,041;3209761,401;28878,27
1100031;Cabixi;RO;136659,3;8115,023;35865,371;46579,249;227218,943;238411,628;47051,83
1100049;Cacoal;RO;341314,544;236722,362;1200629,836;629109,371;2407776,113;2792382,761;32313,26
1100056;Cerejeiras;RO;151690,475;27412,337;308666,016;123364,617;611133,444;743037,376;46185,81
1100064;Colorado do Oeste;RO;123523,517;28793,808;124597,87;114880,697;391795,891;424806,604;27923,92
1100072;Corumbiara;RO;260728,227;14003,212;45390,532;60535,181;380657,153;396727,614;56257,46
1100080;Costa Marques;RO;116782,743;6682,093;53392,408;128056,964;304914,208;316670,546;16446,15
1100098;Espigão D'Oeste;RO;202433,801;54689,167;221164,133;217510,539;695797,64;773380,507;23429,38
1100106;Guajará-Mirim;RO;77441,552;40473,286;436337,647;319235,34;873487,824;1054178,548;22462,79
1100114;Jaru;RO;280710,555;177921,892;688494,431;379859,774;1526986,651;1765088,789;34294,21
1100122;Ji-Paraná;RO;206344,829;502877,101;1926120,951;876138,636;3511481,516;4231113,134;32292,16
1100130;Machadinho D'Oeste;RO;352193,201;34664,121;174794,546;275752,76;837404,628;890320,395;21338,33
1100148;Nova Brasilândia D'Oeste;RO;228450,895;24608,394;114351,055;142582,174;509992,518;548734,372;26762,31
1100155;Ouro Preto do Oeste;RO;216209,007;71159,689;352557,126;249016,476;888942,298;985867,804;27814,02
1100189;Pimenta Bueno;RO;297492,054;207602,978;550809,21;280779,155;1336683,397;1642516,481;44275,07
1100205;Porto Velho;RO;1041284,612;4627967,986;7555512,423;3983359,174;17208124,19;20059521,86;36541,49
1100254;Presidente Médici;RO;183438,443;50521,485;140111,046;134436,852;508507,827;559989,525;30827,94
1100262;Rio Crespo;RO;115354,219;7564,998;18756,471;36556,852;178232,54;184430,169;47991,2
1100288;Rolim de Moura;RO;194673,218;171633,629;606264,196;411623,166;1384194,208;1565193,978;28076,24
1100296;Santa Luzia D'Oeste;RO;106979,911;13055,97;33183,748;51633,282;204852,912;213556,003;35940,09
1100304;Vilhena;RO;674880,42;368862,791;1712224,753;777251,976;3533219,941;4215045,761;40328,81
1100320;São Miguel do Guaporé;RO;381638,945;82313,683;199587,107;176033,832;839573,567;905335,275;39112,42
1100338;Nova Mamoré;RO;344262,837;21482,116;129299,408;214671,737;709716,099;742687,06;23076,28
1100346;Alvorada D'Oeste;RO;147689,219;11551,674;72542,714;104853,489;336637,096;352628,346;25539,82
1100379;Alto Alegre dos Parecis;RO;277663,855;18506,682;63694,054;103294,41;463159,002;483671,84;36454,01
1100403;Alto Paraíso;RO;185476,519;24047,575;119551,859;148950,644;478026,597;510361,297;22929,34
1100452;Buritis;RO;336952,669;35153,119;248229,154;272916,168;893251,111;966552,082;23549,74
1100502;Novo Horizonte do Oeste;RO;106735,659;12106,788;40100,08;61437,989;220380,516;231501,787;28492,53
1100601;Cacaulândia;RO;194610,078;3288,103;22239,501;47543,929;267681,611;275337,641;43655,88
1100700;Campo Novo de Rondônia;RO;204767,413;16149,023;32201,613;105266,335;358384,384;369376,842;25667,21
1100809;Candeias do Jamari;RO;141452,035;133672,429;138514,108;204881,885;618520,457;655606,242;23357,78
1100908;Castanheiras;RO;56908,631;2350,767;8866,606;28280,925;96406,929;99626,808;34083,75
1100924;Chupinguaia;RO;224569,25;44524,668;70951,593;102007,177;442052,687;468792,653;39880,28
1100940;Cujubim;RO;153670,063;43842,026;84312,873;179117,716;460942,678;487480,169;17967,64
1101005;Governador Jorge Teixeira;RO;146346,286;5055,769;22482,571;57878,4;231763,026;239330,271;33566,66
1101104;Itapuã do Oeste;RO;65084,768;14646,06;39845,924;79560,324;199137,077;210030,622;19413,13
1101203;Ministro Andreazza;RO;132933,646;14077,709;59932,21;69319,84;276263,406;297878,173;31484,85
1101302;Mirante da Serra;RO;85083,553;14260,035;71351,934;75075,364;245770,886;262640,401;24566,5
1101401;Monte Negro;RO;153359,883;23249,385;76056,718;116303,384;368969,369;389890,801;24129,89
1101435;Nova União;RO;82596,281;3240,053;16675,139;48986,716;151498,189;157320,811;23060,8
1101450;Parecis;RO;85286,411;3445,082;13907,585;47707,299;150346,377;155434,257;24597,92
1101468;Pimenteiras do Oeste;RO;178073,455;8909,305;24663,507;26359,059;238005,326;246208,621;115753,94
1101476;Primavera de Rondônia;RO;62242,059;2157,906;10663,02;28332,54;103395,524;107029,666;39684,71
1101484;São Felipe D'Oeste;RO;62311,342;3164,073;18618,026;40952,353;125045,794;130675,805;26335,31
1101492;São Francisco do Guaporé;RO;203490,068;17248,336;95712,838;142430,293;458881,535;488042,888;23143,16
1101500;Seringueiras;RO;147309,175;11109,318;61163,297;89979,782;309561,573;332986,986;28109,66
1101559;Teixeirópolis;RO;62959,36;3836,236;15259,279;34221,654;116276,529;121300,639;29158,81
1101609;Theobroma;RO;140069,452;5750,636;23488,155;79582,438;248890,68;257425,794;24876,86
1101708;Urupá;RO;110938,325;9241,208;54173,711;85571,483;259924,727;273501,274;24682
1101757;Vale do Anari;RO;93455,455;6374,761;27946,91;84100,492;211877,619;220587,906;19106,79
1101807;Vale do Paraíso;RO;100038,746;4130,269;20871,154;53871,402;178911,57;185648,192;28605,27
1200013;Acrelândia;AC;157857,659;13439,221;91388,786;114911,158;377596,825;398724,884;25362,56
1200054;Assis Brasil;AC;44810,294;3943,744;20601,455;61986,011;131341,504;133916,175;17507,67
