IBGE;MUNIC;FBE2114;FBE2115;FBE2116;FBE2117;FBE2118;FBE2119;FBE2120;FBE2121;FBE2122;FBE2123;FBE2214;FBE2215;FBE2216;FBE2217;FBE2218;FBE2219;FBE2220;FBE2221;FBE2222;FBE2223;FBE2314;FBE2315;FBE2316;FBE2317;FBE2318;FBE2319;FBE2320;FBE2321;FBE2322;FBE2323;FBE2324;FBE2414;FBE2415;FBE2416;FBE2417;FBE2418;FBE2419;FBE2420;FBE2421;FBE2422;FBE2423;FBE2424
1501303;Barcarena;2,42;3,52;3,65;3,95;4,80;5,64;5,25;6,29;9,13;10,42;10,76;3,57;3,29;3,16;2,97;2,78;2,55;1,93;4,49;7,59;8,58;8,79;;;;64,07;63,20;100,59;103,68;111,09;113,64;4,51;4,10;3,71;3,96;3,73;3,18;2,45;1,57;1,82;0,97;0,94
1500107;Abaetetuba;1,66;1,74;1,92;1,91;1,60;1,67;4,05;4,45;5,61;9,00;10,46;1,36;1,20;1,09;0,98;0,85;0,74;0,61;2,95;4,49;5,07;5,32;;;;61,94;59,55;72,45;77,90;72,90;75,95;2,81;2,50;2,24;2,19;2,36;2,02;1,54;1,52;1,58;1,33;1,06
1500206;Acará;0,42;0,46;0,48;0,52;0,93;1,03;1,52;1,38;0,95;0,85;1,31;0,65;0,62;0,57;0,54;0,40;0,29;0,20;0,19;0,10;0,08;0,06;;;;35,21;37,58;45,25;49,55;40,33;42,79;1,36;1,27;1,62;1,82;1,80;1,74;1,99;3,29;3,80;3,54;2,97
1503457;Ipixuna do Pará;0,45;0,41;0,41;0,42;0,46;0,45;0,39;0,92;1,42;3,55;4,87;0,55;0,47;0,46;0,45;0,49;0,49;0,39;0,31;0,35;0,40;0,32;;;;22,39;22,19;32,09;51,38;63,38;66,54;1,13;1,32;1,39;1,98;2,30;2,61;2,86;4,15;7,80;9,43;7,87
1504703;Moju;0,97;0,91;0,84;0,81;1,04;0,93;0,97;1,07;2,98;3,81;4,54;0,65;0,51;0,55;0,53;0,46;0,39;0,33;0,67;2,44;2,51;2,65;;;;35,34;37,05;47,70;52,12;51,39;51,86;1,68;1,81;1,73;1,79;1,82;2,34;3,11;4,56;5,56;5,66;4,62
1505502;Paragominas;1,94;2,01;2,14;2,35;3,07;3,45;4,49;6,04;11,20;16,44;18,55;3,61;3,10;3,06;3,19;3,28;3,00;2,38;2,03;2,64;2,68;2,06;;;;78,83;73,10;84,12;95,22;95,97;97,92;2,78;2,47;2,26;2,41;2,31;1,70;1,33;1,19;1,12;1,00;0,82
1508001;Tomé-Açu;0,07;0,11;0,15;0,23;0,50;0,65;0,76;5,89;14,75;19,22;19,30;1,00;0,73;0,60;0,45;0,35;0,29;0,29;0,32;0,25;0,21;0,15;;;;45,28;47,30;65,61;69,47;73,94;74,22;2,70;2,76;2,71;3,06;3,40;3,70;4,70;6,49;7,39;6,51;5,34
1501402;Belém;11,75;12,30;12,99;13,95;15,03;15,13;15,30;16,04;17,93;20,90;22,77;24,64;22,20;21,15;19,08;17,74;16,38;15,16;15,01;15,77;16,60;15,48;;;;165,19;162,29;137,15;145,78;132,26;128,55;8,81;8,92;8,97;8,77;8,84;8,19;7,11;5,69;5,00;4,52;3,81
1100072;Corumbiara;2,26;2,74;2,93;2,91;2,77;3,50;2,48;1,83;3,34;13,68;19,16;3,73;3,85;3,92;3,99;4,06;3,68;2,95;2,48;1,83;1,52;1,27;;;;69,69;57,37;61,03;62,95;44,15;49,03;0,69;0,78;0,68;0,84;0,90;0,90;0,74;0,53;0,42;0,28;0,20
1503754;Jacareacanga;0,05;0,05;0,06;0,21;0,32;0,30;0,34;1,78;1,69;1,57;2,35;0,49;0,40;0,31;0,71;0,98;0,78;0,65;0,75;0,37;0,11;0,09;;;;158,85;200,55;262,39;165,33;48,09;47,26;1,27;1,08;0,95;2,52;4,02;3,80;6,69;8,34;5,80;2,52;1,92
