MUNI;MESO;PIB;POP;IPSPE;IPSMED;IPSBEM;IPSMORA;IPSAGUA;IPSAMB;IPSEDU
1;5;2003664;98462;59,40;64,19;55,39;87,95;70,41;68,47;72,28
2;1;405163;40241;60,26;65,00;55,19;96,12;81,10;68,76;74,66
3;2;166154;18674;53,01;70,63;61,75;78,47;47,38;64,06;74,02
4;3;248264;23779;59,71;70,85;47,78;94,69;83,53;70,44;70,77
5;4;239878;26461;59,48;62,34;54,38;89,66;64,76;68,59;72,33
6;3;334408;41548;54,38;73,40;53,07;85,95;45,97;61,68;66,50
7;3;124671;13542;53,38;74,61;62,87;89,50;48,29;67,73;57,43
8;4;313659;35741;57,53;71,40;59,82;87,97;66,37;67,42;68,13
9;3;153959;20674;56,95;76,79;61,15;93,25;76,43;67,49;71,46
10;4;209660;18205;54,48;63,10;52,40;81,96;70,60;64,88;72,81
11;3;113954;10241;56,99;73,20;50,61;91,87;67,03;69,03;65,69
12;5;139026;19243;51,61;60,24;50,26;84,60;33,27;67,25;74,13
13;1;987496;85088;58,15;73,72;56,89;83,07;57,17;65,99;74,27
14;1;978163;77742;58,52;69,16;53,42;92,76;76,69;66,74;76,68
15;4;101795;12263;54,29;74,06;47,54;88,02;82,56;68,21;82,99
16;4;429725;40121;59,01;57,26;44,75;91,58;77,08;65,87;72,95
17;4;76812;10378;57,57;68,38;54,35;87,52;61,46;60,35;78,39
18;2;203238;18301;57,51;63,05;55,30;74,30;73,26;59,85;71,96
19;3;1804833;79507;59,79;70,42;48,79;93,84;82,78;70,44;63,45
20;1;89784;11232;57,67;71,91;58,18;85,31;47,12;69,19;78,08
21;3;711602;61694;61,81;71,65;53,17;93,15;75,59;69,65;75,83
22;1;247380;34478;52,94;74,41;58,97;81,26;42,90;60,63;67,69
23;3;481183;44294;58,73;69,30;54,25;92,49;67,49;67,97;71,83
24;4;340008;37629;56,58;71,61;53,25;83,85;50,86;64,25;76,55
25;3;402878;37474;58,86;69,20;53,52;85,07;76,37;67,68;80,81
26;3;168389;9079;55,57;72,85;55,84;88,35;50,79;68,73;65,17
27;1;51754;7720;55,81;71,14;47,61;88,51;61,88;68,92;78,20
28;3;353202;48648;54,92;70,15;56,00;89,19;49,93;67,96;62,14
29;4;91105;12808;57,15;68,73;59,37;91,89;59,40;65,17;72,35
30;3;411083;52097;52,28;65,00;63,33;81,24;33,50;63,46;69,89
31;5;9964400;203440;54,48;57,81;52,48;84,57;79,44;71,71;73,71
32;2;404514;30294;56,43;73,76;50,37;79,72;77,86;66,22;76,84
33;3;202197;19899;56,64;68,26;43,99;94,86;83,63;70,35;72,30
34;3;417412;28827;57,24;72,01;65,05;86,64;37,79;68,91;70,32
35;3;90315;11093;54,80;75,79;71,18;90,38;37,15;64,78;67,43
36;1;47509;5228;54,77;73,59;46,01;88,37;44,04;65,32;72,62
37;5;1757192;147771;58,73;61,17;48,17;81,46;56,76;66,47;74,00
38;3;160794;17419;62,32;74,76;59,42;94,95;78,14;67,35;74,37
39;4;190522;7750;59,46;71,62;59,63;83,32;67,65;64,19;67,61
40;3;192969;24329;61,02;67,30;58,77;91,81;62,83;68,05;68,23
41;3;198937;18338;56,13;64,93;58,89;89,37;38,25;67,45;70,75
42;1;144919;18644;61,03;72,15;56,94;89,05;60,61;68,53;77,29
43;1;77112;12239;47,43;73,34;57,17;61,79;34,14;66,10;58,55
44;4;1318989;79293;62,40;67,57;53,96;93,81;72,56;69,12;76,95
45;3;6877207;378048;61,95;72,99;49,71;94,58;84,70;70,10;69,77
46;3;90224;12967;51,16;76,67;51,72;83,84;24,44;63,96;77,58
47;4;289181;32156;56,98;69,63;57,80;92,35;77,01;68,07;68,58
48;1;87537;10518;58,28;73,61;51,97;94,56;60,68;61,34;71,47
49;4;137979;12984;56,73;67,59;58,15;87,97;61,86;68,05;77,45
50;4;207892;20546;53,93;68,90;54,27;78,92;59,27;70,28;62,90
51;4;214324;24587;56,84;71,99;51,86;92,46;39,21;70,80;68,79
52;3;151082;17131;59,16;68,66;56,92;92,20;67,06;65,75;64,94
53;4;105239;10198;55,90;64,14;45,24;85,70;78,40;67,43;75,65
54;3;97617;15920;54,53;61,53;63,11;86,13;37,85;68,66;70,90
55;3;265443;23518;61,76;70,62;57,48;95,95;86,73;71,08;77,14
56;1;428296;37699;56,59;70,81;60,77;88,67;49,02;65,94;77,72
57;2;214910;17188;55,13;71,40;58,35;84,30;34,22;64,33;80,85
58;4;871161;59891;57,01;66,93;55,59;84,96;64,24;69,73;75,45
59;1;238222;31843;54,63;73,07;63,97;85,10;43,14;63,59;72,20
60;3;190770;21427;56,32;58,14;54,66;94,95;65,10;70,56;76,91
