IBGE;IPSAMZ14;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1100015;55,40;60,20;57,37;48,64;95,15;26,73;74,76;44,15;67,28;12,25;79,04;70,91;20,70;69,31;97,11;7,44;5,87;0,00;4,24;8,63;4,84;17,06;23,95;38,91;48,71;81,79;95,42;69,57;30,28;5,00;31,28;5,00;24,14;3,50;24,30;26,40;4,65;10,50;5,98;13,89;43,01;2,60;8,63;77,70;155,39;51,80;4,32;28,08;31,99;0,98;52,87;3,34;100,00;3,12;12,00;0,00;3,00;20,23;110,13;18,77;0,00;1,00;25,77;0,00;1,00;11,27;6,71
1100023;56,70;59,06;59,30;51,73;93,92;30,39;83,60;28,32;69,31;32,95;79,71;55,24;40,63;75,93;76,37;13,98;16,39;1,21;2,02;10,36;3,86;27,42;23,53;36,94;85,06;95,40;83,98;72,15;105,29;6,00;60,28;6,00;41,34;2,10;22,00;26,90;4,55;9,10;22,43;34,19;92,92;10,88;29,20;71,58;109,26;44,27;4,71;0,00;71,67;0,94;20,77;0,71;84,62;2,17;5,00;0,00;8,00;23,50;240,97;22,89;0,00;1,00;58,75;62,99;3,00;20,75;12,85
1100031;58,91;74,18;54,79;47,76;88,09;32,63;77,92;98,07;75,61;15,28;74,52;53,73;32,30;69,32;79,09;10,33;26,67;0,00;0,00;36,78;7,06;22,78;64,59;28,84;51,48;94,38;98,13;65,19;0,00;1,00;0,00;1,00;11,57;0,80;15,80;20,70;4,85;5,90;5,19;13,30;72,18;3,75;36,78;91,95;91,95;46,11;18,39;0,00;73,80;0,76;79,10;2,62;88,89;3,74;5,00;0,00;3,00;16,00;110,30;38,67;0,00;1,00;34,55;71,33;3,00;14,79;9,81
1100049;61,12;72,69;60,61;50,07;91,96;70,29;88,35;40,17;78,12;32,41;74,85;57,07;21,56;80,29;80,46;17,97;20,66;0,77;3,54;14,15;5,56;72,77;45,96;78,81;75,81;97,00;97,80;81,70;29,14;5,00;22,84;5,00;48,02;1,50;16,00;24,90;5,15;4,80;22,42;31,74;96,66;9,45;31,83;96,68;168,61;41,27;5,90;0,81;65,48;0,38;14,85;0,17;75,00;4,17;6,00;8,00;7,00;16,99;55,11;17,52;0,68;2,00;26,38;20,89;2,00;27,45;16,06
1100056;54,45;62,61;62,51;38,23;87,81;32,60;79,23;50,78;73,72;29,29;70,79;76,25;26,71;64,04;52,55;9,64;20,00;0,00;9,03;36,49;5,11;21,10;34,75;44,54;78,84;93,34;98,87;52,03;36,09;5,00;16,02;4,00;28,13;1,90;19,80;22,20;4,90;11,30;18,97;27,54;96,86;7,58;18,24;115,54;164,19;66,89;11,87;41,26;28,83;0,57;20,13;1,33;77,78;3,33;7,00;3,00;3,00;21,20;313,97;40,40;0,00;1,00;270,97;51,81;3,00;14,16;8,94
1100064;60,69;72,41;58,31;51,35;92,17;54,60;66,33;76,54;77,93;29,04;73,08;53,19;30,91;65,37;100,00;9,12;14,65;0,00;6,16;12,33;6,98;56,10;17,68;70,09;64,90;94,35;62,09;46,32;6,70;3,00;2,05;2,00;29,12;0,80;16,10;17,10;5,05;10,10;17,51;26,23;105,23;6,59;30,81;86,28;129,41;80,11;6,16;0,00;81,60;0,11;37,28;0,31;72,73;3,37;2,00;4,00;2,00;16,85;211,03;42,12;0,00;1,00;0,00;0,00;1,00;16,05;6,89
1100072;53,16;56,26;56,68;46,55;87,13;14,62;70,60;52,70;69,50;15,24;85,54;56,42;14,03;65,19;100,00;6,97;32,00;0,00;11,55;23,45;6,88;12,38;14,46;17,22;29,21;84,97;88,19;71,44;27,75;5,00;12,72;4,00;16,63;1,80;26,40;29,60;4,85;8,70;7,22;11,92;69,55;2,21;13,22;52,86;66,08;26,43;11,72;8,33;70,20;0,22;105,86;5,20;77,78;2,69;8,00;0,00;2,00;17,60;295,85;34,40;0,00;1,00;0,00;0,00;1,00;10,96;6,04
1100080;56,50;61,94;55,78;51,78;91,24;21,41;67,74;67,37;54,45;12,19;85,79;70,67;43,18;56,53;100,00;7,42;18,73;0,00;11,20;16,80;3,66;13,60;54,61;14,75;47,18;75,51;97,33;51,41;22,59;5,00;3,73;2,00;16,25;3,50;30,00;46,10;4,00;12,70;4,28;14,23;41,73;7,06;5,60;50,41;67,21;22,40;17,83;34,15;34,23;3,61;84,51;6,24;88,89;1,72;6,00;4,00;1,00;32,21;106,23;27,34;0,00;1,00;0,00;0,00;1,00;10,58;7,07
1100098;58,60;64,46;61,01;50,35;92,78;25,79;78,12;61,14;78,21;15,89;80,49;69,45;19,73;72,77;100,00;8,88;24,19;2,10;0,00;6,24;5,94;21,95;17,50;33,98;62,23;92,87;91,38;65,39;24,34;5,00;9,46;3,00;9,77;1,40;19,20;26,60;5,35;3,60;10,34;17,38;45,82;4,30;9,36;81,13;102,97;49,93;6,24;31,08;46,16;0,59;31,44;1,86;81,82;3,68;3,00;0,00;5,00;20,77;174,90;17,14;0,00;1,00;0,00;0,00;1,00;12,98;8,27
1100106;53,21;60,18;64,23;35,23;88,76;34,40;72,15;45,43;57,36;24,29;80,12;95,14;9,87;54,09;67,72;9,25;22,75;1,08;10,92;26,21;3,80;30,70;33,90;38,79;75,72;86,26;91,07;42,90;27,65;5,00;20,28;5,00;16,45;2,90;34,10;37,50;4,10;11,50;15,28;28,33;61,33;10,83;41,50;61,16;113,58;39,32;2,18;91,94;5,86;2,85;17,04;1,94;63,64;1,19;7,00;8,00;2,00;26,98;129,29;84,29;0,22;2,00;63,96;45,26;3,00;12,66;9,13
