IBGE;MUNIC;METRO;CAPITAL;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;IPSAMZ23;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1100015;Alta Floresta D'Oeste;0;0;684872,92;734469,33;32619,88;ADM;22516;46359332,7;56,39;67,67;61,75;39,75;90,96;30,63;88,12;60,95;78,3;14,37;82,91;71,43;42,61;56,72;40,46;19,21;9,01;53,62;4,4;4,36;5,53;25,52;4,56;46,72;59,19;94,74;95,13;96,57;17,16;4;17,6;4;22;0,2;13,7;19,6;4,8;4,1;8,41;1,57;73,16;0,36;44;52,8;118,8;44;8,8;42,22;33,94;2,25;122,22;12,92;60;4,8;12;0;3;17,72;2,51;24,32;40,24;5;308,73;42,11;3;29,22;19,94
1100023;Ariquemes;0;0;2789566,04;3209761,4;28878,27;SERV;111148;397778565,8;58,03;72,15;59,74;42,19;90,09;54,8;94,71;49;77,38;29,31;78,39;53,89;24,92;68,33;60,71;14,81;11,94;132,71;11,87;0,95;4,97;45,32;6,22;84,7;90,86;98,63;93,88;94,34;33,73;5;24,65;5;22,83;0,8;11,5;20,5;4,85;5,9;20,79;5,37;101,62;0,9;47,48;77,61;130,57;55,7;12,78;0;74,99;1,48;21,93;1,31;61,54;2,78;5;0;6;17,65;0,69;28,93;103,09;5;70,08;76,08;3;22,45;15,43
1100031;Cabixi;0;0;227218,94;238411,63;47051,83;AGR;5067;7386748,67;56,38;63,54;53,41;52,2;75,69;41,53;92,1;44,82;83,77;14,66;63,12;52,08;28,75;62,13;99,39;18,53;43,48;0;56,48;3,15;4,18;40,42;27,95;48;66,27;98,96;99,26;97,64;114,35;6;19,28;4;57,83;0,2;7,7;14,3;5;2,3;5,71;2,35;79,93;0,31;57,83;115,65;231,3;57,83;57,83;0,08;76,04;0,55;103,91;5,33;66,67;7,52;5;0;3;11,59;0;39,13;0;1;7,22;0;1;28,02;19,34
1100049;Cacoal;0;0;2407776,11;2792382,76;32313,26;SERV;86416;350597003,7;63,98;76,56;63,87;51,52;88,92;77,76;95,21;44,32;87,78;30,1;74,15;63,45;44,76;73,34;65,72;22,28;18,87;226,42;8,15;3,49;4,7;81,61;62,36;78,81;86,07;99,56;95,14;97,8;23,66;5;18,63;4;91,97;0,1;5,4;14,3;5,4;0,4;19,02;5,74;113,71;0,78;46,57;135,05;171,14;36,09;16,3;25,67;66,82;1,04;17,45;0,51;83,33;5,36;6;8;6;12,15;1,61;17,13;27,27;5;111,11;33,61;2;34,2;22,94
1100056;Cerejeiras;0;0;611133,44;743037,38;46185,81;COM;16088;50204652,23;60,96;68,7;66,08;48,09;90,43;44,71;97,12;42,56;85,98;21,71;81,58;75,03;37,54;61,07;77,85;15,92;7,43;76,05;12,34;2,33;5,13;37,62;16,34;64,1;89,16;98,77;99,85;98,78;52,27;6;30,86;5;30,86;0,3;7,2;17;5,35;0,5;7,29;4,17;115,18;0,76;37,03;92,57;141,94;24,69;6,17;40,68;29,43;0,49;50,69;2,11;77,78;3,46;7;3;3;13,01;0;34,57;0;1;60,83;60,48;3;24,8;16,16
1100064;Colorado do Oeste;0;0;391795,89;424806,6;27923,92;ADM;15213;34640669,76;60,39;74,47;58,84;47,86;91,13;71,06;85,05;50,64;88,32;23,47;70,95;52,61;26,46;59,24;89,34;16,43;4,67;467,29;6,43;0;5,64;78,31;6,03;86,53;87,47;99,33;60,34;93,45;29,59;5;25,73;5;12,87;0,48;6,2;13,2;5,65;0,7;10,57;3,75;120,35;0,8;38,6;135,1;167,27;90,07;12,87;0;82,53;0,21;40,76;0,26;63,64;6,69;2;4;3;12,81;6,12;46,8;0;1;25,56;9,97;2;23,66;17,88
1100072;Corumbiara;0;0;380657,15;396727,61;56257,46;AGR;7052;14416485,57;53,67;56,56;57,25;47,2;83,85;21,77;72,54;48,06;83,17;9,72;81,34;54,76;30,23;54,96;88,95;14,64;56,07;0;6,86;2,31;4,46;17,15;16,38;29,5;47,34;93,66;69,06;73,13;28,28;5;13,85;4;69,25;1,34;10;17,7;5,35;1,3;2,95;1,89;52,88;0,43;41,55;69,25;110,8;27,7;13,85;9,07;71,06;0,38;156,56;5,25;44,44;4,85;8;0;2;14,95;1,49;42,06;0;1;30,08;21,16;2;23,68;14,32
1100080;Costa Marques;0;0;304914,21;316670,55;16446,15;ADM;19255;12503276,56;55,25;63,38;57,89;44,49;89,58;24,35;77,66;61,94;71,92;7,12;84,96;67,57;31,63;48,77;88,71;8,84;26,32;0;5,32;0;4,98;15,12;69,3;18,85;61,01;90,94;98,56;54,39;18,86;4;15,96;4;15,96;3,1;19,9;22;4,7;4;3,97;0,82;36,55;0,33;42,56;47,88;37,24;37,24;5,32;39,09;39,39;5,63;149,3;11,58;55,56;1,92;6;4;2;22,63;0,86;33,16;0;1;32,96;44,29;2;13,35;9,24
1100098;Espigão D'Oeste;0;0;695797,64;773380,51;23429,38;ADM;33009;45454358,88;58,58;66,61;63,08;46,06;90,51;36,98;82,54;56,43;85,05;14,14;84,79;68,33;21,94;63,18;85,26;13,85;10,62;42,02;9,18;3,06;5,06;37,3;5,43;48,41;74,23;97,44;62,06;94,38;24,96;5;18,35;4;18,35;0,9;9;11,2;5,2;0,9;9,18;1,9;62,71;0,24;18,35;100,93;100,93;27,53;9,18;31,06;47,09;1,02;42,23;1,39;63,64;5,11;3;0;4;15,5;0;20,59;0;1;73,62;26,37;2;20,96;14,45
1100106;Guajará-Mirim;0;0;873487,82;1054178,55;22462,79;ADM;46930;102533632,8;61,8;72,4;66,41;46,6;88,03;43,32;87,51;70,72;72,37;17,76;83,23;92,29;43,37;48,11;85,22;9,7;23,31;466,2;2,15;6,44;4,54;33,86;74,42;43,31;78,72;89,52;95,25;84,17;27,77;5;4,3;2;12,89;1,6;21,7;28,6;4,6;1,6;7,79;3,29;85,5;1,46;30,07;66,59;83,77;51,55;6,44;90,5;6,41;4,13;36,96;7,48;76,92;1,1;7;8;2;20,86;2,35;81,12;2,25;2;25,9;15,77;2;14,77;10,06
