IBGE;MUNIC;UF;AMZL;IPSBR25;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;POP;AREA;PIBPC;PIB;
1100015;Alta Floresta D'Oeste;RO;1;53,60308054;64,6128554;55,34571122;40,850675;74,13284974;30,83888298;88,47281558;65,00687329;73,7934969;55,8880468;51,82171295;39,87958821;24,97034616;50,93634649;48,60898045;38,88702692;22853;7067,127;32373,45748;734469;
1100023;Ariquemes;RO;1;55,91746715;67,43793743;60,83852643;39,4759376;72,15635597;50,32143113;92,8231513;54,45081131;71,77194833;70,27330582;52,87269147;48,43616012;20,50859879;54,8394307;46,37561975;36,18010114;108573;4426,143;29778,97134;3209761;
1100031;Cabixi;RO;1;52,10384477;59,1930192;50,00663136;47,11188373;66,87452095;40,36653689;88,28918418;41,2418348;78,12921412;38,1526892;45,00185232;38,74276981;22,6210788;53,74187672;81,53021686;30,55436253;5690;1314,352;42206,04703;238412;
1100049;Cacoal;RO;1;60,94687316;74,35077885;63,2901447;45,19969592;72,78793663;72,59102796;91,83520826;60,18894254;77,45422325;69,84060536;54,15773536;51,70801484;29,61298978;57,45046867;53,76754816;39,96777709;97637;3793;28808,41685;2792383;
1100056;Cerejeiras;RO;1;59,24029762;69,37647854;60,56154606;47,78286825;77,47613738;46,68114798;97,23967793;56,10895085;73,84677361;64,2597987;55,29596526;48,84364669;35,61042265;52,33398084;70,53129898;32,65577055;16975;2783,297;44091,96878;743037;
1100064;Colorado do Oeste;RO;1;59,20712429;70,38597139;61,56732254;45,66807895;77,42865693;59,42609077;85,07443536;59,61470251;80,64595348;60,91998495;57,52990647;47,17344526;24,48347354;56,20718429;70,42400859;31,55764937;16588;1451,063;25796,24374;424807;
1100072;Corumbiara;RO;1;54,77777008;65,97486634;51,41067961;46,9477643;75,31473493;28,78927901;82,92627141;76,86918002;75,79832031;39,00528713;58,84431522;31,99479578;29,39775996;47,54489274;84,45470186;26,39370263;8001;3060,321;49946,77095;396728;
1100080;Costa Marques;RO;1;53,62473592;61,28218562;53,23069146;46,36133068;72,37912553;25,57444494;88,02367135;59,15150068;70,2337986;49,61807069;57,47365568;35,59724085;53,930367;45,69883396;57,3161918;28,49992996;13522;4987,177;23589,90521;316671;
1100098;Espigão D'Oeste;RO;1;55,70782955;65,50881404;57,95734127;43,65733334;75,98077939;42,2216642;82,27533593;61,55747664;77,09633799;54,28517782;58,89449731;41,55335194;27,80550797;52,85209343;62,99946631;30,97226564;32717;4518,038;23811,06707;773381;
1100106;Guajará-Mirim;RO;1;53,95000455;65,31347549;56,18332594;40,35321222;65,12530948;44,15043485;85,1720493;66,80610833;65,94748163;63,30749535;58,66331359;36,8150132;29,44160197;46,78456583;57,19749569;27,98918538;43553;24856,877;24381,20237;1054179;
1100114;Jaru;RO;1;57,02876516;67,20806061;61,14833388;42,72990098;74,44396162;36,63435551;91,11535879;66,63856652;76,29862069;62,33063128;59,84473848;46,11934507;30,03887451;52,78018656;51,31962656;36,78091631;55583;2944,14;31987,73275;1765089;
