IBGE;MUNIC;UF;REG;CAPITAL;AMZ;IBRAM;IPS24;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC;ARRECADA
1100015;Alta Floresta D'Oeste;RO;NO;0;1;0;50,95;59,70;55,02;38,12;59,82;31,92;88,36;58,68;72,22;55,38;49,59;42,90;41,72;37,74;36,50;36,54;311468,68;27847,19;172435,42;173121,63;684872,92;734469,33;32619,88;46359332,7
1100023;Ariquemes;RO;NO;0;1;0;55,97;66,46;62,35;39,12;64,95;55,90;93,06;51,91;68,46;71,95;54,39;54,61;32,98;48,70;38,72;36,06;293000,78;406329,13;1307929,92;782306,22;2789566,04;3209761,40;28878,27;397778565,8
1100031;Cabixi;RO;NO;0;1;0;51,36;55,10;54,28;44,72;59,16;42,27;88,33;30,63;77,25;48,55;51,65;39,65;31,50;44,72;74,67;28,00;136659,30;8115,02;35865,37;46579,25;227218,94;238411,63;47051,83;7386748,67
1100049;Cacoal;RO;NO;0;1;0;61,85;73,41;65,88;46,25;66,02;72,76;92,04;62,83;77,08;68,80;58,60;59,02;47,00;47,27;52,92;37,80;341314,54;236722,36;1200629,84;629109,37;2407776,11;2792382,76;32313,26;350597003,7
1100056;Cerejeiras;RO;NO;0;1;0;58,71;65,54;63,71;46,87;68,54;44,69;97,22;51,70;75,41;66,56;58,27;54,61;39,73;36,34;78,30;33,12;151690,48;27412,34;308666,02;123364,62;611133,44;743037,38;46185,81;50204652,23
1100064;Colorado do Oeste;RO;NO;0;1;0;59,60;66,73;64,11;47,97;64,32;60,85;84,33;57,42;79,26;62,16;62,30;52,72;32,66;48,41;80,33;30,51;123523,52;28793,81;124597,87;114880,70;391795,89;424806,60;27923,92;34640669,76
1100072;Corumbiara;RO;NO;0;1;0;55,14;66,10;53,53;45,80;69,39;31,74;82,95;80,31;76,19;40,52;61,73;35,69;36,54;33,52;85,96;27,16;260728,23;14003,21;45390,53;60535,18;380657,15;396727,61;56257,46;14416485,57
1100080;Costa Marques;RO;NO;0;1;0;51,47;62,00;52,53;39,89;71,05;25,77;89,18;61,98;71,69;46,09;54,24;38,09;41,20;34,51;57,96;25,87;116782,74;6682,09;53392,41;128056,96;304914,21;316670,55;16446,15;12503276,56
1100098;Espigão D'Oeste;RO;NO;0;1;0;54,92;62,61;59,99;42,15;68,51;44,52;81,59;55,81;76,76;55,58;55,90;51,73;23,79;44,14;74,06;26,62;202433,80;54689,17;221164,13;217510,54;695797,64;773380,51;23429,38;45454358,88
1100106;Guajará-Mirim;RO;NO;0;1;0;54,61;62,15;60,38;41,30;56,72;41,25;85,31;65,31;67,72;63,55;56,57;53,66;46,87;32,83;61,06;24,42;77441,55;40473,29;436337,65;319235,34;873487,82;1054178,55;22462,79;102533632,8
1100114;Jaru;RO;NO;0;1;0;56,73;63,75;64,85;41,61;63,18;35,66;91,16;65,00;74,16;68,09;64,09;53,06;30,01;38,59;63,70;34,13;280710,56;177921,89;688494,43;379859,77;1526986,65;1765088,79;34294,21;233363443,9
1100122;Ji-Paraná;RO;NO;0;1;0;56,12;61,61;66,21;40,53;67,90;51,19;90,15;37,20;74,10;72,04;56,42;62,26;25,15;50,44;49,74;36,81;206344,83;502877,10;1926120,95;876138,64;3511481,52;4231113,13;32292,16;647301255,6
1100130;Machadinho D'Oeste;RO;NO;0;1;0;49,28;57,81;48,97;41,06;68,81;29,39;86,02;47,03;62,68;47,29;51,62;34,30;30,39;34,53;67,67;31,67;352193,20;34664,12;174794,55;275752,76;837404,63;890320,40;21338,33;35599443,07
1100148;Nova Brasilândia D'Oeste;RO;NO;0;1;0;54,49;57,68;60,51;45,29;66,48;32,10;89,70;42,46;76,96;56,72;56,14;52,21;38,76;41,74;77,64;23,02;228450,90;24608,39;114351,06;142582,17;509992,52;548734,37;26762,31;28016785,73
1100155;Ouro Preto do Oeste;RO;NO;0;1;0;56,58;65,60;62,34;41,80;68,48;54,29;92,95;46,67;71,87;66,15;60,88;50,48;33,65;44,04;60,59;28,92;216209,01;71159,69;352557,13;249016,48;888942,30;985867,80;27814,02;79607184,73
1100189;Pimenta Bueno;RO;NO;0;1;0;58,35;67,21;61,22;46,61;57,22;60,53;95,88;55,22;71,40;66,87;56,00;50,61;33,49;44,54;71,61;36,79;297492,05;207602,98;550809,21;280779,16;1336683,40;1642516,48;44275,07;358535671,5
1100205;Porto Velho;RO;NO;1;1;0;57,10;57,40;60,40;53,50;68,40;32,93;88,72;39,57;67,97;74,75;55,59;43,29;40,11;49,89;54,61;69,38;1041284,61;4627967,99;7555512,42;3983359,17;17208124,19;20059521,86;36541,49;3762257858
1100254;Presidente Médici;RO;NO;0;1;0;54,85;63,14;61,35;40,06;66,63;48,45;91,31;46,17;78,11;60,47;55,44;51,38;25,08;42,99;69,86;22,32;183438,44;50521,49;140111,05;134436,85;508507,83;559989,53;30827,94;65185674,04
1100262;Rio Crespo;RO;NO;0;1;0;49,83;57,21;51,01;41,26;72,31;24,77;85,99;45,78;68,27;47,40;61,70;26,67;41,58;39,51;42,27;41,67;115354,22;7565,00;18756,47;36556,85;178232,54;184430,17;47991,20;6533067,94
1100288;Rolim de Moura;RO;NO;0;1;0;58,93;70,43;63,73;42,62;68,40;64,09;95,45;53,77;77,02;63,07;58,15;56,70;34,88;42,32;56,60;36,69;194673,22;171633,63;606264,20;411623,17;1384194,21;1565193,98;28076,24;132064230,8
1100296;Santa Luzia D'Oeste;RO;NO;0;1;0;51,31;59,66;59,05;35,24;62,94;39,47;79,95;56,27;80,71;51,66;57,76;46,06;28,17;30,43;52,63;29,73;106979,91;13055,97;33183,75;51633,28;204852,91;213556,00;35940,09;9898276,53
1100304;Vilhena;RO;NO;0;1;0;59,11;69,29;65,83;42,21;66,06;69,66;95,80;45,63;70,07;73,10;55,94;64,23;28,42;49,42;51,42;39,59;674880,42;368862,79;1712224,75;777251,98;3533219,94;4215045,76;40328,81;601198937,1
1100320;São Miguel do Guaporé;RO;NO;0;1;0;50,02;55,54;58,14;36,39;66,29;18,19;87,91;49,76;76,15;52,43;54,53;49,44;18,80;38,92;60,85;27,00;381638,95;82313,68;199587,11;176033,83;839573,57;905335,28;39112,42;21972209,7
1100338;Nova Mamoré;RO;NO;0;1;0;45,33;52,41;46,49;37,09;67,25;15,84;83,44;43,11;63,96;46,38;59,57;16,08;24,08;37,07;63,31;23,88;344262,84;21482,12;129299,41;214671,74;709716,10;742687,06;23076,28;17873308,98
1100346;Alvorada D'Oeste;RO;NO;0;1;0;59,49;71,38;58,24;48,86;64,87;65,12;91,95;63,58;75,68;52,26;56,27;48,75;50,32;41,36;75,33;28,45;147689,22;11551,67;72542,71;104853,49;336637,10;352628,35;25539,82;13011203,41
1100379;Alto Alegre dos Parecis;RO;NO;0;1;0;51,09;60,33;51,76;41,16;63,33;31,05;90,50;56,46;65,27;43,12;56,03;42,61;30,03;29,32;75,18;30,12;277663,86;18506,68;63694,05;103294,41;463159,00;483671,84;36454,01;16563093,68
1100403;Alto Paraíso;RO;NO;0;1;0;48,64;53,66;53,74;38,51;72,65;13,52;88,09;40,39;66,92;52,81;61,68;33,55;27,39;38,91;62,52;25,20;185476,52;24047,58;119551,86;148950,64;478026,60;510361,30;22929,34;26073990,61
1100452;Buritis;RO;NO;0;1;0;49,42;58,57;56,42;33,25;70,77;19,74;94,04;49,75;67,09;66,75;53,40;38,45;32,61;27,46;47,46;25,49;336952,67;35153,12;248229,15;272916,17;893251,11;966552,08;23549,74;78649898,43
1100502;Novo Horizonte do Oeste;RO;NO;0;1;0;52,48;53,86;56,29;47,28;61,91;31,89;86,07;35,59;78,78;39,02;59,18;48,16;34,24;38,34;85,58;30,97;106735,66;12106,79;40100,08;61437,99;220380,52;231501,79;28492,53;7612563,07
1100601;Cacaulândia;RO;NO;0;1;0;52,92;62,74;55,56;40,48;68,79;20,84;90,45;70,87;72,63;51,98;63,40;34,22;43,09;35,84;46,51;36,49;194610,08;3288,10;22239,50;47543,93;267681,61;275337,64;43655,88;4312253,76
1100700;Campo Novo de Rondônia;RO;NO;0;1;0;49,87;62,80;47,10;39,71;68,88;28,31;88,04;65,98;61,77;42,66;50,51;33,44;32,78;29,77;62,79;33,52;204767,41;16149,02;32201,61;105266,34;358384,38;369376,84;25667,21;9704620,54
1100809;Candeias do Jamari;RO;NO;0;1;0;49,82;60,96;48,39;40,11;67,85;52,26;79,65;44,08;60,20;60,25;54,43;18,69;26,10;27,24;76,82;30,28;141452,04;133672,43;138514,11;204881,89;618520,46;655606,24;23357,78;30178649,44
1100908;Castanheiras;RO;NO;0;1;0;57,95;71,11;53,34;49,39;81,46;34,45;86,11;82,41;72,21;46,92;50,90;43,35;43,70;34,76;84,40;34,72;56908,63;2350,77;8866,61;28280,93;96406,93;99626,81;34083,75;3851042,83
1100924;Chupinguaia;RO;NO;0;1;0;53,60;64,82;53,81;42,17;69,31;70,22;82,26;37,49;62,19;47,02;64,34;41,68;24,70;32,19;78,94;32,87;224569,25;44524,67;70951,59;102007,18;442052,69;468792,65;39880,28;25963000,22
1100940;Cujubim;RO;NO;0;1;0;45,49;53,09;45,74;37,63;70,46;17,68;73,10;51,13;63,26;49,52;56,62;13,58;32,45;26,67;73,36;18,05;153670,06;43842,03;84312,87;179117,72;460942,68;487480,17;17967,64;24172034,66
1101005;Governador Jorge Teixeira;RO;NO;0;1;0;49,88;55,69;50,76;43,20;75,38;11,53;81,98;53,86;71,56;45,46;54,55;31,44;38,43;33,01;73,61;27,76;146346,29;5055,77;22482,57;57878,40;231763,03;239330,27;33566,66;4653334,31
1101104;Itapuã do Oeste;RO;NO;0;1;0;53,62;61,14;56,31;43,42;78,83;40,92;86,14;38,68;62,69;62,43;56,74;43,37;36,39;34,99;77,94;24,37;65084,77;14646,06;39845,92;79560,32;199137,08;210030,62;19413,13;15201408,75
1101203;Ministro Andreazza;RO;NO;0;1;0;57,06;65,62;61,98;43,57;72,21;35,05;89,80;65,44;78,53;55,00;59,02;55,35;26,08;38,05;77,40;32,73;132933,65;14077,71;59932,21;69319,84;276263,41;297878,17;31484,85;13943423,38
1101302;Mirante da Serra;RO;NO;0;1;0;50,83;54,53;58,94;39,03;58,13;21,51;87,91;50,57;68,51;66,03;55,97;45,23;28,07;36,27;64,65;27,12;85083,55;14260,04;71351,93;75075,36;245770,89;262640,40;24566,50;11805651,47
1101401;Monte Negro;RO;NO;0;1;0;48,27;56,45;53,74;34,60;73,18;28,75;86,83;37,05;69,25;51,09;56,20;38,43;34,13;32,42;41,32;30,53;153359,88;23249,39;76056,72;116303,38;368969,37;389890,80;24129,89;10541032,18
1101435;Nova União;RO;NO;0;1;0;50,29;57,96;52,32;40,57;66,36;29,86;80,58;55,05;67,36;47,30;61,01;33,61;24,34;30,01;81,96;25,98;82596,28;3240,05;16675,14;48986,72;151498,19;157320,81;23060,80;4004380,88
1101450;Parecis;RO;NO;0;1;0;54,16;67,96;55,26;39,25;80,48;35,10;87,34;68,92;74,51;46,38;66,76;33,37;22,58;26,92;78,62;28,86;85286,41;3445,08;13907,59;47707,30;150346,38;155434,26;24597,92;9088192,85
1101468;Pimenteiras do Oeste;RO;NO;0;1;0;48,05;57,07;50,14;36,96;76,41;45,94;78,91;27,01;72,63;54,87;54,89;18,15;33,80;27,29;73,12;13,62;178073,46;8909,31;24663,51;26359,06;238005,33;246208,62;115753,94;7207173,69
1101476;Primavera de Rondônia;RO;NO;0;1;0;59,62;75,55;60,80;42,51;61,06;62,22;92,36;86,55;74,57;53,21;65,55;49,85;29,77;40,88;65,53;33,88;62242,06;2157,91;10663,02;28332,54;103395,52;107029,67;39684,71;5742442,8
1101484;São Felipe D'Oeste;RO;NO;0;1;0;55,90;65,31;57,81;44,57;81,89;32,23;83,86;63,24;68,18;45,37;69,90;47,77;35,35;29,42;86,12;27,41;62311,34;3164,07;18618,03;40952,35;125045,79;130675,81;26335,31;5969471,26
1101492;São Francisco do Guaporé;RO;NO;0;1;0;50,23;58,44;55,16;37,09;72,88;17,06;91,06;52,74;73,34;52,51;54,77;40,04;56,82;29,18;31,78;30,59;203490,07;17248,34;95712,84;142430,29;458881,54;488042,89;23143,16;16579617,47
1101500;Seringueiras;RO;NO;0;1;0;52,50;53,26;55,44;48,81;72,34;25,61;88,83;26,26;76,90;53,04;57,76;34,06;38,40;41,69;88,46;26,68;147309,18;11109,32;61163,30;89979,78;309561,57;332986,99;28109,66;24249103,63
