IBGE;MUNIC;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB24;NHB31;NHB32;NHB33;NHB34;NHB41;NHB42;NHB43;NHB44;NHB45;NHB46;NHB47;FBE11;FBE12;FBE13;FBE14;FBE15;FBE16;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;FBE46;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP25;OP31;OP32;OP33;OP34;OP35;OP36;OP37;OP38;OP41;OP42;OP43
2600054;Abreu e Lima;32,25;899,72;175,38;14,01;3,94;85,23;30,91;87,99;52,37;85,57;79,07;81,93;98,39;55,29;2,00;1,94;3,00;1,02;2,00;24,37;0,80;0,30;3,90;20,50;4,50;4,60;99,93;5,54;83,73;95,01;72,46;2,29;428,67;25,59;3,05;7,78;1,06;1,00;0,00;51,15;7,80;3,00;4,00;1,01;0,62;4,00;12,87;0,84;0,63;2,00;0,17;0,67;3,88;2,00;0,00;1,00;87,85;3,00;25,05;30,69;528,32
2600104;Afogados da Ingazeira;83,28;1084,00;162,26;14,84;6,05;80,31;83,76;100,00;50,36;76,94;98,60;98,93;99,38;23,09;2,00;5,15;4,00;37,28;5,00;9,94;0,80;0,80;4,80;17,90;5,35;5,60;93,60;10,20;77,74;94,32;73,39;1,99;464,44;21,86;2,49;6,14;2,11;1,00;1,99;46,70;13,12;11,00;0,00;0,91;0,72;9,00;14,84;1,19;0,91;2,00;0,15;0,90;529,15;5,00;45,05;2,00;88,38;3,00;38,68;49,68;556,26
2600203;Afrânio;93,70;840,80;88,34;12,66;7,33;40,63;16,30;57,17;28,73;7,04;98,21;68,62;95,73;20,23;2,00;10,67;5,00;32,13;4,00;16,07;0,40;0,38;4,50;18,90;4,55;3,80;52,81;2,25;37,44;69,57;70,68;2,80;394,50;12,98;10,71;0,36;5,99;1,00;29,99;47,36;16,18;3,00;0,00;1,76;0,74;3,00;16,03;1,34;24,54;2,00;0,54;0,17;138,73;3,00;238,10;2,00;97,85;3,00;34,75;52,35;505,04
2600302;Agrestina;78,15;1513,47;172,34;8,20;1,70;81,38;84,08;100,00;39,56;85,86;97,05;90,12;98,89;64,08;3,00;0,00;1,00;25,23;4,00;37,85;0,10;1,58;5,60;23,70;4,75;5,80;99,72;9,92;69,34;85,72;70,57;2,53;613,62;21,00;2,52;1,20;2,85;1,00;0,00;41,17;10,18;8,00;0,00;0,76;0,79;3,00;15,03;1,35;1,01;2,00;0,18;0,67;24,31;2,00;0,00;1,00;43,69;2,00;22,88;29,74;531,08
2600401;Água Preta;44,94;802,44;185,58;25,79;4,59;70,12;65,89;72,49;58,99;70,56;89,68;92,72;94,42;51,07;2,00;7,32;4,00;3,78;2,00;34,01;2,30;0,40;3,40;29,50;4,50;0,90;87,64;3,13;50,50;96,08;70,64;2,45;616,47;16,63;1,51;0,94;2,62;1,00;0,76;46,29;6,63;8,00;7,00;1,46;0,43;3,00;22,35;8,23;14,46;2,00;0,15;0,55;33,66;2,00;0,00;1,00;16,75;2,00;26,43;38,22;497,45
2600500;Águas Belas;79,04;723,99;129,69;17,12;3,82;31,73;38,87;48,11;24,11;51,88;89,97;85,38;95,35;9,21;2,00;4,69;4,00;4,81;2,00;26,48;2,20;3,00;6,90;31,50;4,60;4,20;60,94;3,60;49,96;94,36;66,44;2,86;481,28;22,43;7,22;3,22;3,40;1,00;0,24;59,44;12,55;8,00;9,00;0,95;0,75;4,00;18,26;1,32;1,62;2,00;0,15;0,86;126,54;3,00;2,11;2,00;38,55;2,00;24,54;31,58;487,44
2600609;Alagoinha;100,00;1331,26;95,90;10,87;4,02;23,10;49,73;52,33;11,32;63,87;95,39;82,11;98,81;66,31;3,00;8,35;4,00;14,77;2,00;22,15;0,50;0,08;5,40;33,10;4,25;18,40;94,39;10,61;56,32;84,17;73,04;2,23;402,81;22,71;1,48;0,65;2,80;1,00;0,74;45,39;11,97;5,00;5,00;0,82;0,78;3,00;17,39;4,60;4,46;2,00;0,22;0,90;133,25;3,00;75,19;2,00;377,36;5,00;19,70;30,83;474,59
2600708;Aliança;84,23;736,83;176,00;15,05;3,60;70,08;40,96;84,12;47,60;75,03;91,37;74,61;98,14;88,42;3,00;16,29;5,00;27,98;4,00;50,36;0,70;0,42;2,50;29,80;4,10;6,50;97,96;1,89;59,27;93,68;72,93;3,62;466,52;13,55;11,19;2,04;1,78;1,00;0,84;49,76;5,46;5,00;6,00;1,26;0,69;4,00;17,42;0,36;1,73;2,00;0,18;0,74;38,02;2,00;0,00;1,00;113,25;3,00;42,15;50,35;507,19
2600807;Altinho;74,90;882,76;125,44;24,15;1,05;68,10;78,04;92,05;34,34;65,31;97,91;95,75;98,26;134,00;4,00;12,07;5,00;9,67;2,00;58,04;0,10;0,60;2,50;27,70;4,60;2,10;97,04;10,05;45,45;95,12;72,54;2,67;451,57;14,83;9,67;3,37;3,00;1,00;0,00;44,91;13,20;9,00;9,00;0,83;0,81;4,00;21,26;0,76;8,06;2,00;0,18;0,88;171,35;3,00;238,10;2,00;118,91;3,00;19,36;26,42;555,93
2600906;Amaraji;64,75;964,64;249,87;10,83;3,68;63,92;68,74;88,42;43,93;69,78;77,87;76,90;91,98;197,78;5,00;10,78;5,00;21,97;3,00;16,48;0,50;1,24;4,20;22,10;4,40;1,30;95,96;15,73;65,62;93,46;69,89;3,14;501,39;22,87;5,49;0,98;1,77;1,00;3,85;54,33;4,92;8,00;0,00;1,55;0,68;4,00;23,47;0,51;1,98;2,00;0,44;0,87;53,89;2,00;0,00;1,00;199,07;4,00;10,61;10,92;513,07
