IBGE;MUNIC;NHB1114;NHB1115;NHB1116;NHB1117;NHB1118;NHB1119;NHB1120;NHB1121;NHB1122;NHB1123;NHB1214;NHB1215;NHB1216;NHB1217;NHB1218;NHB1219;NHB1220;NHB1221;NHB1222;NHB1223;NHB1314;NHB1315;NHB1316;NHB1317;NHB1318;NHB1319;NHB1320;NHB1321;NHB1322;NHB1323;NHB1414;NHB1415;NHB1416;NHB1417;NHB1418;NHB1419;NHB1420;NHB1421;NHB1422;NHB1423;NHB1514;NHB1515;NHB1516;NHB1517;NHB1518;NHB1519;NHB1520;NHB1521;NHB1522;NHB1523;NHB1524
1501303;Barcarena;15,20;19,07;13,50;13,00;15,39;15,26;10,13;18,50;16,74;17,16;19,90;5,04;5,02;4,87;15,02;4,75;4,77;4,66;0,00;4,64;0,00;4,74;0,79;1,58;1,58;0,79;1,58;0,79;1,58;0,79;13,42;15,00;15,00;7,11;8,69;11,05;11,05;6,32;12,63;11,84;4,26;4,68;4,00;3,65;3,21;3,10;3,03;3,12;3,19;3,13;2,75
1500107;Abaetetuba;11,46;16,92;19,75;19,17;17,60;15,25;17,63;20,59;24,06;14,68;3,70;7,71;3,95;3,95;15,76;3,70;7,52;15,80;11,06;12,23;1,90;1,26;0,00;0,63;1,90;0,00;1,26;1,90;3,79;0,63;7,59;6,95;8,85;12,64;7,59;10,75;8,85;6,95;11,38;13,28;3,85;3,96;3,76;3,82;2,96;3,18;3,05;2,68;3,08;2,89;2,44
1500206;Acará;22,40;18,16;23,09;26,21;16,78;23,47;26,40;13,56;22,29;18,40;0,00;12,33;29,10;20,70;9,62;0,00;21,37;0,00;0,00;30,67;1,74;1,74;3,49;0,00;0,00;0,00;0,00;1,74;1,74;0,00;19,17;19,17;12,20;8,71;12,20;15,68;19,17;3,49;19,17;17,43;5,38;4,73;4,37;4,64;3,78;3,84;3,25;3,69;3,40;3,57;2,68
1503457;Ipixuna do Pará;22,57;19,10;30,20;25,25;15,97;20,25;27,73;18,87;19,26;6,87;0,00;16,84;19,31;52,72;0,00;17,36;17,36;0,00;33,67;0,00;9,89;3,30;0,00;3,30;3,30;3,30;6,59;0,00;3,30;3,30;26,38;9,89;6,59;23,08;6,59;19,78;0,00;9,89;13,19;23,08;4,86;3,92;4,08;4,62;3,92;4,90;4,16;4,57;6,19;5,86;8,74
1504703;Moju;27,12;16,01;24,09;22,78;16,01;32,95;24,48;15,75;10,54;17,87;7,92;15,44;24,10;8,52;8,40;8,22;8,01;24,92;8,14;17,02;3,61;2,41;2,41;1,20;0,00;0,00;1,20;1,20;0,00;0,00;8,43;4,82;7,23;9,63;7,23;10,84;14,45;14,45;8,43;9,63;6,09;4,81;4,23;4,79;4,15;3,35;2,64;3,47;5,36;3,29;1,77
1505502;Paragominas;19,33;16,23;13,49;13,15;16,76;14,04;15,96;12,17;18,42;16,08;0,00;4,77;4,45;28,67;4,99;9,67;9,84;10,00;5,06;5,54;0,95;1,90;0,95;1,90;0,95;0,00;0,00;1,90;1,90;0,00;13,27;18,95;15,16;6,63;8,53;18,95;13,27;10,42;14,21;20,85;4,70;4,63;3,00;2,22;2,67;3,72;3,64;2,68;2,93;2,98;2,72
1508001;Tomé-Açu;15,55;18,37;17,79;14,78;14,11;14,52;16,34;15,28;12,27;18,06;10,76;0,00;6,87;7,27;6,85;7,07;13,61;0,00;0,00;6,94;4,46;1,49;2,97;2,97;0,00;0,00;1,49;0,00;4,46;1,49;10,40;8,91;7,43;10,40;5,94;7,43;19,32;14,86;11,89;17,83;3,29;2,85;3,22;5,94;5,07;3,44;1,82;2,93;5,81;3,51;2,80
1501402;Belém;17,97;17,27;16,99;15,61;16,64;18,51;18,51;17,36;16,96;18,56;7,76;7,69;6,37;9,83;7,31;6,50;8,47;9,87;5,67;3,96;7,98;7,60;9,67;7,90;9,51;7,90;8,29;7,14;3,53;2,76;31,23;31,38;30,84;34,22;34,60;34,37;31,53;33,83;36,90;33,45;1,20;1,67;3,74;3,82;3,54;4,71;8,08;4,73;5,05;4,25;3,26
1100072;Corumbiara;32,00;0,00;21,58;34,48;7,75;7,87;56,07;8,47;38,83;30,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;114,94;0,00;0,00;0,00;0,00;13,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,30;13,30;13,30;0,00;0,00;0,00;0,00;0,00;0,00;3,68;3,41;2,32;2,17;2,67;2,16;1,63;2,17;2,69;3,62;3,27
1503754;Jacareacanga;33,51;24,43;25,55;33,93;19,93;23,81;25,56;47,55;24,00;14,02;26,81;0,00;0,00;0,00;0,00;17,64;16,29;34,07;0,00;15,58;16,64;0,00;4,16;4,16;0,00;4,16;8,32;20,80;8,32;12,48;8,32;4,16;8,32;16,64;16,64;16,64;29,12;8,32;45,75;33,28;9,16;9,04;9,34;10,58;8,56;7,63;9,72;7,84;7,64;8,01;5,70
1600238;Ferreira Gomes;21,39;15,63;0,00;6,10;11,90;41,67;28,25;12,99;26,85;57,55;0,00;93,46;183,49;0,00;0,00;0,00;52,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;15,00;15,00;15,00;0,00;3,62;3,15;3,77;4,40;7,94;3,46;5,10;2,66;2,98;3,04;2,11
1700707;Alvorada;8,00;32,79;10,20;18,02;15,15;15,38;7,52;22,56;16,67;12,99;0,00;0,00;0,00;87,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,36;34,08;0,00;0,00;0,00;0,00;11,36;0,00;0,00;22,72;11,36;0,00;22,72;0,00;22,72;22,72;22,72;22,72;11,36;4,04;2,82;1,78;3,80;3,29;3,42;3,22;4,18;3,19;3,78;3,10
1703842;Campos Lindos;24,10;24,54;13,33;28,37;0,00;18,75;19,48;11,76;31,25;12,27;0,00;72,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,56;0,00;0,00;23,11;0,00;0,00;11,56;0,00;0,00;0,00;11,56;11,56;0,00;5,60;4,14;5,07;4,57;4,55;3,93;4,14;3,53;4,31;3,89;2,97
1703909;Caseara;15,38;14,08;12,66;14,49;10,99;32,97;11,90;11,76;16,13;15,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,63;0,00;0,00;0,00;20,63;0,00;0,00;20,63;20,63;82,53;0,00;20,63;0,00;20,63;41,26;41,26;4,55;4,39;3,81;4,83;4,71;3,54;4,84;4,90;4,53;4,28;4,14
1708205;Formoso do Araguaia;16,67;26,62;19,23;13,47;17,86;13,20;12,15;16,78;10,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,02;0,00;67,34;0,00;0,00;0,00;5,30;0,00;0,00;0,00;10,59;0,00;10,59;5,30;0,00;5,30;15,89;5,30;5,30;15,89;5,30;5,30;0,00;10,59;2,98;2,84;3,08;3,15;2,44;3,07;4,48;3,86;3,46;3,60;3,25
1708254;Tabocão;18,18;0,00;0,00;40,82;35,71;12,99;0,00;52,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,94;0,00;0,00;0,00;0,00;0,00;28,94;28,94;28,94;0,00;0,00;57,89;28,94;28,94;0,00;4,68;4,41;5,35;4,96;3,08;3,85;2,15;2,84;1,67;3,50;1,52
1711902;Lagoa da Confusão;51,16;21,01;49,55;24,79;29,52;33,90;11,41;24,22;23,08;28,23;0,00;56,82;91,74;0,00;0,00;0,00;0,00;90,09;0,00;0,00;0,00;0,00;6,54;13,08;6,54;13,08;0,00;13,08;6,54;6,54;19,62;13,08;13,08;6,54;26,16;0,00;6,54;19,62;13,08;0,00;4,99;4,11;3,76;3,58;3,87;3,48;2,62;2,95;3,14;2,93;1,99
1712702;Mateiros;71,43;0,00;26,32;0,00;23,26;20,41;0,00;50,00;40,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,39;0,00;0,00;36,39;0,00;36,39;0,00;0,00;0,00;36,39;3,59;2,83;5,71;3,96;3,00;5,83;6,24;3,39;3,85;3,83;3,67
1716505;Pedro Afonso;23,17;10,75;11,90;11,11;25,00;7,78;35,86;13,64;31,53;18,78;46,73;0,00;40,16;39,37;0,00;0,00;0,00;39,68;0,00;0,00;0,00;0,00;0,00;0,00;7,11;0,00;0,00;0,00;0,00;0,00;7,11;0,00;0,00;21,34;7,11;7,11;0,00;7,11;14,23;7,11;4,29;3,28;4,86;3,18;3,53;3,25;3,14;2,73;2,78;3,26;3,10
1716604;Peixe;7,75;15,63;23,08;7,94;6,94;22,90;14,93;7,69;24,39;24,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,73;0,00;0,00;0,00;0,00;0,00;0,00;10,73;0,00;10,73;10,73;0,00;21,47;0,00;10,73;0,00;21,47;10,73;0,00;0,00;3,23;2,88;2,37;4,20;3,50;3,61;4,63;4,80;4,59;4,47;4,80
1718204;Porto Nacional;11,63;12,51;7,25;14,01;18,46;12,62;11,81;20,63;19,51;18,15;0,00;0,00;0,00;0,00;21,32;9,69;0,00;54,40;0,00;9,07;3,10;0,00;1,55;0,00;1,55;1,55;0,00;1,55;0,00;3,10;12,42;15,52;10,87;12,42;10,87;9,31;12,42;1,55;13,97;12,42;3,10;3,80;4,86;4,59;3,53;3,75;4,30;4,00;3,72;3,71;3,35
1718303;Praia Norte;25,00;15,15;0,00;9,43;0,00;10,75;12,35;0,00;0,00;11,24;0,00;65,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,06;0,00;0,00;0,00;11,06;33,17;0,00;11,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,11;0,00;0,00;6,94;7,56;5,89;5,54;4,55;4,50;4,50;3,25;4,37;4,43;3,39
