IBGE;MUNIC;NHB2114;NHB2115;NHB2116;NHB2117;NHB2118;NHB2119;NHB2120;NHB2121;NHB2122;NHB2123;NHB2124;NHB2214;NHB2215;NHB2216;NHB2217;NHB2218;NHB2219;NHB2220;NHB2221;NHB2222;NHB2223;NHB2224;NHB2314;NHB2315;NHB2316;NHB2317;NHB2318;NHB2319;NHB2320;NHB2321;NHB2322
1501303;Barcarena;22,37;23,58;23,66;24,05;24,03;24,43;24,47;24,81;25,69;26,08;26,32;60,98;59,25;50,27;34,46;17,39;10,80;7,53;6,28;4,73;3,99;3,64;19,89;21,16;24,21;26,47;18,97;22,12;36,35;36,35;36,35
1500107;Abaetetuba;23,38;22,20;21,36;23,56;25,69;26,56;27,09;26,21;26,01;26,05;25,02;29,57;30,53;31,80;38,38;42,68;46,50;48,64;51,37;56,88;57,57;56,67;15,32;15,40;14,99;14,85;13,12;13,06;13,08;12,96;17,79
1500206;Acará;27,34;26,67;26,30;25,75;25,79;25,68;25,33;25,70;26,03;26,32;27,36;5,69;4,95;6,58;7,37;10,91;11,31;11,09;11,46;19,40;24,56;31,47;;23,56;;;;;;13,72;13,32
1503457;Ipixuna do Pará;72,05;74,98;75,70;76,29;75,90;74,57;74,41;74,90;74,51;75,00;75,78;37,93;43,48;45,99;48,92;49,39;50,47;51,48;54,65;54,28;54,32;55,86;;;;;;;;96,77;95,95
1504703;Moju;28,69;29,99;30,90;30,87;28,11;28,53;28,58;28,61;29,39;30,83;32,25;31,45;33,39;35,82;39,89;41,08;41,39;41,04;44,29;48,13;49,13;48,78;7,81;7,68;4,85;4,78;3,86;3,90;8,13;8,35;15,10
1505502;Paragominas;65,56;69,48;72,42;74,83;77,34;79,12;80,56;81,60;81,59;82,03;83,04;12,84;6,80;4,64;6,73;11,26;11,96;13,27;15,56;17,16;17,16;16,71;69,05;77,33;82,61;82,44;82,28;82,33;83,89;84,67;95,75
1508001;Tomé-Açu;58,14;57,69;59,04;59,12;59,09;59,32;59,48;60,41;61,79;62,00;63,33;45,22;47,29;50,13;49,55;51,28;55,11;54,44;53,77;57,03;56,07;56,08;68,45;75,48;75,19;74,49;73,20;68,39;69,14;79,25;75,83
1501402;Belém;74,13;75,09;76,04;76,87;77,39;77,59;77,64;77,58;78,25;78,37;77,97;62,28;68,80;73,63;76,72;76,85;76,48;76,47;77,28;78,91;79,66;79,70;90,89;97,44;70,41;71,27;70,30;71,50;73,41;76,84;95,52
1100072;Corumbiara;12,17;14,25;17,07;17,06;13,90;15,10;16,16;16,78;18,54;18,81;18,79;14,46;13,85;26,16;28,30;25,96;22,65;19,42;16,38;18,30;18,98;13,85;17,22;19,72;17,89;22,44;26,88;29,37;27,83;29,50;28,99
1503754;Jacareacanga;23,30;20,76;19,29;20,68;20,78;20,27;19,49;18,79;21,01;21,54;20,93;13,05;14,89;15,55;20,69;22,85;21,84;19,24;16,65;13,61;20,36;24,63;9,64;9,64;10,12;52,12;;50,98;55,34;;66,55
1600238;Ferreira Gomes;71,27;69,10;67,32;64,91;65,47;65,77;65,36;66,64;63,46;62,18;61,17;24,89;18,83;17,11;6,94;4,80;4,14;3,84;3,72;3,09;2,41;1,12;35,43;32,91;32,30;33,91;31,12;30,03;29,27;28,55;32,01
1700707;Alvorada;79,00;80,90;83,38;82,84;84,59;85,04;85,71;86,21;86,42;87,26;87,89;30,83;38,73;49,93;57,11;63,77;59,91;62,91;63,62;68,20;70,79;71,57;92,64;99,84;99,95;93,21;94,17;94,33;94,49;94,64;92,72
1703842;Campos Lindos;67,84;69,63;71,55;71,17;70,73;68,86;68,74;70,05;69,75;69,11;69,39;23,86;17,79;12,47;7,87;6,19;5,23;5,03;6,06;4,44;4,42;3,28;59,15;78,52;76,92;65,65;67,07;67,90;68,75;69,60;59,20
1703909;Caseara;50,71;49,87;48,89;50,78;53,14;53,44;54,01;53,96;54,31;53,68;51,72;76,50;84,78;87,08;79,78;75,61;72,89;70,65;72,43;73,57;74,72;77,05;59,49;58,61;57,77;59,49;59,49;58,67;95,85;97,35;95,50
1708205;Formoso do Araguaia;50,57;55,94;55,71;55,07;58,35;56,72;58,25;59,11;57,41;56,91;57,34;20,53;15,89;13,21;13,61;12,28;9,19;8,60;7,62;5,32;3,96;2,99;69,85;72,85;72,96;76,80;78,18;78,94;79,69;80,46;72,36
1708254;Tabocão;80,21;83,28;83,82;86,41;85,97;86,69;87,47;87,32;86,98;88,37;87,37;17,81;8,28;10,87;25,66;35,84;42,58;48,30;53,06;60,27;65,08;63,00;81,35;80,91;80,47;81,35;81,37;81,11;81,36;81,34;97,89
1711902;Lagoa da Confusão;56,65;62,01;62,20;60,96;60,72;59,50;60,30;61,57;63,77;59,25;58,94;12,65;11,99;9,72;10,22;9,42;7,46;7,02;6,38;5,13;4,70;5,08;61,95;72,92;71,07;68,08;69,38;70,17;70,92;71,69;62,02
1712702;Mateiros;68,43;70,26;69,32;69,71;68,55;64,14;62,17;61,90;61,28;61,73;59,63;7,83;5,35;3,88;4,17;3,56;2,20;1,79;1,62;1,51;1,44;1,58;;;42,80;63,73;63,76;63,67;63,76;63,76;58,55
1716505;Pedro Afonso;85,53;86,06;86,71;87,03;89,10;88,30;88,34;88,33;89,75;89,95;90,21;88,88;93,58;95,60;89,34;76,37;75,29;75,62;78,79;82,56;82,53;83,97;;;86,80;100,00;99,66;98,39;98,01;99,90;99,32
1716604;Peixe;63,95;64,35;65,94;66,10;66,25;65,81;66,36;66,86;65,93;64,98;64,70;25,27;19,66;16,24;16,35;16,65;15,98;16,06;15,76;16,58;16,32;17,30;50,36;57,19;56,55;55,75;57,01;57,75;58,50;59,26;63,23
1718204;Porto Nacional;87,84;88,38;87,78;87,50;85,02;83,87;82,17;80,28;79,71;79,77;79,63;81,44;81,96;83,41;85,48;80,02;79,02;79,05;78,62;78,22;78,96;80,84;88,46;99,99;99,37;90,84;91,97;92,27;92,58;92,88;86,35
1718303;Praia Norte;81,71;86,02;87,48;87,54;88,26;88,72;88,24;88,69;88,47;89,20;89,21;57,75;60,64;55,80;60,08;65,29;72,82;77,14;80,17;84,77;86,87;87,63;58,34;57,83;57,35;58,34;58,34;58,34;58,33;65,58;64,12
1718899;Santa Rita do Tocantins;41,85;42,83;44,40;43,31;39,52;41,48;41,60;39,81;44,25;43,02;42,91;11,39;5,77;3,55;3,52;2,13;1,40;1,20;2,03;7,28;13,58;16,99;43,15;42,74;42,33;43,15;43,13;43,13;43,13;43,12;40,69
1718907;Santa Rosa do Tocantins;39,85;40,82;39,97;41,31;42,49;41,88;41,94;42,51;41,67;42,41;42,62;9,99;14,90;45,45;29,82;30,83;27,44;23,14;20,51;16,44;12,94;12,50;64,51;64,23;63,96;64,51;64,52;64,51;64,51;69,59;61,21
1721257;Tupirama;66,27;66,67;68,80;68,66;71,33;70,97;72,01;71,70;69,53;70,50;68,88;80,20;87,39;92,82;94,00;97,54;97,62;96,56;96,54;97,00;97,53;97,08;56,54;55,56;54,61;59,09;59,09;58,12;95,63;97,13;97,07
2101400;Balsas;63,71;67,23;69,52;71,85;73,09;74,44;75,22;75,53;75,72;75,72;76,43;40,15;36,59;33,67;35,34;31,98;23,31;19,90;19,78;23,00;24,08;25,18;82,66;89,15;88,99;88,80;92,10;91,16;90,17;89,74;86,41
5100201;Água Boa;81,80;82,30;82,18;82,05;83,51;83,84;83,14;83,40;83,64;83,64;83,08;16,08;25,41;27,16;37,08;60,37;72,03;68,09;63,11;52,31;29,37;16,40;78,07;76,43;76,98;82,80;80,74;81,91;82,64;82,23;84,69
