IBGE;MUNIC;NHB3114;NHB3115;NHB3116;NHB3117;NHB3118;NHB3119;NHB3120;NHB3121;NHB3122;NHB3123;NHB3124;NHB3214;NHB3215;NHB3216;NHB3217;NHB3218;NHB3219;NHB3220;NHB3221;NHB3222;NHB3223;NHB3224;NHB3314;NHB3315;NHB3316;NHB3317;NHB3318;NHB3319;NHB3320;NHB3321;NHB3322;NHB3323;NHB3324;NHB3414;NHB3415;NHB3416;NHB3417;NHB3418;NHB3419;NHB3420;NHB3421;NHB3422;NHB3423;NHB3424
1501303;Barcarena;71,47;72,77;73,76;74,57;75,21;75,17;75,19;75,96;77,12;77,10;76,72;58,35;61,21;63,23;63,84;63,75;63,02;61,96;61,28;60,93;61,73;62,65;71,93;70,69;71,22;71,13;72,20;74,47;75,56;76,13;73,28;72,55;72,54;75,28;83,23;86,91;89,11;91,55;93,37;94,31;95,09;95,13;95,02;94,55
1500107;Abaetetuba;44,72;44,98;45,09;48,61;51,62;52,14;53,25;54,15;55,82;57,50;57,22;45,14;45,96;46,47;51,54;54,31;55,92;56,94;58,65;61,57;62,52;61,98;74,24;72,18;70,66;65,20;61,48;60,69;60,72;61,40;61,95;62,76;63,98;46,49;56,51;60,84;63,12;65,55;67,22;68,35;70,54;73,05;74,05;75,09
1500206;Acará;26,21;24,79;23,71;23,19;22,50;22,20;21,54;21,90;21,81;21,97;22,25;38,45;39,32;39,90;42,24;44,46;46,21;46,85;47,39;42,74;42,22;41,31;90,80;90,40;90,12;88,67;86,01;84,70;84,21;83,18;78,74;77,75;75,90;80,22;87,10;90,75;90,70;90,35;90,58;90,70;89,87;84,52;84,95;86,52
1503457;Ipixuna do Pará;59,43;61,49;61,64;60,54;59,30;57,97;57,54;58,47;58,61;58,61;59,26;56,44;59,68;61,43;62,36;61,70;59,35;59,15;60,20;57,78;57,09;57,65;74,89;72,54;71,20;69,91;69,74;69,62;70,51;68,41;66,62;66,39;67,16;65,90;75,07;78,51;78,85;78,28;77,21;77,30;78,44;78,16;79,12;80,44
1504703;Moju;42,67;43,79;44,87;46,26;47,05;46,76;46,47;47,19;47,62;46,20;43,65;55,16;55,39;55,31;54,46;49,23;45,47;44,44;41,87;40,47;40,75;40,76;43,77;38,83;39,09;45,33;47,20;46,73;46,54;47,77;50,39;53,04;56,34;46,81;51,96;55,65;62,08;64,10;64,10;63,68;63,83;65,41;67,02;68,74
1505502;Paragominas;69,32;81,49;87,10;87,17;88,17;88,65;88,80;88,45;87,78;87,65;87,66;85,94;89,36;90,63;91,21;92,01;92,39;92,63;92,89;92,16;91,87;91,68;46,33;57,04;63,51;64,33;65,79;66,82;66,93;67,64;68,09;68,85;69,76;71,13;84,50;90,58;91,10;92,04;92,43;92,70;93,15;93,27;93,64;94,10
1508001;Tomé-Açu;57,22;57,48;58,42;57,95;56,58;54,95;54,36;54,81;56,22;56,69;57,80;73,06;75,25;75,78;74,46;73,28;71,51;71,64;71,85;68,35;67,05;67,03;70,82;68,42;69,08;69,86;73,88;76,81;77,54;79,17;80,26;80,45;81,09;54,51;68,72;78,99;81,20;84,27;85,86;86,37;87,60;87,93;88,52;90,18
1501402;Belém;89,10;87,74;87,74;87,95;87,41;86,99;86,79;86,44;85,60;85,37;85,18;75,65;78,93;80,90;84,36;87,03;87,94;87,96;88,32;86,09;85,28;85,23;71,77;65,98;65,03;66,43;67,87;68,50;69,58;70,11;69,51;69,74;70,05;43,31;61,34;70,31;79,67;86,06;89,01;90,11;90,75;90,86;91,28;91,54
1100072;Corumbiara;25,91;25,32;34,41;36,90;34,69;39,82;43,37;46,13;48,67;50,40;49,95;83,32;85,32;86,97;87,90;88,14;89,77;91,19;92,64;93,82;94,94;95,09;86,33;79,06;78,08;75,69;69,49;69,20;68,78;66,54;68,33;70,81;74,03;71,44;89,18;93,44;93,85;93,67;94,12;94,76;95,62;96,22;96,27;96,79
1503754;Jacareacanga;30,25;30,41;30,44;34,30;36,17;37,67;37,51;39,09;43,66;43,72;43,05;34,63;36,51;39,72;41,06;43,67;42,95;40,78;40,88;44,76;45,01;43,80;52,87;51,68;61,65;68,01;74,38;78,61;80,84;82,35;82,27;84,55;85,56;25,91;33,54;40,68;48,36;51,27;52,54;53,53;56,97;62,06;63,34;63,37
