IBGE;MUNIC;NHB41A14;NHB41A15;NHB41A16;NHB41A17;NHB41A18;NHB41A19;NHB41A20;NHB41A21;NHB41A22;NHB41A23;NHB42A14;NHB42A15;NHB42A16;NHB42A17;NHB42A18;NHB42A19;NHB42A20;NHB42A21;NHB42A22;NHB42A23;NHB4314;NHB4315;NHB4316;NHB4317;NHB4318;NHB4319;NHB4320;NHB4321;NHB4322;NHB4323
1501303;Barcarena;83,03;94,89;94,89;80,06;112,68;88,96;100,82;38,55;56,34;68,20;43,39;53,55;38,81;46,21;47,43;44,91;46,45;22,42;28,42;36,32;6,32;7,11;13,42;15,00;16,58;15,00;14,21;15,79;13,42;15,79
1500107;Abaetetuba;97,11;60,11;62,42;104,04;113,29;67,05;41,62;80,92;83,23;39,30;45,68;38,56;36,86;60,63;50,55;37,41;18,86;36,15;36,67;20,86;5,06;9,48;10,75;13,91;8,85;5,69;12,01;6,95;13,28;11,38
1500206;Acará;63,66;89,12;89,12;89,12;70,02;89,12;82,76;82,76;70,02;82,76;27,75;44,39;59,17;48,06;45,03;50,37;43,11;41,26;43,57;34,85;15,25;22,03;11,86;23,72;13,55;15,25;18,64;11,86;23,72;13,55
1503457;Ipixuna do Pará;12,54;62,72;87,81;125,44;75,26;75,26;137,98;175,61;87,81;100,35;12,36;32,45;26,48;24,10;28,82;34,35;35,05;35,73;59,35;75,84;9,89;13,19;19,78;9,89;26,38;36,27;13,19;16,49;26,38;13,19
1504703;Moju;165,75;170,00;85,00;114,75;102,00;76,50;85,00;51,00;85,00;68,00;85,42;76,24;48,33;68,90;64,21;45,07;39,67;24,93;43,35;34,92;17,84;19,03;5,95;15,46;24,97;8,32;13,08;13,08;9,51;11,89
1505502;Paragominas;69,53;128,63;121,68;107,77;100,82;97,34;107,77;128,63;111,25;62,58;44,58;71,96;74,62;63,62;69,79;50,38;52,40;57,84;56,85;49,27;18,00;32,21;40,74;38,84;27,48;18,00;36,00;39,79;33,16;39,79
1508001;Tomé-Açu;65,67;87,56;43,78;131,33;71,14;191,53;158,70;87,56;82,08;65,67;41,81;57,89;34,37;79,40;60,46;92,99;84,34;49,53;46,06;38,63;16,28;19,24;19,24;11,84;23,67;16,28;26,63;14,80;19,24;38,47
1501402;Belém;138,72;145,11;177,35;197,84;183,40;96,74;59,79;51,06;48,70;43,67;49,48;49,25;63,76;70,17;66,03;35,10;24,21;19,38;21,25;20,18;8,13;6,06;7,44;8,75;7,29;7,83;6,91;6,44;7,83;6,52
1100072;Corumbiara;0,00;64,43;128,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,19;22,62;34,29;0,00;39,65;13,53;13,85;14,18;0,00;26,60;26,60;39,90;0,00;13,30;13,30;0,00;66,50;26,60;13,30;26,60
1503754;Jacareacanga;28,99;28,99;28,99;28,99;0,00;57,98;86,97;86,97;14,49;43,48;28,49;41,34;33,89;86,86;78,66;133,51;197,63;172,61;24,96;29,12;20,80;12,48;4,16;16,64;4,16;8,32;20,80;12,48;16,64;16,64
1600238;Ferreira Gomes;119,62;0,00;59,81;119,62;59,81;59,81;59,81;59,81;59,81;0,00;44,68;28,98;28,22;68,78;13,17;25,71;37,66;12,27;15,00;15,00;15,00;15,00;15,00;15,00;15,00;0,00;0,00;15,00;45,00;30,00
1700707;Alvorada;48,45;48,45;48,45;48,45;0,00;0,00;48,45;0,00;48,45;48,45;23,40;35,15;23,46;11,74;0,00;0,00;35,73;0,00;11,36;22,72;136,33;90,89;215,86;68,17;34,08;68,17;34,08;45,44;45,44;22,72
1703842;Campos Lindos;0,00;0,00;0,00;41,08;82,17;41,08;41,08;41,08;41,08;0,00;0,00;0,00;0,00;30,63;20,17;9,89;19,39;9,52;11,56;11,56;23,11;34,67;34,67;34,67;11,56;11,56;23,11;11,56;34,67;11,56
