IBGE;MUNIC;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
5100201;Água Boa;44,86;49,46;71,37;54,67;14,92;66,15;76,82;69,59;13,09;66,53;64,98;52,14;41,65;0,00;33,19;34,01;30,54
5100300;Alto Araguaia;45,76;38,84;66,58;55,51;11,70;74,80;73,10;62,25;5,53;75,10;67,10;100,00;38,46;0,00;32,96;34,95;23,54
5100409;Alto Garças;59,50;19,42;68,53;45,38;24,19;24,24;75,88;62,21;2,00;75,46;76,16;35,00;36,26;0,00;27,20;29,93;15,86
1700707;Alvorada;47,11;40,28;59,96;41,62;32,74;53,08;62,05;64,69;5,64;63,38;64,56;100,00;46,71;0,00;3,24;79,76;21,73
5101407;Aripuanã;52,07;48,44;64,10;43,93;7,44;66,26;64,69;56,81;14,24;64,13;71,96;15,00;17,12;0,00;58,62;29,93;35,01
2101400;Balsas;53,70;46,21;63,70;31,04;13,43;41,03;49,10;58,47;7,73;63,17;68,18;100,00;29,06;0,00;36,42;25,85;14,44
1501303;Barcarena;56,42;53,62;66,64;29,17;26,65;56,53;49,22;46,10;13,89;73,84;50,85;100,00;53,07;0,00;26,87;33,75;39,41
5101902;Brasnorte;45,01;42,65;70,82;34,69;9,10;53,41;60,03;69,66;2,67;72,20;69,95;100,00;20,95;0,00;44,68;29,93;17,28
1703842;Campos Lindos;48,21;56,28;55,49;32,31;20,53;33,80;11,11;30,96;2,11;74,54;69,10;34,55;26,32;0,00;27,11;36,90;11,15
5102694;Canabrava do Norte;50,11;44,54;68,36;48,53;22,11;24,42;61,64;49,83;0,62;77,35;75,23;77,04;26,68;0,00;29,90;32,14;22,33
1703909;Caseara;47,67;44,09;60,09;44,39;41,75;31,45;17,85;66,97;17,38;59,36;72,50;100,00;35,00;0,00;40,23;84,92;15,26
5103056;Cláudia;53,77;41,33;61,79;50,75;10,37;81,55;66,79;63,83;10,92;62,56;75,05;100,00;8,85;80,00;33,78;46,93;28,44
5103304;Comodoro;49,29;52,72;62,23;46,33;7,32;46,81;56,54;55,73;10,49;65,63;59,59;51,39;25,67;0,00;49,91;72,62;9,89
1100072;Corumbiara;36,76;48,29;69,40;44,64;38,27;22,86;70,00;58,37;2,20;76,23;75,53;100,00;39,68;0,00;16,30;54,89;8,08
5103601;Dom Aquino;44,10;56,55;59,47;42,89;64,32;21,36;77,71;60,49;6,65;80,82;69,21;77,04;43,72;3,42;26,14;25,85;15,52
5103700;Feliz Natal;59,90;36,25;58,80;40,07;24,50;29,82;74,56;66,45;11,55;64,53;63,67;100,00;10,35;0,00;44,91;44,30;26,71
1600238;Ferreira Gomes;59,94;50,06;57,53;30,46;39,50;7,14;51,66;41,04;1,58;72,33;74,26;100,00;51,39;0,00;60,15;41,44;9,94
1708205;Formoso do Araguaia;48,94;52,17;66,33;33,29;16,71;44,80;49,26;45,34;2,54;71,40;70,69;82,73;23,72;0,00;16,83;33,65;7,04
5103908;General Carneiro;51,75;61,89;48,31;33,47;39,25;38,60;62,48;54,94;11,02;65,07;63,97;75,91;44,40;0,00;28,32;80,16;9,68
