IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1500107;Abaetetuba;37,92;54,03;52,52;62,99;38,08;29,56;27,26;29,70;38,41;8,18;71,62;69,56;52,27;58,37;0,00;20,20;27,78;4,14
1500305;Afuá;38,31;61,08;50,29;58,42;15,04;45,23;29,96;2,78;25,35;0,65;72,26;28,81;100,00;73,08;0,00;53,50;31,66;3,17
1500404;Alenquer;40,27;52,80;52,07;49,02;26,57;44,96;27,06;0,93;39,30;21,77;75,04;75,20;90,91;28,00;0,00;56,37;40,41;4,11
1300102;Anori;33,01;53,11;38,54;52,10;30,40;21,27;0,00;32,76;33,29;0,81;57,52;41,73;55,80;70,09;0,00;30,78;31,23;11,75
1300144;Apuí;38,91;49,85;36,37;63,06;41,24;7,60;24,15;8,33;40,05;5,20;70,21;74,22;100,00;22,45;0,00;82,39;30,61;5,70
1300300;Autazes;34,62;61,48;45,95;60,00;21,11;32,69;24,80;9,23;41,66;11,88;73,17;74,30;35,65;39,45;0,00;24,29;29,50;3,44
1501204;Baião;43,02;56,86;65,88;63,27;24,44;48,08;48,21;21,65;46,80;1,54;73,28;70,73;94,55;26,71;0,00;40,02;47,29;1,99
2101806;Benedito Leite;35,41;51,97;53,37;66,20;28,74;50,84;27,49;14,29;24,89;0,38;77,27;65,94;53,86;43,35;0,00;13,84;26,75;2,79
1501600;Bonito;37,27;52,64;49,96;62,69;28,95;28,18;0,00;38,56;39,92;6,13;77,85;74,95;77,04;40,55;0,00;20,77;31,17;4,30
1501782;Breu Branco;38,12;50,40;50,60;52,21;33,62;41,81;28,50;44,81;25,07;2,72;73,36;53,24;100,00;19,00;0,00;31,47;35,60;5,59
1502301;Capitão Poço;36,60;50,12;47,57;55,64;27,21;19,30;30,08;30,36;43,53;6,48;65,04;70,35;77,04;44,49;0,00;21,18;27,89;5,91
1301001;Carauari;39,20;50,46;49,43;56,82;22,19;36,86;38,74;42,98;45,03;1,56;76,69;35,16;50,98;68,84;0,00;46,15;39,48;5,08
1301159;Careiro da Várzea;37,75;56,48;39,35;59,14;29,05;9,70;21,48;32,40;44,30;0,00;70,06;64,68;95,91;39,14;0,00;15,24;62,97;1,91
1703891;Carrasco Bonito;45,05;36,70;61,10;47,28;40,18;32,88;64,04;44,75;27,91;6,10;68,22;57,72;100,00;27,23;58,82;42,23;38,68;12,09
2103257;Cidelândia;36,31;48,29;33,00;59,10;33,99;30,49;25,41;51,15;42,62;7,05;73,55;68,44;31,36;19,63;0,00;24,06;48,87;20,32
1502756;Concórdia do Pará;38,79;54,40;49,35;60,16;24,82;37,36;24,62;31,95;47,52;2,81;60,98;69,66;100,00;40,27;0,00;20,44;29,93;5,17
2103802;Dom Pedro;38,57;49,88;36,50;60,18;32,98;18,62;14,50;56,04;42,60;6,28;81,52;65,64;100,00;66,59;0,00;0,32;22,92;1,06
1503002;Faro;48,52;54,36;56,50;57,59;26,18;39,79;40,36;17,74;49,08;28,78;70,69;70,83;100,00;49,49;0,00;80,73;82,14;0,64
1503093;Goianésia do Pará;36,97;55,52;59,14;57,01;31,85;28,04;43,86;41,65;34,92;3,90;64,13;74,25;64,09;5,00;0,00;28,42;30,22;6,46
1503309;Igarapé-Miri;34,55;52,87;51,12;55,97;17,77;14,89;27,70;8,75;35,70;29,06;71,38;65,31;63,18;54,07;0,00;14,02;21,09;4,46
2105401;Itapecuru Mirim;38,95;46,76;44,57;63,06;22,05;22,19;56,52;48,32;35,58;2,08;60,18;69,28;77,04;62,28;0,00;13,79;34,24;4,30
2105500;João Lisboa;35,39;46,21;34,46;58,35;32,39;15,37;31,59;55,42;38,92;1,52;76,18;69,10;49,80;50,21;0,00;7,73;27,43;6,92
1302405;Lábrea;31,90;52,36;33,81;57,79;7,51;30,98;31,81;7,41;35,56;4,27;71,41;33,57;50,64;26,55;0,00;77,79;13,22;7,59
1504059;Mãe do Rio;40,77;53,37;54,84;64,67;36,37;12,24;21,91;42,92;42,18;4,68;79,66;69,55;100,00;54,57;0,00;26,99;23,81;5,39
1504109;Magalhães Barata;39,05;46,82;48,78;66,16;36,81;8,71;20,16;42,87;41,98;2,06;73,93;72,68;77,04;39,50;0,00;38,74;45,68;1,92
1302702;Manicoré;39,18;53,64;46,95;59,88;25,65;34,66;45,20;8,83;38,62;2,28;66,96;74,44;81,82;28,82;0,00;57,82;34,56;5,97
2106359;Marajá do Sena;36,20;55,86;47,89;60,55;20,38;50,17;25,33;9,26;15,16;42,01;77,60;70,77;78,64;15,37;0,00;4,07;27,55;14,78
1200351;Marechal Thaumaturgo;38,63;66,92;50,79;49,98;14,59;44,78;24,45;27,78;44,62;0,42;77,34;72,56;51,77;49,24;0,00;40,78;35,98;4,63
1504976;Nova Ipixuna;36,65;49,04;55,56;60,03;28,31;21,15;30,41;36,83;37,79;0,64;62,40;71,18;75,46;28,80;0,00;33,28;28,93;3,22
1505205;Oeiras do Pará;37,70;57,26;56,29;53,07;21,57;60,06;29,39;0,00;43,78;0,64;71,15;70,79;60,91;35,00;0,00;10,08;68,37;2,64
1505403;Ourém;41,17;47,41;51,58;64,65;32,11;45,99;27,58;39,60;40,12;1,58;59,01;66,84;100,00;57,76;0,00;34,01;21,09;10,60
1505494;Palestina do Pará;42,76;46,80;58,03;62,46;26,61;39,89;48,93;18,95;39,59;2,64;76,92;77,03;95,46;38,17;0,00;29,64;64,29;1,46
1303403;Parintins;39,87;50,75;50,41;59,16;33,79;28,99;57,52;20,49;38,19;3,65;60,21;36,15;95,00;67,76;0,00;34,41;33,03;8,33
2108603;Pinheiro;41,45;48,44;49,71;59,95;31,17;18,59;25,21;53,32;41,25;8,34;67,90;69,59;100,00;42,55;0,00;53,71;25,51;9,49
1200393;Porto Walter;40,83;63,88;59,05;46,99;16,88;39,98;26,31;27,78;49,00;0,61;76,05;75,43;100,00;49,79;0,00;30,71;25,36;6,23
