IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1500206;Acará;30,54;54,72;45,33;59,47;20,65;22,73;34,94;1,85;38,54;5,95;74,65;51,84;77,04;0;0;1,74;23,47;6,28
1200013;Acrelândia;37,58;53,19;35,92;63,61;37,06;23,2;8,89;63,53;34,62;5,2;72,71;71,7;92,27;34,81;0;2,63;38,06;1,51
1500602;Altamira;41,06;56,09;45,87;57,76;33,58;14,41;69,26;39,76;48,88;10,68;67,21;42,51;100;27,78;0;71,79;0;12,4
1400050;Alto Alegre;38,27;60,43;55,4;39,35;24,11;39,74;28,53;0;45,8;6,91;68,88;61,97;77,04;44,01;0;62,05;25,51;10,87
1100346;Alvorada D'Oeste;52,28;41,01;41,48;63,43;43,02;34,12;67,65;70,56;49,21;9,08;67,98;67,21;100;48,63;89,44;36,68;55,64;3,63
1702109;Araguaína;48,39;52,24;44,97;66,42;53,16;22,05;76,46;59,85;53,65;18,95;66,14;46,58;100;46,82;24,9;28,34;32,91;29,12
5101308;Arenápolis;45,11;52,19;52,4;73,72;52,71;44,6;36,44;70,32;42,93;8,75;77,72;69,51;100;35,02;0;14,3;25,76;10,43
1703073;Barra do Ouro;40,12;47,88;53,49;57,48;44,91;53,3;46,83;11,61;26,91;1,6;77,02;58,2;100;39,84;0;5,4;48,08;9,44
1703305;Bom Jesus do Tocantins;39,19;54,88;48,45;61,88;30,45;15,11;26,64;19,73;44,92;3,28;78,74;66,55;100;41,47;0;12,66;49,77;11,74
1501725;Brasil Novo;37,18;52;42,59;65,92;32,32;28,34;54,5;17,77;47,02;6,24;60,04;63,19;62,27;16,82;0;42,97;32,07;8,05
1200104;Brasiléia;40,22;56,65;52,11;55,78;28,7;34,4;31,51;60,95;43,12;5,93;52,06;58,94;77,04;25;24,1;38,94;34,25;4,24
1703826;Cachoeirinha;44,71;49,2;45,97;58,81;44,77;48,03;38,59;52,05;49,9;1,24;74,96;71,55;100;57,06;20;10,14;30,16;7,57
5102603;Campinápolis;38,83;62,53;52,1;43,66;21,19;31,92;36,64;25;49,07;3,39;56,58;73,89;71,36;23,92;0;35,04;57,69;16,12
