IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1503457;Ipixuna do Pará;35,69;61,95;46,07;56,62;23,74;26,24;53,94;0,00;23,89;7,59;64,17;72,17;95,46;10,19;0,00;28,44;28,74;7,44
2100600;Amarante do Maranhão;34,21;49,15;57,57;60,95;17,05;15,49;24,58;20,03;41,33;1,57;65,37;70,30;86,82;23,60;0,00;24,02;22,94;0,71
1300086;Anamã;41,61;57,15;42,53;59,46;27,83;45,99;23,44;28,87;38,18;0,32;76,48;70,99;77,04;52,40;0,00;23,96;77,38;5,42
1500958;Aurora do Pará;38,13;55,82;57,16;62,66;19,80;32,36;35,65;5,97;31,86;0,87;72,28;73,27;100,00;32,92;0,00;14,60;49,75;3,21
1501006;Aveiro;40,71;55,18;49,45;48,83;23,04;49,39;30,83;1,85;35,68;0,00;71,45;52,67;100,00;31,58;0,00;68,77;67,34;6,02
2101772;Bela Vista do Maranhão;43,04;43,07;56,02;66,42;24,81;48,05;23,91;51,11;35,23;3,51;82,01;69,77;77,04;40,84;0,00;30,34;61,90;17,59
1300680;Boa Vista do Ramos;34,74;55,60;44,06;50,81;23,67;58,68;29,18;6,48;37,80;1,75;70,30;46,75;37,25;63,06;0,00;29,64;32,91;2,68
2102002;Bom Jardim;33,04;51,25;37,28;54,84;22,31;29,53;25,62;37,74;41,26;3,23;72,45;63,78;49,75;3,00;0,00;35,28;28,56;5,88
1300805;Borba;36,74;54,49;52,35;52,97;21,58;22,72;57,47;15,06;29,31;1,60;69,26;74,00;29,59;50,39;0,00;38,28;50,79;4,65
1300904;Canutama;38,66;59,63;37,70;56,80;11,26;30,89;51,69;7,41;38,79;1,57;69,22;76,26;52,57;28,57;0,00;76,13;57,06;1,70
2103174;Centro Novo do Maranhão;30,43;53,31;52,54;52,03;15,30;35,65;24,84;14,45;29,35;0,29;74,84;70,16;0,00;23,98;0,00;28,61;39,76;2,19
1502905;Curuçá;38,91;56,26;43,76;59,33;30,05;17,11;24,77;45,16;32,99;1,11;61,43;71,65;81,36;56,92;0,00;38,90;36,86;3,87
