IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1505502;Paragominas;39,08;53,68;50,06;62,28;34,64;15,08;65,75;51,80;46,39;7,97;64,64;64,14;42,75;23,08;10,00;30,48;25,85;15,83
2100055;Açailândia;37,98;46,50;48,10;64,46;38,53;8,12;58,97;58,01;39,36;4,51;61,31;64,13;65,91;15,61;0,00;27,80;33,04;11,30
1700400;Almas;41,83;45,36;46,03;57,08;36,43;37,63;39,94;27,72;34,91;1,09;73,33;70,50;100,00;33,55;0,00;50,82;48,64;8,13
5100250;Alta Floresta;50,98;55,76;48,99;68,48;47,77;41,82;80,37;75,94;61,19;10,94;62,06;60,93;72,27;36,57;47,99;37,73;35,56;22,24
1100379;Alto Alegre dos Parecis;39,96;41,40;45,14;67,36;36,10;15,00;41,87;50,04;44,79;4,99;74,88;67,63;57,13;38,52;0,00;32,68;52,84;8,91
5100359;Alto Boa Vista;42,84;50,15;60,75;53,42;41,24;46,02;24,61;36,51;52,47;9,88;75,61;78,42;77,04;1,00;0,00;34,01;80,16;7,02
1701903;Araguacema;41,26;44,61;45,69;59,77;32,43;21,14;38,56;13,03;49,43;1,80;79,79;72,36;100,00;33,66;0,00;55,35;45,71;8,10
5101258;Araputanga;43,63;53,40;46,68;63,90;51,24;17,62;24,62;72,72;54,89;11,61;80,03;65,95;77,04;50,23;0,00;28,83;31,33;11,64
2101251;Bacabeira;36,88;48,53;34,52;62,94;33,12;23,83;4,93;43,54;36,19;9,59;78,21;68,63;77,04;49,00;0,00;30,22;21,43;5,23
1501253;Bannach;39,43;44,58;54,35;59,66;36,39;20,00;22,92;17,03;47,83;1,30;71,63;73,82;77,04;19,65;0,00;47,26;40,44;36,45
1703602;Brasilândia do Tocantins;44,68;49,26;37,03;49,63;48,86;26,46;42,28;42,87;51,78;0,63;75,82;81,05;100,00;42,27;0,00;19,95;82,14;9,49
