IBGE;MUNIC;ODS;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
1508001;Tomé-Açu;32,93;57,12;52,38;58,34;28,99;7,91;45,30;26,30;42,37;2,27;60,68;51,54;62,42;3,07;0,00;21,80;29,93;9,39
1701002;Ananás;43,20;42,54;41,38;65,14;42,33;40,02;64,45;49,45;46,52;2,62;76,77;72,13;67,73;32,71;10,38;19,06;54,52;6,64
1500800;Ananindeua;36,22;56,90;39,30;54,93;42,62;18,65;61,26;53,24;37,38;8,75;67,40;21,27;35,77;69,86;0,00;4,43;29,93;13,98
1702554;Augustinópolis;43,80;43,79;47,18;63,68;42,62;38,94;72,84;49,11;43,79;7,98;74,60;64,00;67,73;40,04;27,23;27,11;27,89;6,02
1702703;Aurora do Tocantins;47,30;44,77;65,51;56,98;53,03;32,02;42,47;45,46;54,23;15,88;63,35;79,90;100,00;46,69;0,00;17,49;80,16;6,21
5101605;Barão de Melgaço;40,38;56,42;36,76;62,86;42,98;22,24;0,00;54,62;41,40;0,22;73,20;74,28;100,00;23,90;0,00;46,42;45,39;5,75
1501758;Brejo Grande do Araguaia;41,95;49,28;53,61;65,30;28,85;39,60;54,75;25,44;46,53;0,70;65,12;74,35;100,00;32,42;0,00;17,28;48,79;11,19
1600204;Calçoene;41,64;58,86;39,38;48,18;31,19;37,18;22,28;37,86;34,65;0,00;73,98;73,24;100,00;38,67;0,00;81,92;18,71;11,75
1705557;Combinado;44,17;48,53;43,61;53,92;55,18;24,15;37,38;50,68;37,77;10,59;79,00;70,89;100,00;62,14;0,00;27,61;44,66;4,81
1705607;Conceição do Tocantins;44,01;45,51;36,85;62,72;46,62;52,19;45,14;7,41;40,76;3,61;70,69;80,22;100,00;43,19;0,00;14,06;82,54;16,65
1100080;Costa Marques;41,05;44,34;34,43;62,37;34,54;40,03;4,71;45,46;45,87;10,40;73,54;69,27;100,00;24,20;0,00;31,79;70,75;6,22
5103379;Cotriguaçu;41,34;42,96;56,69;68,97;42,17;26,16;39,28;21,30;43,20;12,42;68,24;71,13;100,00;19,98;0,00;42,33;39,00;9,01
1502939;Dom Eliseu;36,05;54,87;49,69;60,87;32,54;9,85;46,20;41,22;32,35;4,37;67,64;65,83;77,04;5,00;0,00;28,62;30,92;5,89
1301407;Eirunepé;35,32;52,67;52,24;49,83;18,79;26,66;15,57;12,48;38,32;0,72;64,40;33,43;100,00;61,39;0,00;39,85;27,10;7,08
1502954;Eldorado do Carajás;33,68;41,15;38,94;54,93;25,36;9,55;43,21;23,95;44,34;4,85;74,09;62,73;54,55;40,45;0,00;28,62;23,81;2,05
1200302;Feijó;37,80;58,89;49,46;42,92;14,54;45,36;23,53;27,78;39,45;2,99;65,69;69,56;100,00;31,36;0,00;34,08;33,48;3,48
2104800;Grajaú;36,56;52,55;42,31;59,44;20,07;14,68;36,70;38,79;41,20;3,72;65,47;63,80;77,04;43,70;0,00;29,51;27,55;5,06
1400282;Iracema;34,89;62,34;52,20;41,88;30,21;30,23;30,13;0,00;27,69;7,89;73,67;74,02;40,12;26,46;0,00;39,51;21,09;35,74
1302009;Itapiranga;38,24;52,33;60,07;64,50;30,71;24,07;22,92;31,35;32,20;0,46;70,95;77,15;74,09;62,97;0,00;23,73;14,29;8,23
1600253;Itaubal;42,58;64,00;38,35;58,94;34,64;38,14;25,16;35,51;20,24;5,75;64,31;71,94;100,00;39,21;0,00;26,57;75,00;26,12
1503705;Itupiranga;34,99;53,47;53,56;57,69;18,94;9,39;56,92;18,12;34,37;5,22;60,51;69,62;70,91;19,29;0,00;30,75;31,69;4,40
1302504;Manacapuru;35,12;54,53;50,73;56,74;26,67;8,58;52,55;34,87;37,86;3,83;68,45;46,55;53,22;58,11;0,00;12,54;25,85;5,94
1712801;Maurilândia do Tocantins;40,53;44,92;47,61;56,11;30,14;57,35;24,67;42,66;41,42;3,99;70,55;75,22;100,00;45,01;0,00;18,16;27,26;3,96
1600402;Mazagão;38,10;58,24;58,62;56,17;24,36;25,50;4,13;17,61;42,96;36,48;68,36;70,61;20,91;29,55;0,00;54,97;25,68;53,56
1504703;Moju;35,70;57,31;34,14;54,33;20,14;41,58;35,80;13,29;45,08;2,71;63,48;67,36;100,00;9,50;0,00;22,45;27,94;11,75
1714302;Nazaré;45,21;40,87;45,91;62,44;49,05;38,01;41,83;50,87;32,63;0,65;68,00;82,51;100,00;51,47;0,00;15,65;79,76;8,98
2107258;Nova Colinas;41,61;45,87;47,82;67,98;30,45;34,60;48,25;22,90;28,49;0,59;72,60;75,74;100,00;43,09;0,00;9,75;72,62;6,68
1504950;Nova Esperança do Piriá;35,34;52,29;50,75;57,36;18,70;29,82;24,76;0,93;49,63;0,79;72,11;69,94;100,00;28,58;0,00;22,95;21,43;0,81
1715150;Novo Alegre;45,11;37,99;36,05;70,83;62,79;39,06;36,67;40,92;34,79;0,96;78,72;77,89;100,00;49,07;0,00;15,26;82,14;3,72
1715259;Novo Jardim;40,80;41,96;41,92;54,18;40,94;38,97;35,86;29,89;32,26;0,79;86,09;81,50;100,00;51,72;0,00;10,12;44,87;2,55
1400456;Pacaraima;41,11;60,55;50,95;59,15;32,15;42,58;27,90;0,00;44,85;3,13;60,21;71,96;93,18;43,65;0,00;22,95;69,70;16,01
2108009;Pastos Bons;41,25;43,57;37,56;61,27;34,28;50,30;43,91;45,11;44,07;1,31;69,92;66,31;100,00;52,77;0,00;21,87;26,38;2,63
1600535;Porto Grande;40,56;62,86;32,48;59,85;33,14;38,06;20,24;41,65;28,99;0,99;76,36;67,99;100,00;48,90;0,00;44,82;20,99;12,23
1600550;Pracuúba;40,22;62,19;50,08;52,62;28,92;39,13;5,20;48,09;45,73;0,00;72,76;53,06;77,04;44,95;0,00;72,18;28,11;3,73
2109106;Presidente Dutra;41,88;49,69;55,76;62,60;34,05;14,61;33,73;56,38;44,19;11,86;75,69;71,33;100,00;72,09;0,00;0,33;21,43;8,26
2109551;Ribamar Fiquene;38,76;51,43;59,97;66,71;17,24;20,00;24,65;52,14;19,89;2,37;75,08;66,90;77,04;44,66;0,00;2,10;73,02;5,66
1506203;Salinópolis;42,94;51,67;52,95;55,30;34,51;36,87;44,54;49,51;47,74;1,96;65,76;76,29;77,04;65,51;0,00;27,38;25,88;17,08
2109908;Santa Inês;39,60;50,77;45,69;59,20;32,25;15,81;33,14;57,88;41,13;7,98;65,03;71,46;87,73;55,08;0,00;21,56;21,43;7,14
1200435;Santa Rosa do Purus;41,79;62,24;36,71;34,91;15,79;38,78;27,07;29,63;44,28;0,00;73,23;74,86;100,00;53,49;0,00;38,72;77,38;3,35
1719004;Santa Tereza do Tocantins;40,72;50,79;55,41;51,75;46,37;25,78;32,27;36,23;50,06;1,13;77,73;64,05;100,00;46,04;0,00;4,20;48,12;2,30
1720002;Santa Terezinha do Tocantins;42,34;36,08;53,81;62,60;40,06;30,19;27,72;39,64;27,65;0,00;77,74;77,89;76,82;50,75;0,00;29,10;77,38;12,43
1507409;São Francisco do Pará;38,25;54,69;48,86;65,92;31,92;3,20;15,95;47,02;39,61;1,14;83,20;71,14;89,55;38,61;0,00;27,32;23,47;8,64
1720259;São Salvador do Tocantins;41,80;53,37;49,53;72,83;48,24;33,25;27,48;13,56;32,70;1,67;70,29;63,45;100,00;39,27;0,00;10,59;82,54;11,84
1200500;Sena Madureira;35,95;62,14;28,09;62,23;23,20;17,10;25,70;41,62;36,05;2,78;73,18;75,96;23,64;28,27;0,00;47,57;58,68;4,95
1600055;Serra do Navio;51,98;59,40;38,32;59,88;40,99;30,68;41,55;50,54;24,34;0,00;79,64;75,83;100,00;50,64;61,11;90,51;77,38;2,77
