IBGE;MUNIC;OP2114;OP2115;OP2116;OP2117;OP2118;OP2119;OP2120;OP2121;OP2122;OP2123;OP2124;OP2214;OP2215;OP2216;OP2217;OP2218;OP2219;OP2220;OP2221;OP2222;OP2223;OP2224;OP2314;OP2315;OP2316;OP2317;OP2318;OP2319;OP2320;OP2321;OP2322;OP2323;OP2324;OP2414;OP2415;OP2416;OP2417;OP2418;OP2419;OP2420;OP2421;OP2422;OP2423;OP2424
1100015;Alta Floresta D'Oeste;;;;;3;;3;3;;;;20,23;19,84;17,79;17,51;14,95;14,99;17,72;16,81;17,39;15,93;;44,68;38,94;28,54;9,12;2,85;0,00;0,00;0,00;6,75;;;20,53;24,66;28,22;30,79;20,34;28,34;24,32;28,57;47,28;46,21;
1100023;Ariquemes;;;;;8;;8;6;;;;23,5;21,59;20,7;19,72;18,07;19,32;17,65;17,15;13,95;13,86;;71,44;33,71;16,83;0,87;0,94;0,00;0,00;0,69;0,59;;;23,25;17,89;23,53;27,38;28,78;33,6;30,66;29,9;27,77;33;
1100031;Cabixi;;;;;3;;3;3;;;;16;17,44;16,44;11,94;8,54;17,5;11,59;22,06;15,63;12,99;;39,45;12,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;40;48,84;49,32;53,73;46,34;50;43,48;54,41;50;51,95;
1100049;Cacoal;;;;;7;;7;6;;;;16,99;15,81;15,92;13,71;13,83;12,66;12,15;10,83;11,6;10,35;;21,93;10,72;4,44;3,61;3,37;0,93;0,00;0,00;2,06;;;18,29;20,22;17,86;17,7;16,25;19,58;18,19;20,94;20,99;22,78;
1100056;Cerejeiras;;;;;3;;3;3;;;;21,2;14,8;16,35;16,61;14,77;11,39;13,01;15,54;15,81;12,14;;110,75;64,24;5,92;0,00;0,00;0,00;0,00;0,00;0,99;;;44;40,43;44,87;45,49;41,67;38,4;37,17;37,85;36,03;33,57;
1100064;Colorado do Oeste;;;;;2;;2;3;;;;16,85;17,53;14,8;12,76;17,45;14,49;12,81;11,69;8,78;14,89;;83,96;83,29;67,69;24,02;5,95;0,00;0,00;0,00;16,28;;;44,32;47,01;44,84;47,74;45,53;46,26;48,28;43,29;49,76;45,21;
1100072;Corumbiara;;;;;2;;2;2;;;;17,6;20,72;20,14;20,69;21,71;18,9;14,95;22,88;15,53;25,77;;179,46;165,47;67,01;8,03;0,00;0,00;0,00;0,00;12,51;;;38,4;43,24;56,83;44,83;42,64;47,24;44,86;41,53;39,81;59,79;
1100080;Costa Marques;;;;;1;;1;2;;;;32,21;32,24;32,39;20,83;30,08;30,04;22,63;22,05;16,06;18,72;;40,35;8,25;8,59;4,18;0,00;0,00;0,00;0,00;2,13;;;26,97;27,35;37,09;37,5;25,61;32,19;33,68;38,46;45,87;45,66;
1100098;Espigão D'Oeste;;;;;5;;5;4;;;;20,77;18,8;24,49;18,57;21,43;19,11;15,5;16,49;15,8;16,08;;17,93;10,67;2,25;0,00;0,00;0,00;0,00;0,00;0,37;;;17,34;12,23;16,46;15,2;23,95;22,67;22,29;28,45;24,89;41,54;
1100106;Guajará-Mirim;;;;;2;;2;2;;;;26,98;21,78;24,89;24,47;23,76;22,28;20,86;23,26;19,92;21,37;;58,74;46,88;18,86;4,97;1,67;1,38;0,00;0,00;1,98;;;84,51;80,75;73,3;80,29;80,24;80,79;81,59;82,61;81,02;81,51;
1100114;Jaru;;;;;5;;5;2;;;;21,22;15,99;15,86;14,42;14,82;15,78;15,58;15,98;16,29;12,18;;42,00;13,55;2,98;1,55;1,68;0,00;0,00;0,00;1,03;;;25,61;20,3;26,89;19,86;21,62;24,52;29,71;30,11;37,3;47,15;
1100122;Ji-Paraná;;;;;7;;7;5;;;;18,25;17,48;16,45;16,88;14,97;14,99;13,83;14,66;12,19;12,27;;14,94;7,54;4,14;4,30;3,10;0,00;0,65;0,00;0,47;;;16,51;17,53;17,66;18,1;15,36;17,14;17,53;17,95;19,9;30,65;
1100130;Machadinho D'Oeste;;;;;4;;4;2;;;;27,02;25,42;26,88;20,27;19,15;19;19,07;20,73;15,86;20,32;;15,54;5,40;3,81;5,61;2,05;0,00;0,00;0,00;1,91;;;18,74;25;26,63;22,94;19,73;20;18,54;25,21;26,71;33,53;
1100148;Nova Brasilândia D'Oeste;;;;;2;;2;3;;;;23,23;19,53;20,29;14,29;19,66;10,34;13,48;18,45;15,25;14,04;;30,14;21,23;20,25;8,22;2,86;2,71;2,61;2,38;2,13;;;17,32;18,75;21,38;21,88;18,62;26,44;28,26;36,05;28,39;24,56;
1100155;Ouro Preto do Oeste;;;;;3;;3;3;;;;18,84;17,6;15,29;17,3;16,12;17,43;13,17;13,2;13,35;13,67;;24,16;17,64;8,47;2,11;0,00;0,00;0,00;0,00;1,76;;;16,77;17,99;16,15;19,03;19,22;21,39;28,67;25,09;25,38;25,09;
1100189;Pimenta Bueno;;;;;5;;5;5;;;;18,59;23,91;22,96;17,72;17,36;19,48;15,37;16,75;13,12;12,05;;1,83;2,31;7,99;14,59;0,00;0,00;0,00;0,00;1,82;;;30,65;31,48;33,94;33,01;31,95;31,66;33,51;31,59;26,06;24,76;
1100205;Porto Velho;;;;;7;;7;6;;;;21,27;20,82;19,95;17,83;17,56;16,74;15,49;15,16;13,5;13,6;;22,36;23,52;16,41;9,81;4,67;2,16;1,92;1,07;0,52;;;30,13;35,64;38,45;36,23;35,77;39,07;43,35;43,4;46,71;47,87;
1100254;Presidente Médici;;;;;5;;5;5;;;;15,22;15,65;19,93;14,53;18,03;18,42;13,13;16,93;13,95;12,9;;42,04;22,68;14,77;6,88;0,00;0,00;0,00;0,00;3,61;;;20,76;21,37;21,38;19,03;18,37;18,75;20,08;22,05;26,53;33,06;
1100262;Rio Crespo;;;;;1;;1;3;;;;8,33;25;17,14;16,33;15,22;14;14,58;8,33;17,14;21,21;;69,28;30,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;27,78;22,22;14,29;36,73;34,78;34;25;31,25;42,86;39,39;
1100288;Rolim de Moura;;;;;6;;6;3;;;;19,85;19,34;17,43;17,03;16,44;14,67;13,45;12,99;10,42;12,62;;12,28;7,92;6,81;0,00;0,00;0,00;0,00;0,00;1,13;;;18,48;19,87;24,09;33,54;32,89;35,28;42,3;44;45,51;52,67;
1100296;Santa Luzia D'Oeste;;;;;1;;1;1;;;;15,53;25,69;16,67;13,39;13,59;14,14;16,16;12,82;15,07;13,89;;28,26;14,70;15,64;7,75;0,00;0,00;0,00;0,00;3,90;;;18,45;14,68;27,19;29,46;31,07;30,3;38,38;41,03;42,47;40,28;
1100304;Vilhena;;;;;8;;8;7;;;;18,69;16,87;17,59;17,88;14;14,97;15,45;15,16;13,49;12,31;;21,70;6,51;3,10;0,97;1,75;0,00;0,00;0,70;0,70;;;63,12;62,15;63,21;59,11;59,09;60,63;59,11;55,88;56,25;58,75;
1100320;São Miguel do Guaporé;;;;;1;;1;3;;;;24,73;21,54;16,91;19,62;13,55;15,01;17,91;11,92;12,11;13,41;;18,33;4,91;5,63;0,00;0,00;0,00;0,00;0,00;0,94;;;28,02;35,69;33,53;20,97;25,83;25,5;24,79;32,85;38,14;28,28;
1100338;Nova Mamoré;;;;;0;;0;3;;;;22,82;22,52;21,65;22,38;24,07;23,15;20,09;20,47;17,67;14,87;;176,21;121,63;63,92;47,86;25,37;2,75;2,86;2,52;2,52;;;60,47;54,95;51,09;57,49;62,03;56,48;58,39;58,85;57,54;66,81;
1100346;Alvorada D'Oeste;;;;;4;;4;2;;;;18,48;21,5;21,69;17,42;16,05;19,02;16,67;10;11,48;11,56;;2,46;2,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;19,57;18;18,07;16,85;16,67;29,27;19,05;19,5;21,31;36,18;
1100379;Alto Alegre dos Parecis;;;;;1;;1;2;;;;16,86;19,46;22,62;23,26;18,75;20,78;14,38;16,78;18,67;17,47;;318,62;156,17;94,08;23,74;0,00;0,00;0,00;0,00;19,64;;;15,12;13,42;22,02;31,4;26,88;38,96;29,45;36,36;42;42,77;
1100403;Alto Paraíso;;;;;1;;1;2;;;;27,17;20,65;25,45;23,97;21,92;21,68;19,72;14,29;13,73;16,67;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;22,44;21,46;24,55;28,1;34,25;34,96;26,15;29,46;32,84;36,57;
1100452;Buritis;;;;;2;;2;2;;;;21,13;21,22;24,68;21,52;20,1;17,67;17,13;14,76;20,7;12,68;;59,79;40,42;25,21;6,45;2,14;1,96;0,00;0,00;5,96;;;15,65;27,96;26,28;26,58;24,15;27,27;31,1;30,44;37,72;37,02;
1100502;Novo Horizonte do Oeste;;;;;0;;0;2;;;;15,05;18,35;18,95;23,08;14,41;8,16;14,1;9,52;8,82;11,43;;15,59;11,68;12,56;0,00;0,00;0,00;0,00;0,00;2,09;;;17,2;11,01;22,11;29,67;24,32;28,57;32,05;17,86;19,61;35,71;
1100601;Cacaulândia;;;;;3;;3;2;;;;22,41;25;20,9;26,76;18,75;18,67;21,43;8,33;15,63;14,29;;160,23;71,94;38,17;25,25;13,62;13,07;0,00;0,00;8,79;;;12,07;23,61;20,9;29,58;22,5;26,67;25,71;28,33;23,44;28,57;
1100700;Campo Novo de Rondônia;;;;;3;;3;2;;;;24,31;17,31;28,4;26,44;20;15,66;16,18;23,31;21,9;13,14;;57,78;49,33;10,33;10,49;0,00;0,00;0,00;0,00;3,47;;;17,68;21,79;24,07;25,86;21,54;25,3;31,79;22,56;27,01;30,66;
1100809;Candeias do Jamari;;;;;3;;3;1;;;;30,41;27,55;27,15;26,95;25,65;20,77;25;20,11;21,56;18,88;;12,27;4,81;2,17;4,23;0,00;0,00;0,00;1,42;1,25;;;38,85;46,44;43,82;41,31;40,62;43,03;47,67;43,06;48,8;52,21;
1100908;Castanheiras;;;;;2;;2;1;;;;19,57;25;20;10,26;16,07;9,38;10,81;10,81;10,34;17,02;;102,46;64,10;29,37;15,70;0,00;0,00;0,00;0,00;7,51;;;17,39;11,54;27,27;35,9;33,93;40,63;40,54;45,95;27,59;42,55;
1100924;Chupinguaia;;;;;2;;2;2;;;;27,85;26,62;20,26;22,49;22,65;22,22;22,22;15,79;17,9;10,71;;282,42;186,57;90,24;42,92;0,00;0,00;0,00;0,00;22,19;;;62,66;69,48;66,01;65,09;61,33;56,79;62,96;55,26;56,79;56,55;
1100940;Cujubim;;;;;0;;0;1;;;;25,83;26,64;28,63;23,44;21,83;20;21,95;21,4;19,71;15,87;;8,37;8,31;14,81;22,50;3,62;0,00;0,00;3,23;5,82;;;34,58;36,5;35,68;45,93;28,82;32,68;33,33;31,69;27,88;36,54;
1101005;Governador Jorge Teixeira;;;;;1;;1;1;;;;16,13;18,94;21,43;18,35;14,29;23,21;13,95;17,14;12,79;9,47;;40,16;22,20;24,21;26,22;6,04;0,00;0,00;0,00;9,41;;;20,97;21,21;24,11;14,68;21,05;20,54;25,58;23,81;34,88;35,79;
1101104;Itapuã do Oeste;;;;;2;;2;2;;;;23,71;32,14;27,13;33,68;19,57;21,1;23,53;17,5;18,69;14,58;;5,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;41,24;38,39;47,29;45,26;46,74;40,37;49,58;45;42,99;53,13;
1101203;Ministro Andreazza;;;;;1;;1;1;;;;16,82;18,28;15,05;18;11,96;7,14;22,97;12,31;8,22;8,82;;54,59;27,20;17,93;0,00;8,35;0,00;0,00;0,00;4,38;;;19,63;11,83;13,98;22;14,13;11,9;10,81;4,62;20,55;22,06;
1101302;Mirante da Serra;;;;;1;;1;1;;;;21,9;21,23;22,3;16,03;18,13;13,41;11,9;15,03;12,31;12,84;;69,57;58,71;42,94;33,76;12,39;3,76;3,67;0,00;16,08;;;16,06;17,32;20,95;12,82;16,25;17,68;20,83;15,03;22,31;22,94;
1101401;Monte Negro;;;;;3;;3;2;;;;24,51;23,75;22,54;18;23,64;17,09;16,17;18,29;21,08;16,76;;90,29;32,47;4,36;0,00;5,14;0,00;0,00;0,00;1,58;;;15,69;15;18,5;31;34,09;33,67;23,95;25,14;29,52;28,9;
1101435;Nova União;;;;;0;;0;1;;;;17,27;20,55;16,67;14,89;11,49;12,5;10,34;14,12;15,53;12,5;;30,47;15,42;8,35;7,14;7,91;0,00;0,00;0,00;3,90;;;21,82;19,18;18,89;21,28;14,94;18,27;22,99;25,88;19,42;20,83;
1101450;Parecis;;;;;0;;0;1;;;;18,37;20,37;14;23,53;15,09;15,91;11,86;20;22,22;18,42;;64,64;9,68;9,87;0,00;0,00;0,00;0,00;0,00;1,65;;;24,49;20,37;24;29,41;33,96;45,45;52,54;42,5;46,67;34,21;
1101468;Pimenteiras do Oeste;;;;;1;;1;2;;;;37,84;38,46;23,53;25;17,31;20;17,95;26,19;25,71;20,83;;41,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;70,27;65,38;64,71;71,15;71,15;70;69,23;66,67;65,71;75;
1101476;Primavera de Rondônia;;;;;2;;2;2;;;;23,4;15;26,79;17,46;26,32;9,3;15,79;12,5;12,5;4,88;;42,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;31,91;30;19,64;17,46;21,05;23,26;34,21;27,5;30;17,07;
1101484;São Felipe D'Oeste;;;;;1;;1;2;;;;13,56;15,07;14,81;16;9,26;16,67;9,23;6,67;21,67;9,23;;109,81;39,34;27,42;0,00;0,00;0,00;0,00;0,00;4,57;;;20,34;26,03;16,67;25,33;27,78;33,33;16,92;35,56;25;26,15;
1101492;São Francisco do Guaporé;;;;;1;;1;1;;;;25,32;18,81;24,59;23,12;16,51;15,51;16,92;17,96;16,43;11,79;;47,73;29,75;18,76;3,39;3,60;3,29;3,33;0,00;5,40;;;23,38;23,51;31,15;35,14;20,18;26,4;27,82;36,97;45,45;38,78;
1101500;Seringueiras;;;;;2;;2;2;;;;20,59;25,53;24,56;18,62;22,08;20,24;13,58;18,89;10,16;14,07;;29,90;8,02;4,30;0,00;0,00;0,00;0,00;0,00;0,72;;;21,76;22,87;23,98;18,62;18,83;17,86;20,99;36,67;35,29;27,14;
1101559;Teixeirópolis;;;;;1;;1;2;;;;24,64;16,9;28,81;15,52;11,67;15,63;7,14;4;9,43;16,67;;40,28;11,60;0,00;0,00;0,00;14,53;0,00;0,00;2,42;;;8,7;14,08;13,56;17,24;15;15,63;23,81;22;22,64;16,67;
1101609;Theobroma;;;;;2;;2;2;;;;18,4;22,43;17,56;19,86;17,56;18,56;14,78;20,48;12,09;12,33;;44,92;14,95;5,61;12,36;6,85;0,00;0,00;0,00;4,14;;;28,8;14,95;25,95;16,44;27,48;24,74;36,52;30,12;34,07;38,36;
1101708;Urupá;;;;;2;;2;2;;;;19,67;18,12;23,18;22;16,55;13,53;9,79;11,18;9,32;10,12;;79,24;53,30;48,53;65,73;188,32;31,80;14,29;35,23;50,96;;;12,3;15,94;17,88;24;15,11;12,94;18,88;21,12;27,33;28,57;
1101757;Vale do Anari;;;;;1;;1;1;;;;23,44;17,92;19,09;23,26;14,29;12,9;15,28;14,67;9,88;13,24;;10,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;25;17,92;26,36;17,44;19,78;20,43;18,06;24;16,05;33,82;
1101807;Vale do Paraíso;;;;;1;;1;2;;;;7,78;15,87;23,47;12,66;18,95;22,22;19,35;18,06;15,48;11,59;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;14,44;15,87;15,31;18,99;18,95;25,93;24,19;20,83;20,24;20,29;
1200013;Acrelândia;;;;;1;;1;1;;;;26,77;24,42;23,42;25,39;28,24;23,74;17,3;17,53;20;22,98;;96,62;46,28;14,78;7,15;0,00;0,00;0,00;0,00;3,65;;;12,27;12,9;15,32;16,02;18,98;24,12;21,52;28,69;33,17;35,89;
1200054;Assis Brasil;;;;;5;;5;3;;;;36,22;28,15;33,16;26,61;34,85;30,08;30,23;29,15;31,91;26,89;;12,29;19,44;32,72;11,72;10,83;0,00;5,15;4,89;4,14;;;15,31;16,81;15,26;17,34;29,17;10,9;14,42;23,62;28,94;24,79;
1200104;Brasiléia;;;;;3;;3;1;;;;31,08;30,51;28,78;28,42;27,22;27,78;27,7;24,57;21,96;21,39;;43,70;28,40;25,75;13,69;7,86;1,88;0,00;0,00;8,20;;;19,56;22,41;15,92;21,58;23,15;9,44;18,41;26,1;42,44;37,19;
1200138;Bujari;;;;;3;;3;0;;;;34,3;29,44;30,24;30,94;25,82;26,44;28,63;24,3;25,22;19,14;;261,40;111,17;81,38;69,03;48,22;4,52;0,00;0,00;33,86;;;16,12;19,35;16,53;14,33;23,2;25,53;34,02;32,67;39,57;38,67;
1200179;Capixaba;;;;;3;;3;1;;;;32,05;27,4;24,23;29,22;26,58;25,35;25,79;26,98;21,98;25;;116,54;117,59;130,62;75,68;38,68;16,04;12,15;0,00;45,53;;;27,35;17,35;16,49;20,58;21,17;21,2;30,53;29,3;39,56;33,33;
1200203;Cruzeiro do Sul;;;;;9;;9;7;;;;28,49;27,08;26,84;26,48;24,72;23,94;22,65;23,24;20;21,87;;275,75;175,34;66,39;26,49;6,49;5,97;4,66;5,54;2,55;;;23,87;22,57;20,53;18,82;14,12;13,93;18,98;20,9;23,3;20,57;
1200252;Epitaciolândia;;;;;3;;3;2;;;;25,95;31,18;25,19;24,74;22,71;22,61;22,18;18,75;16,55;16,37;;159,11;111,73;34,33;19,86;3,64;3,22;3,24;2,91;2,13;;;16,41;13,98;17,41;16,49;18,32;17,83;18,43;22,37;44,24;36,65;
1200302;Feijó;;;;;2;;2;2;;;;31,72;33,55;32,13;28,57;33,13;30,08;28,39;29,47;31,03;28,84;;64,70;34,18;27,57;20,34;6,29;1,52;0,00;0,00;9,29;;;40,05;36,27;40,05;26,29;20,53;21,81;24,84;22,95;20,02;22,46;
1200328;Jordão;;;;;2;;2;1;;;;29,08;37,36;32,7;34,21;35,04;34,86;31,71;35,47;34,35;33,94;;300,49;227,90;145,50;88,66;56,29;24,01;11,68;5,33;4,75;;;28,01;20,51;20,53;20,3;21,9;18,35;26,83;28,38;33,48;40,51;
1200336;Mâncio Lima;;;;;4;;4;3;;;;24,94;27,34;29,23;25,7;29,7;25,51;26,9;25,59;26,97;24,01;;72,76;22,64;0,00;0,00;0,00;17,11;12,19;6,72;6,72;;;20,1;22,03;18,15;14,8;14,71;15,36;20;19;21,52;22,6;
1200344;Manoel Urbano;;;;;3;;3;2;;;;30,86;32,33;26,27;24,52;30,95;32,17;31,07;26,81;28,93;28,07;;157,07;88,24;28,57;4,47;4,04;3,79;3,74;3,40;2,79;;;23,87;23,68;19,07;21,07;23,41;21,74;16,43;19,93;26,45;32,98;
1200351;Marechal Thaumaturgo;;;;;3;;3;2;;;;27,51;31,24;31,25;31,19;31,7;31,03;29,04;34,99;25;35,78;;299,63;69,95;44,37;36,42;26,12;8,24;5,34;0,00;20,08;;;18,12;15,73;15,34;15,21;14,74;16,74;15,27;16,25;21,47;16,42;
1200385;Plácido de Castro;;;;;1;;1;3;;;;29,81;30,86;30,09;26,56;29,45;26,73;24,21;25,53;23,05;21,69;;99,60;25,77;7,99;7,73;0,00;10,95;11,38;3,40;2,51;;;18,01;16,29;19,17;21,97;19,09;21,7;29,12;31,91;33,98;25,3;
1200393;Porto Walter;;;;;3;;3;3;;;;30;33,21;36,52;33,69;36,61;33,33;32,06;29,59;37,97;29,65;;115,68;78,60;84,65;120,55;146,60;169,58;119,64;93,59;68,77;;;11,6;12,6;15,65;10,99;12,2;11,85;14,29;18,64;24,81;22,12;
1200401;Rio Branco;;;;;10;;10;7;;;;22,85;22,41;20,97;19,75;18,01;17,43;16,66;16,34;15,19;15,42;;32,94;13,70;10,50;8,52;5,33;2,73;2,07;0,98;0,79;;;19,36;18,55;18,32;21,66;24,48;28,12;34,29;37,47;39,88;40,17;
1200427;Rodrigues Alves;;;;;2;;2;2;;;;27,16;29,55;30,26;28,42;29,95;29,64;28,82;30,45;28,97;32,16;;41,07;10,36;132,93;55,45;37,08;17,84;14,78;2,71;2,71;;;24,11;23,74;22,04;16,12;18,02;24,85;25,94;29,55;17,13;20,14;
1200435;Santa Rosa do Purus;;;;;2;;2;1;;;;17,84;26,67;30,53;32,83;28,5;23,12;31,54;31,46;29,17;29,85;;658,48;467,71;271,74;77,59;37,91;0,00;0,00;0,00;64,54;;;16,76;34;32,63;22,73;20,77;15,05;23,49;32,58;30,56;36,82;
1200450;Senador Guiomard;;;;;2;;2;2;;;;28,48;29,57;27,07;27,09;27,52;23,98;27,43;19,64;17,44;21,68;;94,58;63,14;37,03;22,11;12,57;3,25;3,27;3,10;2,70;;;20,53;16,93;19,51;21,01;25,84;22,06;32,92;32,4;30,23;32,66;
1200500;Sena Madureira;;;;;5;;5;3;;;;34,1;29,28;32,41;30,26;27,41;28,13;24,7;27,93;26,08;27,46;;85,65;66,35;44,63;30,20;17,21;2,13;0,00;0,00;15,69;;;17,29;15,35;18,5;15,9;15,23;15,63;15,57;30,96;69,46;72,67;
1200609;Tarauacá;;;;;3;;3;3;;;;35,04;32,62;34,6;33,3;35,62;35,43;32,3;35,18;30,24;30,5;;555,56;300,00;111,28;53,08;20,43;5,17;12,66;5,91;3,30;;;33,5;29,18;26,99;26,06;23,05;33,16;39,02;63,37;59,74;61,35;
1200708;Xapuri;;;;;4;;4;3;;;;34,97;31,37;29,18;30,82;28,92;27,27;28,16;24,85;25,16;18,75;;57,86;41,08;26,40;14,71;13,58;6,34;6,28;0,00;11,22;;;29,74;33,85;23,1;22,62;24;22,9;28,8;25,46;42,99;35,2;
1200807;Porto Acre;;;;;2;;2;2;;;;26,09;31,28;25,84;30;28,06;27,44;25,21;26,55;21,43;22,45;;190,18;173,48;133,30;75,84;2,41;0,00;0,00;0,00;35,26;;;15,76;14,25;12,64;20,23;23,98;22,69;33,24;32,77;40,18;36,73;
1300029;Alvarães;;;;;1;;1;2;;;;38,96;40,64;40,31;36,41;39,31;36,84;34,26;38,65;33,64;30,39;;95,27;101,31;41,40;16,04;6,52;0,00;0,00;0,00;10,66;;;66,23;59,94;55,38;65,84;75,72;76,08;83,38;74,16;79,09;67,65;
1300060;Amaturá;;;;;3;;3;2;;;;30,68;30,84;27,5;32,58;29,15;27,92;26,04;30,88;31,27;26,67;;139,82;96,20;57,39;45,13;21,65;8,34;0,00;0,00;22,08;;;58,71;29,91;57,86;73,41;74,9;71,32;70,19;82,11;79,92;77,08;
1300086;Anamã;;;;;2;;2;1;;;;37,26;36,81;29,67;34,69;30,84;30,53;35,53;31,67;29,44;23,44;;269,10;164,86;99,01;50,34;31,97;15,16;14,86;10,51;6,08;;;24,53;42,94;64,29;48,47;53,27;46,32;58,77;66,11;78,89;74,48;
1300102;Anori;;;;;2;;2;1;;;;34,08;36,08;31,95;28,79;29,55;29,18;31,78;31,68;23,53;26,09;;61,77;63,52;54,86;24,58;7,83;2,51;0,00;0,00;14,96;;;35,21;31,37;43,98;51,36;44,13;36,48;36,05;52,67;75,21;84,06;
1300144;Apuí;;;;;2;;2;2;;;;37,22;36,27;30,33;30,9;26,86;23,43;23,02;24,14;22,51;22,34;;47,22;27,92;15,85;6,51;21,08;6,40;0,00;0,00;8,31;;;22,42;13,73;21,8;62,66;63,64;70,29;72,45;61,72;66,42;76,19;
1300201;Atalaia do Norte;;;;;4;;4;3;;;;30,34;30,52;27,11;34,03;28,85;29,71;26,79;22,88;30,21;31,56;;29,83;18,46;10,92;26,13;61,42;80,73;58,64;53,36;38,60;;;23,22;23,23;23,16;36,13;34,17;31,31;55;59,41;56,95;50,56;
1300300;Autazes;;;;;3;;3;1;;;;33,51;31,48;33,15;33,67;36,92;34,86;30,02;32,11;32,71;29,95;;74,13;38,14;20,29;12,48;23,58;0,00;0,98;0,00;9,55;;;75,18;86,13;85,39;51,39;41,03;36,58;39,07;39,26;38,79;50;
1300409;Barcelos;;;;;2;;2;1;;;;37,71;34,26;31,65;32,63;31,05;33,45;31,79;30,57;22,05;27,92;;457,81;252,21;140,21;57,73;27,62;10,48;9,54;2,22;2,22;;;32,22;27,72;40,52;60,11;62,46;55,58;86,92;79,88;86,41;92,28;
1300508;Barreirinha;;;;;3;;3;1;;;;30,29;28,59;32,1;30,57;31,61;29,99;30,73;28,54;26,87;30,71;;150,70;174,87;130,72;88,59;57,32;16,90;7,92;3,70;3,37;;;22,75;22,94;21,73;23,79;23,74;23,92;24,82;40,68;36,2;41,12;
1300607;Benjamin Constant;;;;;5;;5;4;;;;27,02;25,21;26,54;25,99;27,01;24,76;25,51;25,21;24,5;24,59;;309,49;294,28;235,31;176,53;141,40;90,77;56,17;0,00;1,11;;;21,17;25;32,52;38,11;37,46;54,47;76,83;79,34;81,65;81,63;
1300631;Beruri;;;;;0;;0;2;;;;30,33;36,2;34,9;31,99;34,13;29,33;34,51;32,6;29,39;31,42;;79,14;44,16;33,43;20,40;6,76;6,31;3,10;1,44;1,29;;;18,03;21,68;27,45;32,16;43,71;40;37,65;33,28;40,04;49,08;
1300680;Boa Vista do Ramos;;;;;2;;2;2;;;;33,84;32,79;35,26;33,54;38,05;37,58;31,77;33;33,82;28,41;;406,27;346,82;287,86;231,99;184,07;117,15;63,71;9,61;2,13;;;57,32;78,05;65,38;53,92;54,4;51,52;38,46;48,15;41,82;45,45;
1300706;Boca do Acre;;;;;2;;2;2;;;;40,87;32,37;34,3;32,17;32,61;29,93;33,7;31,74;24,96;27,06;;33,02;35,24;27,10;20,82;6,72;1,32;0,00;0,00;9,33;;;32,02;26,62;24,96;22,7;24,9;25,79;26,6;34,2;33,53;40,66;
