IBGE;MUNIC;OP3114;OP3115;OP3116;OP3117;OP3118;OP3119;OP3120;OP3121;OP3122;OP3123;OP3214;OP3215;OP3216;OP3217;OP3218;OP3219;OP3220;OP3221;OP3222;OP3223;OP33A14;OP33A15;OP33A16;OP33A17;OP33A18;OP33A19;OP33A20;OP33A21;OP33A22;OP33A23
1100015;Alta Floresta D'Oeste;0;0;0;0;13,99;13,99;13,99;41,96;97,9;153,85;28,17;0;93,9;319,25;319,25;244,13;450,7;488,26;535,21;798,12;0;0;64,84;172,9;108,06;86,45;129,67;151,29;129,67;237,74
1100023;Ariquemes;0;0;0;0;0;103,09;309,28;103,09;0;103,09;59,37;110,55;67,56;182,21;165,83;245,68;139,22;184,26;446,31;560,96;75,82;94,77;118,46;156,37;85,29;118,46;104,25;127,94;165,85;213,23
1100031;Cabixi;0;0;0;0;0;0;0;0;0;0;37,78;0;37,78;0;0;0;0;37,78;151,11;37,78;91,24;0;0;0;0;0;0;0;0;0
1100049;Cacoal;5,97;5,97;11,94;11,94;29,85;17,91;17,91;41,79;89,55;35,82;24,81;67,65;90,2;101,48;81,18;160,11;227,76;169,13;207,46;326,98;22,9;28,62;28,62;62,97;22,9;80,15;57,25;68,7;80,15;85,87
1100056;Cerejeiras;0;0;0;0;0;0;0;0;0;0;286,64;24,93;0;12,46;24,93;24,93;62,31;74,78;24,93;37,39;59,21;59,21;0;29,6;59,21;0;29,6;29,6;0;29,6
1100064;Colorado do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,72;38,16;38,16;76,32;0;0;0;0;0;0;0;64,83;0;0
1100072;Corumbiara;0;0;0;0;0;0;0;0;0;0;0;27,75;0;55,49;27,75;0;0;27,75;0;27,75;0;0;0;65,32;65,32;0;0;0;0;0
1100080;Costa Marques;0;0;0;0;0;0;0;0;24,39;170,73;0;0;16,43;164,26;361,37;262,81;246,39;65,7;213,53;279,24;0;0;0;0;31,38;94,13;31,38;0;31,38;31,38
1100098;Espigão D'Oeste;0;0;0;0;0;0;0;0;15,55;31,1;0;0;0;6,82;0;6,82;81,89;0;61,42;150,13;0;0;0;0;0;0;31,56;0;31,56;205,14
1100106;Guajará-Mirim;0;5,61;7,48;0;3,74;1,87;1,87;3,74;33,67;80,43;71,22;111,91;71,22;81,39;127,17;203,48;71,22;50,87;86,48;213,65;0;37,82;18,91;9,45;28,36;85,09;18,91;0;94,54;160,73
1100114;Jaru;0;0;0;0;298,51;0;0;149,25;0;3432,84;39,01;11,7;7,8;27,31;120,94;105,34;93,63;132,65;113,14;113,14;18,89;18,89;18,89;37,78;66,12;47,23;9,45;37,78;66,12;122,79
1100122;Ji-Paraná;0;0;0;0;19,22;6,41;6,41;12,81;12,81;57,66;11,08;11,08;47,49;77,56;61,73;145,63;129,8;207,36;277,01;174,12;7,51;15,02;18,77;48,81;22,53;71,34;52,57;105,14;161,46;71,34
1100130;Machadinho D'Oeste;0;0;0;256,41;0;0;0;0;0;256,41;27,23;13,61;0;20,42;40,84;20,42;40,84;20,42;54,45;313,1;13,83;13,83;0;13,83;13,83;13,83;13,83;13,83;27,66;235,13
1100148;Nova Brasilândia D'Oeste;0;0;0;0;0;0;0;0;0;0;104,34;0;0;78,26;26,09;26,09;13,04;13,04;13,04;156,51;130,08;0;0;130,08;0;32,52;32,52;0;65,04;227,64
1100155;Ouro Preto do Oeste;0;0;0;0;0;0;227,27;0;0;0;5,61;5,61;0;0;0;22,46;50,52;5,61;106,66;123,51;0;0;0;0;0;0;28,6;0;14,3;42,91
1100189;Pimenta Bueno;0;0;0;0;0;0;0;0;0;0;17,14;5,71;5,71;0;205,67;291,36;114,26;17,14;0;0;13,35;0;13,35;0;93,43;146,82;26,7;0;0;0
1100205;Porto Velho;22,83;11,42;11,42;15,22;7,61;15,22;11,42;11,42;41,86;57,08;73,07;125,21;171,36;170,08;165,8;121,79;130,33;117,94;192,3;252,98;73,2;149,3;236,95;215,76;181,08;136,78;146,41;120,4;195,53;225,39
1100254;Presidente Médici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124,06;134,39;41,35;113,72;248,11;0;0;0;0;0;157,94;26,32;0;105,29;236,9
1100262;Rio Crespo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184,84;246,46;369,69;492,91;0;0;0;0;0;0;133,33;0;133,33;400
1100288;Rolim de Moura;0;0;0;0;0;0;103,09;0;0;0;3,5;21;31,51;238,05;171,53;49,01;91,02;28,01;157,53;115,52;0;17;8,5;85;42,5;25,5;76,5;34;85;34
1100296;Santa Luzia D'Oeste;0;0;0;0;0;0;0;0;0;0;379,71;108,49;54,24;135,61;162,73;27,12;0;27,12;298,35;27,12;205,06;0;0;68,35;0;0;0;0;205,06;68,35
1100304;Vilhena;543,29;237,69;118,85;203,74;101,87;84,89;288,62;118,85;254,67;101,87;135,62;100,68;110,96;195,2;324,66;326,71;279,45;285,61;248,63;410,96;71,8;38,3;62,23;119,67;129,25;76,59;57,44;71,8;143,61;138,82
1100320;São Miguel do Guaporé;0;0;0;0;0;0;0;0;0;0;9,41;28,22;9,41;0;9,41;37,62;75,24;65,84;141,08;65,84;0;0;0;20,89;41,79;0;20,89;20,89;20,89;0
1100338;Nova Mamoré;0;0;0;0;0;0;0;0;0;0;0;32,24;8,06;24,18;24,18;16,12;24,18;24,18;161,21;475,58;0;15,21;15,21;15,21;0;0;30,42;0;45,63;152,09
1100346;Alvorada D'Oeste;0;0;0;0;0;0;0;0;0;0;0;30,75;123;123;107,63;30,75;15,38;138,38;46,13;107,63;0;0;0;38,28;38,28;38,28;0;38,28;0;76,57
1100379;Alto Alegre dos Parecis;0;0;0;0;0;0;0;0;0;0;53,57;0;0;17,86;53,57;0;0;17,86;17,86;53,57;38,36;0;0;38,36;0;0;0;0;0;0
1100403;Alto Paraíso;0;0;0;0;0;0;0;0;0;0;0;12,53;0;0;25,07;62,67;87,74;75,21;62,67;137,88;0;27,17;0;0;0;108,7;54,35;27,17;54,35;54,35
1100452;Buritis;0;0;0;212,77;0;0;0;0;0;0;7,26;14,52;7,26;123,42;159,72;333,96;181,5;145,2;304,92;326,7;15,47;0;0;154,73;170,2;201,14;46,42;77,36;123,78;77,36
1100502;Novo Horizonte do Oeste;0;0;0;0;0;0;0;0;0;0;26,71;0;0;0;0;0;160,26;0;0;53,42;66,36;0;0;0;0;0;66,36;0;0;66,36
1100601;Cacaulândia;0;0;0;0;0;0;0;0;0;0;0;0;49,7;49,7;49,7;0;248,51;198,81;248,51;198,81;0;0;0;107,64;0;0;322,93;107,64;322,93;215,29
1100700;Campo Novo de Rondônia;0;0;0;0;0;0;0;0;0;0;23,92;0;23,92;0;167,42;143,51;47,84;119,59;191,34;143,51;0;0;0;0;193,8;96,9;0;0;0;96,9
