IBGE;MUNIC;OP4114;OP4115;OP4116;OP4117;OP4118;OP4119;OP4120;OP4121;OP4122;OP4123;OP4124;OP4214;OP4215;OP4216;OP4217;OP4218;OP4219;OP4220;OP4221;OP4222;OP4223;OP4224
1100015;Alta Floresta D'Oeste;21,14;20,92;25,31;27,43;31,38;43,02;43,89;48,14;50,70;;;25,06;26,37;34,97;36,14;43,71;58,28;60,18;65,42;70,81;;
1100023;Ariquemes;35,74;33,38;31,69;34,99;38,20;41,32;39,78;41,79;50,78;;;43,30;44,22;41,60;46,15;50,45;54,51;53,10;56,18;69,08;;
1100031;Cabixi;26,16;27,82;32,50;37,73;36,35;40,21;36,35;39,11;42,96;;;35,16;37,39;45,20;52,46;48,55;56,36;52,46;54,69;62,50;;
1100049;Cacoal;42,65;39,46;45,10;44,63;47,95;50,77;51,49;53,05;55,65;;;48,36;48,74;51,39;55,70;58,97;64,40;65,79;68,96;70,90;;
1100056;Cerejeiras;24,71;25,87;25,00;28,59;31,50;33,43;36,34;38,67;44,97;;;30,60;32,50;30,79;36,30;39,91;43,14;46,56;49,41;60,43;;
1100064;Colorado do Oeste;29,18;18,08;31,95;26,78;34,63;35,01;35,78;34,44;36,35;;;24,69;20,92;29,59;32,23;47,88;49,39;52,21;51,27;55,61;;
1100072;Corumbiara;19,74;21,15;21,35;21,56;26,59;45,73;32,03;33,64;41,50;;;22,58;24,26;23,84;23,84;28,44;56,04;38,90;42,24;47,26;;
1100080;Costa Marques;23,69;24,38;26,30;24,38;25,20;26,30;26,72;35,39;38,42;;;33,35;33,06;36,54;34,51;37,41;37,99;38,86;51,62;56,55;;
1100098;Espigão D'Oeste;22,42;24,20;25,92;27,97;33,79;36,97;36,05;37,29;36,00;;;28,65;31,68;33,62;36,22;44,86;50,70;50,16;51,57;52,32;;
1100106;Guajará-Mirim;26,45;26,77;24,82;27,04;29,48;31,06;31,83;31,33;34,54;;;37,74;37,03;31,66;35,95;39,80;41,59;42,84;42,21;45,88;;
1100114;Jaru;32,33;32,11;29,87;35,99;43,30;43,95;46,44;47,15;49,82;;;43,24;42,20;38,66;49,04;59,85;59,55;62,17;62,29;66,51;;
1100122;Ji-Paraná;31,81;34,07;36,81;38,88;42,24;47,53;47,92;52,75;54,69;;;39,09;42,19;45,17;48,71;52,87;58,63;60,13;66,43;69,48;;
1100130;Machadinho D'Oeste;27,39;32,32;34,29;39,75;45,59;46,44;41,93;46,07;42,67;;;42,76;50,96;54,28;63,25;73,34;75,22;66,91;73,78;67,91;;
1100148;Nova Brasilândia D'Oeste;22,83;23,70;25,16;25,35;24,97;28,37;24,48;28,75;31,18;;;28,58;29,57;32,55;32,15;32,15;35,72;30,56;37,51;40,48;;
1100155;Ouro Preto do Oeste;30,85;31,07;30,38;35,96;37,04;41,28;38,73;38,73;37,99;;;38,79;39,38;39,04;47,10;48,87;54,24;51,72;51,64;51,22;;
