prod;fert;pest
67,09;92,205;1,54
68,20;90,078;1,52
72,56;84,303;1,56
73,31;80,923;1,60
75,43;82,004;1,71
77,22;87,394;1,81
80,43;90,348;1,88
81,96;91,837;1,96
83,72;92,407;1,99
86,67;93,719;2,06
88,49;91,788;2,05
89,42;93,327;2,03
91,22;96,390;2,06
93,83;99,706;2,12
97,54;103,935;2,23
99,95;102,064;2,27
102,65;107,275;2,31
106,19;108,398;2,50
110,28;99,189;2,53
111,75;106,805;2,47
114,48;112,435;2,63
118,13;116,139;2,67
119,46;117,133;2,68
123,77;119,749;2,64
125,60;120,093;2,68
