;AGRO;IEXT;ITRA;IELE;ICON;SCON;STRA;SINF;SFIN;SIMO;SOSE;SADM;VA;IMP;PIB;CFAM;CGOV;FBC;EXP;IMPOR;RPRIM
1997.I;9966,149715;1096,767611;23619,050072;4053,552181;10859,405568;13312,429313;5083,499906;3915,461708;15588,252251;15582,302219;22594,837771;26433,269209;152447,803947;24295,420815;176732,253491;116539,905406;35940,992417;37012,818618;12583,746942;17469,310000;312,284
1997.II;9743,808712;1142,219863;26918,188386;3971,517906;11614,172331;14757,726150;5789,695457;4069,272348;15051,693047;15695,692568;23288,400308;26703,072329;158774,896363;26437,814428;185109,483746;118881,658506;36670,028920;40103,562539;15897,837171;20292,901195;430,802
1997.III;9702,871719;1244,419968;28202,175408;4075,258751;12589,109072;15650,672557;6169,993889;4092,869506;17839,454039;15749,901524;24074,891541;26588,053661;165600,189580;27768,058813;193244,899552;120195,355168;36566,731269;40895,751615;16655,431826;22132,607279;184,094
1997.IV;7310,161374;1261,296356;26572,174329;4213,751666;12291,248611;15189,563787;6232,564081;4462,105376;18642,335897;16155,203483;25139,409383;26536,009066;164180,380819;26885,801780;190996,037177;122784,743494;37682,084324;39120,156687;13625,549464;20883,424928;-484,007
1998.I;9825,113241;1181,109022;22615,581330;4208,005222;11530,068692;13379,063439;5226,260546;4091,286364;15263,858564;16041,395738;22824,179041;26836,514683;153828,682640;24669,712923;178512,963194;115955,507253;36380,049913;38304,214441;13895,032791;18841,591179;723,267
1998.II;11018,403486;1199,152185;25971,841038;4066,449829;12173,067314;14833,757965;5881,437621;4112,797478;14820,651509;16174,754224;23778,494500;27466,649793;161855,127311;26046,253195;187903,995178;117598,090981;37498,744616;40965,745888;16662,398513;19836,487825;-25,466
1998.III;10208,154198;1266,665014;26836,131255;4096,682199;12591,560558;15300,428223;6302,400115;4586,522592;17610,823190;16147,227715;24463,460979;27535,703519;166899,992486;27057,813548;193932,077831;120234,107462;38532,602540;40401,408250;16632,922013;21670,625012;1136,640
1998.IV;6923,166282;1269,372529;24789,748611;4145,681054;11815,161343;14295,218196;6024,990212;5062,952733;18430,315168;16444,075703;25075,645305;27495,816457;162423,606630;25778,816603;188256,127630;121169,399582;39179,921223;37203,474093;14456,399447;20383,769435;-106,239
1999.I;11061,007076;1167,804004;21655,490812;4124,434798;10867,879780;13037,906040;5120,420263;4857,382141;15364,321041;16643,624707;23192,892193;27900,503798;156302,164496;23339,434137;179883,349009;114869,726408;36637,385535;35087,198672;13881,698960;15475,854975;1461,521
1999.II;11194,743864;1109,348689;24910,747319;4118,366897;11368,521027;14231,841668;5383,546715;5024,415550;14891,080676;16594,850292;23879,711418;28442,610826;162013,945164;24991,636087;187150,990294;116884,012133;37869,879147;36705,129274;16493,773549;16867,619612;1185,981
