AGE;GENDER;EDU;MARRY;JOB;INCOME;HOUSE;OWN;CHILD;TEEN;ADULT;PET;STATE;POP;LIST;SHOP;STORE1;LABEL;STORE2;LUNCH;COOK;CHECK;MAID;LEFT1;LEFT2;FREEZE1;FREEZE2;OUT;READY;WASTE1;WASTE2;HARD;AVOID;FOOD1;FOOD2;DISC1;EXPIRED;SPOILED;DISLK;BADCK;NKEEP1;NKEEP2;DISC2;CERE;ROOTS;BEANS;MILK;PROTE;FRUIT;SWEET;DRINK;DISH;BREAD
19;1;14;1;0;10000;1;1;0;0;5;1;PE;1653461;4;4;7;5;3;4;4;4;0;4;4;2;3;3;3;4;4;2;1;3;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
62;1;16;0;0;4500;0;1;0;0;4;0;PB;817511;4;4;15;4;2;5;4;5;0;4;5;2;4;3;3;4;4;4;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;1;16;1;0;2500;1;1;0;1;1;1;DF;3055149;4;2;30;5;5;5;5;5;0;5;4;3;4;2;2;5;5;4;3;3;2;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
28;0;16;0;1;2500;1;1;2;0;2;1;PE;354317;4;4;15;3;2;4;4;1;0;3;3;2;2;4;2;3;4;3;2;4;3;3;1;1;0;0;0;1;4;0;0;1;0;1;0;0;0;1;1
44;1;16;0;1;8000;1;1;0;0;3;1;RJ;44518;4;4;7;5;5;5;5;2;0;5;4;2;2;2;2;4;5;5;4;2;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
45;1;14;0;0;4500;1;1;0;0;2;1;SP;1213792;4;4;7;5;5;5;5;4;0;5;5;3;3;3;3;5;5;4;3;3;2;2;0;1;0;1;0;0;3;1;1;0;0;0;0;0;0;0;1
33;0;12;0;1;1500;1;0;1;0;2;0;RN;300618;4;4;15;5;5;5;5;5;0;5;4;5;4;3;2;4;5;5;3;4;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
33;1;5;0;0;1500;1;0;1;0;2;0;RN;300618;4;4;15;5;5;5;5;5;0;4;3;3;1;2;3;4;5;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;1;16;0;1;10000;0;1;0;0;2;0;PE;1653461;4;4;7;3;2;4;4;5;0;4;5;4;2;3;2;4;5;5;5;3;2;1;1;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0
34;1;16;1;1;2500;1;1;1;1;2;0;PE;393115;3;3;30;5;5;4;4;5;0;5;3;2;2;2;2;4;4;3;3;3;3;2;1;1;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0
