Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
0;710;0;CE;220;0;0;190000;40;20;70;30;60;50;50;60;70;70;50;10;40;30;30;40;20;30;30;20;30;20;30;10;0;0;0;0;0;10;1010;3;70;70;5
1;280;10;BA;160;10;10;45000;20;20;70;40;60;50;40;70;70;40;70;20;30;20;30;40;20;30;30;50;40;20;10;10;0;0;0;10;0;20;895;3;70;70;0
2;310;10;PE;180;0;10;45000;20;20;70;50;70;50;60;40;60;60;60;30;40;40;50;50;30;50;50;30;50;30;50;10;10;10;0;10;0;40;1025;3;70;70;0
3;280;10;SP;160;10;10;100000;30;20;70;50;70;30;0;70;0;50;70;70;40;30;30;40;10;10;40;10;50;20;10;0;0;0;0;0;10;0;930;3;70;70;3,33333E+15
5;240;10;PB;140;10;0;100000;40;10;70;30;30;70;30;50;40;50;30;30;20;30;30;40;30;20;20;40;40;30;10;10;10;0;0;0;0;20;840;3;70;70;75
6;690;10;PB;160;10;0;100000;10;10;70;70;60;60;60;60;30;70;70;70;40;40;50;40;30;40;40;40;40;30;10;10;0;0;0;10;0;20;1070;3;70;70;0
7;460;10;SP;160;0;10;412500;40;30;70;70;70;70;70;70;70;70;70;70;40;30;30;40;30;30;40;20;40;20;30;10;0;0;10;10;0;30;1120;3;70;70;25
8;480;10;PE;160;0;10;135000;40;10;0;60;10;70;70;70;70;30;40;20;10;20;30;40;20;30;40;20;40;20;30;10;10;0;0;10;0;30;720;3;60;70;75
9;210;10;PE;120;10;0;45000;40;10;70;50;50;40;60;70;50;70;70;70;40;20;30;40;20;40;30;30;40;20;30;10;0;0;0;0;0;10;1020;3;70;70;75
10;200;0;PE;140;10;0;275000;50;20;70;40;60;70;70;70;70;70;70;70;40;10;10;40;20;30;40;40;30;10;10;10;0;0;0;0;0;10;1090;3;70;70;6
11;480;10;PE;160;0;10;412500;60;50;70;70;50;70;70;70;70;70;70;70;30;20;50;40;20;30;30;30;40;20;20;10;0;0;0;10;0;20;1060;3;70;70;1,66667E+15
12;320;10;RS;180;10;10;80000;20;20;70;70;70;50;70;50;70;70;70;50;40;40;40;50;30;40;50;30;50;30;30;10;10;0;0;10;0;30;1090;3;70;70;0
13;600;10;PE;160;0;10;80000;20;20;70;70;50;60;70;60;70;60;30;50;40;40;50;40;40;50;30;30;20;20;30;10;0;0;0;0;0;10;980;3;70;70;0
14;730;10;PE;120;0;10;25000;20;10;40;20;50;30;30;40;40;40;40;70;20;20;40;20;30;30;30;30;10;20;30;10;0;0;0;10;0;20;825;3;60;70;5
15;730;10;PE;120;0;10;25000;20;10;40;20;50;30;30;40;40;40;40;70;20;20;40;20;30;30;30;30;10;20;30;10;0;0;0;10;0;20;825;3;60;70;5
16;230;10;PE;140;10;0;45000;20;10;40;20;10;0;30;20;40;50;10;30;30;30;40;30;20;40;30;10;50;40;50;0;10;0;0;10;0;20;640;3;60;60;5
17;640;10;PE;220;10;0;190000;10;10;70;30;70;70;70;60;40;70;70;30;40;40;50;40;40;40;30;20;40;30;40;10;0;0;0;0;0;10;1100;3;70;70;0
18;240;0;PE;140;10;10;45000;10;10;70;70;20;60;50;70;60;70;40;70;30;40;40;40;30;50;50;20;50;20;30;10;10;0;0;0;0;20;925;3;70;70;0
19;250;10;PE;140;10;10;65000;20;20;40;60;30;30;20;70;40;70;70;70;30;20;20;30;20;20;10;40;40;20;40;10;10;0;0;10;0;30;910;3;70;70;0
20;490;10;PE;160;10;10;412500;20;20;70;30;40;70;70;60;50;70;50;10;30;30;40;40;30;40;10;20;50;20;30;0;0;0;0;0;10;0;990;3;70;70;0
21;290;10;RJ;160;0;0;25000;20;10;70;40;50;70;0;50;20;50;70;70;40;10;30;50;10;10;50;30;50;20;10;10;0;0;0;10;0;20;910;3;70;70;5
22;570;0;CE;50;0;10;15000;40;20;60;10;30;70;60;70;40;40;70;30;40;20;30;50;30;40;40;40;40;20;30;0;10;0;0;10;0;20;850;3;70;70;5
23;260;10;PE;140;10;10;15000;10;0;70;40;50;50;70;70;70;70;70;70;10;10;40;40;30;40;40;40;40;20;40;10;10;0;10;10;0;40;1040;3;70;70;10
24;550;10;PE;120;0;10;45000;20;20;20;60;30;50;70;60;70;30;70;0;20;40;40;30;20;30;20;40;20;10;10;10;10;0;0;0;0;20;785;3;70;70;0
25;260;10;PE;120;10;10;15000;40;20;70;10;70;60;40;60;50;40;60;20;20;30;50;50;30;40;30;20;30;10;20;10;0;0;10;10;0;30;930;3;70;70;5
26;460;10;PE;160;0;10;25000;30;20;70;50;60;70;70;70;0;70;30;70;30;30;40;30;30;40;30;40;50;40;30;10;0;0;0;0;0;10;1070;3;70;70;3,33333E+15
27;380;10;PE;160;0;10;15000;40;10;70;40;50;30;60;70;50;60;70;60;20;30;30;30;20;20;20;10;10;10;10;10;0;0;0;0;0;10;965;3;70;70;75
28;620;10;RJ;160;0;0;190000;20;20;70;70;70;70;70;70;40;40;40;0;50;40;40;50;40;40;30;30;50;20;30;0;0;0;0;10;0;10;950;3;70;70;0
29;400;10;PE;160;0;10;45000;30;20;50;50;50;60;10;60;20;60;40;70;30;20;50;50;30;50;40;30;50;20;20;10;10;0;10;10;0;40;935;3;70;70;3,33333E+15
30;300;10;PE;180;10;10;45000;30;20;70;30;20;10;10;70;50;60;70;70;20;20;20;40;20;40;40;40;40;10;10;10;10;0;0;10;0;30;810;3;70;70;3,33333E+15
31;200;10;PE;120;10;0;190000;30;10;70;50;50;70;70;70;60;70;70;30;30;20;30;40;30;50;10;20;30;10;10;10;10;0;10;10;0;40;1040;3;70;70;6,66667E+15
32;260;10;PE;140;10;10;65000;50;20;60;40;50;70;60;70;50;60;50;70;20;20;40;20;20;40;20;30;20;20;20;10;10;0;0;10;0;30;1000;3;70;70;6
33;370;10;PE;160;0;10;65000;40;20;70;40;60;50;50;70;70;70;60;70;10;10;20;40;20;40;40;20;30;10;10;10;0;0;0;10;0;20;1045;3;70;70;5
34;500;10;PE;160;10;10;190000;30;10;70;0;30;20;20;50;0;60;0;40;40;10;10;50;20;10;50;10;50;30;10;10;0;0;0;10;0;20;730;3;70;50;6,66667E+15
35;490;10;RJ;140;0;10;45000;30;10;70;20;50;20;20;40;10;30;70;50;50;40;50;50;30;30;50;30;50;30;50;0;10;0;0;10;0;20;710;3;70;50;6,66667E+15
36;480;10;RJ;160;0;0;412500;30;20;70;70;70;70;70;70;30;70;70;50;20;20;20;50;20;10;50;40;50;10;10;10;10;0;0;10;0;30;1110;3;70;70;3,33333E+15
37;330;10;SP;160;10;10;45000;20;10;70;40;60;40;40;50;10;70;70;70;20;20;40;10;20;50;50;20;50;10;50;10;10;0;10;10;0;40;990;3;70;60;5
38;620;0;RJ;180;0;10;412500;30;20;70;70;70;70;20;70;10;70;70;70;50;10;10;50;10;10;50;40;50;10;10;10;10;0;0;10;0;30;1070;3;70;70;3,33333E+15
39;420;10;PE;220;10;10;65000;10;0;50;30;50;60;50;20;30;70;50;20;40;50;50;40;30;50;20;30;50;20;40;10;0;0;0;10;0;20;915;3;70;50;10
40;250;0;PE;160;10;10;25000;20;20;70;10;40;0;0;70;10;70;70;70;20;10;30;20;10;10;20;10;30;10;10;0;0;0;0;10;0;10;890;3;70;70;0
41;310;10;PE;180;0;10;80000;20;20;60;70;40;70;30;60;50;20;50;10;20;20;40;40;40;40;40;40;40;30;30;10;0;0;10;10;0;30;750;3;70;70;0
42;630;0;RJ;160;0;10;275000;30;10;70;60;70;70;30;50;50;50;60;50;20;10;20;40;10;10;20;10;30;10;10;0;0;0;0;0;10;0;985;3;70;70;6,66667E+15
43;600;0;RJ;180;0;10;412500;30;20;70;0;30;50;70;40;20;70;70;10;50;10;10;50;20;10;50;50;20;10;10;10;0;0;0;10;0;20;910;3;70;60;3,33333E+15
