,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
0,71.0,0.0,CE,22.0,0.0,0.0,19000.0,4.0,2.0,7.0,3.0,6.0,5.0,5.0,6.0,7.0,7.0,5.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,3,7.0,7.0,0.5
1,28.0,1.0,BA,16.0,1.0,1.0,4500.0,2.0,2.0,7.0,4.0,6.0,5.0,4.0,7.0,7.0,4.0,7.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,89.5,3,7.0,7.0,0.0
2,31.0,1.0,PE,18.0,0.0,1.0,4500.0,2.0,2.0,7.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,102.5,3,7.0,7.0,0.0
3,28.0,1.0,SP,16.0,1.0,1.0,10000.0,3.0,2.0,7.0,5.0,7.0,3.0,0.0,7.0,0.0,5.0,7.0,7.0,4.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0,3,7.0,7.0,0.3333333333333333
5,24.0,1.0,PB,14.0,1.0,0.0,10000.0,4.0,1.0,7.0,3.0,3.0,7.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,84.0,3,7.0,7.0,0.75
6,69.0,1.0,PB,16.0,1.0,0.0,10000.0,1.0,1.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,7.0,7.0,7.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,107.0,3,7.0,7.0,0.0
7,46.0,1.0,SP,16.0,0.0,1.0,41250.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,112.0,3,7.0,7.0,0.25
8,48.0,1.0,PE,16.0,0.0,1.0,13500.0,4.0,1.0,0.0,6.0,1.0,7.0,7.0,7.0,7.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,72.0,3,6.0,7.0,0.75
9,21.0,1.0,PE,12.0,1.0,0.0,4500.0,4.0,1.0,7.0,5.0,5.0,4.0,6.0,7.0,5.0,7.0,7.0,7.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,3,7.0,7.0,0.75
10,20.0,0.0,PE,14.0,1.0,0.0,27500.0,5.0,2.0,7.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,3,7.0,7.0,0.6
11,48.0,1.0,PE,16.0,0.0,1.0,41250.0,6.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,106.0,3,7.0,7.0,0.1666666666666666
