AGE;GENDER;EDU;OWNH;MARRY;JOB;INCOME;TYPEH;PPL;TEEN;PET;LIST;SHOP1;SHOP2;SHOP3;SHOP4;STOCK1;STOCK2;STOCK3;STOCK4;LABEL;STR;COOK1;COOK2;LEFT1;LEFT2;FREEZE1;FREEZE2;OUT;WHYOUT1;WHYOUT2;WHYOUT3;AWARE;TAKE1;TAKE2;WEIGHT;NONEED;EATMORE;ORDER;WORRY1;WORRY2;TOOLS1;TOOLS2;FOOD1;FOOD2;DISC11;DISC12;DISC13;DISC14;DISC15;DISC21;DISC22;DISC23;DISC24;DISC25;DISC26;DISC27;DISC28;DISC29;DISC10
47;1;7;2;2;1;3;2;3;1;2;4;2;4;5;4;7;7;4;4;5;5;5;2;3;3;3;4;1;1;1;1;1;1;4;2;4;3;1;5;5;5;1;5;3;1;1;1;0;1;1;1;0;0;0;1;1;0;1;1
43;1;5;1;2;2;3;3;5;2;2;3;3;4;4;4;7;4;3;3;5;4;5;2;2;2;2;3;1;0;0;1;1;1;3;1;3;2;1;3;4;5;4;3;3;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0
46;1;6;2;2;1;3;2;3;1;2;1;3;4;5;4;7;5;2;3;3;5;5;2;4;3;2;2;1;0;0;1;1;1;4;1;2;2;1;5;5;5;4;2;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0
48;2;5;2;2;1;3;2;3;1;2;2;2;3;4;4;7;2;2;2;3;3;3;2;3;3;3;4;1;1;0;1;2;1;4;1;1;1;2;1;1;3;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
50;1;6;1;2;1;3;2;5;1;2;5;4;3;4;4;7;4;2;2;5;5;5;2;3;3;1;2;1;1;1;1;1;1;3;1;3;1;3;4;5;3;3;2;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
50;1;7;1;2;1;3;3;4;2;2;2;3;4;4;4;7;4;2;4;4;4;5;2;4;3;2;4;1;0;0;1;1;1;4;1;2;2;1;3;4;4;3;3;2;1;1;1;0;1;0;1;0;0;1;1;1;0;1;1
41;1;6;1;2;1;2;2;3;1;1;1;3;3;3;4;7;7;2;2;2;3;3;1;2;2;1;4;1;1;0;0;1;1;4;1;3;2;1;3;4;4;2;4;3;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1
53;1;5;1;2;2;4;2;2;1;2;4;2;4;5;4;7;4;2;2;5;5;5;2;3;3;3;3;1;1;0;0;1;1;3;2;4;3;1;5;5;5;4;4;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0
26;1;6;2;1;1;3;3;1;1;2;4;2;4;5;3;7;1;2;3;3;4;5;2;3;1;2;3;1;0;0;1;1;1;1;1;4;3;2;3;3;4;4;3;2;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0
28;2;7;1;2;1;3;2;2;0;2;4;4;4;4;4;7;5;3;3;5;4;4;2;3;1;2;3;1;1;1;1;1;1;3;1;2;1;3;4;4;3;4;3;2;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0
24;2;6;1;1;2;5;1;4;2;2;2;2;3;4;4;7;4;2;5;5;3;3;2;3;2;2;2;2;1;0;1;2;2;2;2;3;2;1;3;2;4;3;3;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1
26;1;7;4;1;2;5;1;4;1;1;2;3;3;4;4;7;1;1;1;5;2;5;2;1;1;2;2;1;0;1;0;2;1;3;2;2;3;2;1;2;3;3;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
33;1;5;2;1;1;3;2;2;0;2;5;2;2;4;4;7;7;4;4;5;5;3;2;3;1;3;3;2;0;0;1;1;1;2;1;3;1;1;5;5;3;4;5;2;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0
33;1;6;2;1;2;3;3;1;0;1;2;2;4;4;5;7;1;1;2;3;4;2;2;3;3;2;2;4;1;0;0;1;3;2;2;4;3;2;4;4;5;3;5;3;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0
23;1;5;2;1;1;3;2;1;1;2;3;3;3;4;4;7;2;2;3;5;4;3;2;3;4;3;3;1;1;0;1;2;2;3;1;1;1;1;5;5;5;4;2;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
52;1;5;2;2;1;4;3;5;1;2;3;2;4;4;4;6;2;1;1;5;5;4;2;2;2;3;2;1;0;0;1;1;1;3;2;3;2;1;4;4;4;4;5;3;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0
41;1;5;1;2;1;3;2;3;1;2;5;4;4;4;4;2;2;2;2;5;5;2;2;1;1;2;5;1;1;0;0;1;1;3;2;2;2;2;4;4;5;5;3;2;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0
27;1;6;1;2;1;3;2;2;0;2;4;2;3;4;4;7;4;3;3;5;4;3;2;4;4;2;4;2;1;0;0;2;3;2;2;2;2;1;4;3;4;3;3;2;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0
50;1;4;2;2;2;3;3;3;1;1;5;4;4;4;5;1;1;1;1;5;3;5;2;1;1;1;1;1;1;0;0;2;1;4;1;4;3;1;4;4;3;5;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
43;1;5;1;2;2;3;2;3;1;2;3;3;3;4;4;7;5;4;4;5;5;5;2;3;3;3;3;1;0;0;1;1;1;1;1;4;3;1;4;4;5;4;3;2;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0
25;2;7;1;1;2;3;2;4;2;2;4;3;3;4;4;6;3;3;3;5;2;5;2;5;2;1;1;1;0;1;1;2;1;3;1;1;1;2;5;5;5;5;2;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
26;1;6;2;1;1;4;4;2;2;1;3;4;4;4;4;3;3;2;2;3;3;2;2;3;2;3;3;1;1;1;1;2;2;3;2;1;2;1;5;3;3;4;3;3;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0
34;2;6;1;2;1;3;2;3;1;2;2;2;2;2;2;2;2;2;2;5;5;3;2;4;1;1;3;1;0;1;1;2;1;3;2;4;3;2;1;2;1;1;3;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
26;2;6;1;1;2;3;2;2;1;2;2;4;2;2;2;6;2;3;4;2;2;3;2;4;3;2;2;2;0;0;1;1;2;2;2;3;1;2;2;3;5;4;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
27;2;6;1;1;1;3;2;1;1;2;2;3;4;4;4;7;2;2;2;5;5;4;2;3;1;3;3;2;1;1;1;1;3;4;1;3;2;1;2;3;5;4;3;3;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
