SM;SMI
64.79;590.33
64.79;645.53
70;695.64
70;740.83
70;744.25
70;728.9
70;723.82
70;701.14
70;739.24
70;812.78
100;773.18
100;735.49
100;729.99
100;723.65
100;710.89
100;729.57
100;742.41
100;763.09
100;781.35
100;781.85
100;764.17
100;775.26
112;801.95
112;803.28
112;823.21
112;817.08
112;814.39
112;809.44
112;794.4
112;778.27
112;774.4
112;787.93
112;849.51
112;863.71
120;820.86
120;790.11
120;770.37
120;768.36
120;776.42
120;789.69
120;802.13
120;837.16
120;864.88
120;854.55
120;869.76
120;916.3
130;942.09
130;936.46
130;882.78
130;852.11
130;844.55
130;861.02
130;854.89
130;857.66
130;880.93
130;896.81
130;892.86
130;878.24
136;882.53
136;896.22
136;870.76
136;892.44
136;908.74
136;933.44
136;940.16
136;940.58
136;942.76
136;930.83
136;967.21
151;973.84
151;939.06
151;919.41
151;936.12
151;936.01
151;1003.67
151;1030.05
151;1021.65
151;1004.26
151;1036.35
151;1037.02
151;1066.68
180;1092.97
180;1090.28
180;1072.14
180;1055.84
180;1070.46
180;1076.84
180;1081.04
180;1091.04
180;1101.54
180;1116.66
180;1084.91
180;1091.21
200;1143.29
200;1121.53
200;1129.18
200;1154.63
200;1168.92
200;1247.97
200;1270.4
200;1357.43
200;1378.19
200;1385.91
200;1399.1
200;1466.73
240;1557.55
240;1478.16
240;1421.62
240;1396.5
240;1359.03
240;1366.76
240;1391.37
240;1408.76
240;1420.61
240;1445.39
240;1422.46
240;1402.63
240;1386.47
260;1522.01
260;1538.06
260;1527.56
260;1596.11
260;1532.18
260;1510.67
260;1439.68
260;1468.08
260;1452.28
260;1474.96
260;1477.49
260;1538.64
300;1588.8
300;1538.56
300;1497.23
300;1471.18
300;1458.42
300;1468.24
300;1551.41
300;1607.11
300;1496.56
300;1474.71
300;1489.33
350;1536.96
350;1503.7
350;1447.58
350;1436.74
350;1442.62
350;1492.69
350;1510
350;1613.08
350;1564.52
350;1565.61
350;1562.25
350;1620.89
380;1672.56
380;1620.64
380;1628.96
380;1688.35
380;1733.88
380;1737.16
380;1797.56
380;1726.24
380;1803.11
380;1924.59
380;1900.31
415;1881.32
415;1918.12
415;1987.51
415;2072.7
415;2178.3
415;2025.99
415;1971.55
415;2014.73
415;2007.84
415;2141.08
415;2077.15
465;2075.55
465;2005.57
465;1972.64
465;2045.06
465;2046.99
465;1994.82
465;2005.07
465;2065.47
465;2085.89
465;2139.06
465;1995.91
510;1987.26
510;2003.3
510;2159.65
510;2257.52
510;2157.88
510;2092.36
510;2011.03
510;2023.89
510;2047.58
510;2132.09
510;2222.99
510;2227.53
540;2194.76
540;2194.18
545;2247.94
545;2255.84
545;2293.31
545;2297.51
545;2212.66
545;2278.77
545;2285.83
545;2329.94
545;2349.26
545;2329.35
622;2398.82
622;2323.21
622;2295.58
622;2329.35
622;2383.28
622;2416.38
622;2519.97
622;2589.78
622;2616.41
622;2617.33
622;2514.09
622;2561.47
678;2674.88
678;2743.69
678;2824.92
678;2892.47
678;2873.56
678;2860.21
678;2750.83
678;2685.47
678;2621.7
678;2729.24
678;2761.58
678;2765.44
724;2748.22
724;2778.63
724;2992.19
724;3019.07
724;3079.31
724;2979.25
724;2915.07
724;2861.55
724;2862.73
724;2967.07
724;2923.22
724;2975.55
788;3118.62
788;3182.81
788;3186.92
788;3251.61
788;3377.62
788;3299.66
788;3325.37
788;3258.16
788;3240.27
788;3210.28
788;3399.22
788;3518.51
880;3795.24
880;3725.01
880;3736.26
880;3716.77
880;3777.93
880;3940.24
880;3992.75
880;3991.4
880;4013.08
880;4016.27
880;3940.41
880;3856.23
937;3811.29
937;3658.72
937;3673.09
937;3899.66
937;3869.92
937;3727.19
937;3810.36
937;3744.83
937;3668.55
937;3754.16
937;3731.39
937;3585.05
954;3752.65
954;3682.67
954;3706.44
954;3696.95
954;3747.1
954;3804.06
954;3674.77
954;3636.04
954;3658.39
954;3783.39
954;3959.98
954;3960.57
998;3928.73
998;4052.65
998;4277.04
998;4385.75
998;4259.9
998;4214.62
998;4143.55
998;4044.58
998;3980.82
998;3978.63
998;4021.39
998;4342.57
1039;4347.61
1045;4366.51
1045;4483.2
1045;4673.06
1045;4694.57
1045;4595.6
1045;4420.11
1045;4536.12
1045;4892.75
1045;5005.91
1045;5289.53
1045;5304.9
1100;5495.52
1100;5375.05
1100;5315.74
1100;5330.69
1100;5351.11
1100;5421.84
1100;5518.79
1100;5583.9
1100;5657.66
1100;5886.5
1100;5969.17
1100;5800.98
1212;5997.14
1212;6012.18
1212;6394.76
1212;6754.33
