PROP;AGE;GENDER;MARRY;EDE;OCCUPATION;INCOME;HOURS;CHILD;TEEN;ADULT;ELDERLY;URBAN;REGION;MAIN;NOMAIN;SOFTDRINKS;SWEETDAIRY;ENERGYDRINK;READYMEALS;PROCMEAT;PACKBREAD;CEREALBAR;COOKSNACK;SWEETS;INSTANTMIX;CONSUMO;TASTE;CONVENIENCE;COST;CHILDREN;NOTIME;EASY;REASONS;HEALTH;OVER;COOKSKILL;COOK;SOURCE
0,1;65;0;1;22;6;20000;6;0;0;3;2;1;2;2;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;4;1
0,1;40;1;0;16;6;2251;10;0;0;1;0;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;1;5;2
0;52;1;1;9;8;1126;10;1;0;2;0;1;4;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;5;7
0,1;40;1;0;16;6;2251;10;0;0;1;0;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;5;2
0,2;65;0;0;16;7;11250;13;0;0;1;1;1;4;2;2;0;1;0;0;0;1;1;0;0;0;3;0;1;0;0;0;0;1;1;1;1;4;1
0,5;65;1;0;12;3;2251;2;1;0;2;1;1;2;1;1;0;0;0;0;0;1;0;1;0;0;2;0;0;1;0;0;0;1;1;0;0;2;2
0,9;52;1;0;9;8;750;6;0;0;3;1;1;2;5;5;0;1;0;1;0;0;0;1;1;1;5;1;1;0;0;0;0;2;1;0;1;5;2
0;65;0;0;12;3;5250;3;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;3;2
0,2;65;1;0;12;4;1126;3;0;0;1;1;1;4;1;1;1;0;0;0;0;1;0;0;0;1;3;0;1;0;0;0;0;1;2;0;1;4;1
0,1;52;1;0;16;6;5250;6;0;0;1;0;1;4;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;3;1
0,1;52;1;0;12;7;5250;6;0;0;1;0;1;5;1;2;1;1;0;0;0;1;0;0;0;0;3;1;0;0;0;0;0;1;1;0;1;5;1
0,1;65;1;1;12;8;5250;6;0;0;1;1;1;4;2;2;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;5;1
0,3;65;1;0;12;4;2251;6;1;0;1;1;1;4;2;2;0;1;0;1;0;1;0;0;1;0;4;1;1;0;0;1;1;4;1;1;1;4;2
0;65;1;1;12;3;2251;6;0;0;2;2;1;4;1;1;0;1;0;0;0;1;1;0;0;0;3;0;1;0;0;0;0;1;1;0;1;5;1
0,2;65;1;1;12;3;5250;3;0;0;2;2;1;4;2;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;1;5;1
0,3;65;0;0;16;3;5250;2;0;0;1;1;0;4;3;3;0;0;0;0;0;1;0;0;1;0;2;0;1;0;0;0;1;2;1;0;1;5;1
0,5;40;1;0;12;1;1126;3;0;0;1;2;0;4;2;3;1;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;1;1;1;1;1;2;1
0,2;65;1;0;12;6;5250;6;0;0;1;1;1;4;3;2;1;1;1;0;0;1;0;1;1;1;7;0;0;0;1;0;0;1;1;1;1;3;2
0,6;52;1;0;16;5;2251;10;0;0;1;2;1;4;4;4;0;1;0;1;0;1;0;0;0;0;3;0;1;1;0;1;0;3;1;1;1;3;1
