"sernum","miscat","percfunc","percnegfunc","percposfunc","percnofunc","cogseleva","mmUPFscons","snkUPFscons","propUPFscons","rihnutr","bdyshp","tstgdivtaro","rdytoeat","chp","esyacce","othreas","reassum","age","gender","edu","mrysta","occu","wrksty","wltock","ckskl","housdispinc","child","adol","adul","elder","freqck","freqtakout","supwhlmrk","locmrk","olgroc","homgro","rsttakout","cant","othpur","ovwob","region","ctyctry"
1,2,4,3,1,0,3,2,2,13,0,0,0,1,0,1,0,2,50,2,8,2,6,6,1,1,7,0,1,2,0,4,2,1,0,1,0,0,0,0,2,1,1
3,3,3,3,0,0,3,5,5,66,0,0,1,1,0,1,0,3,24,1,7,2,6,8,2,1,3,0,0,4,2,1,4,1,1,0,0,1,0,0,1,3,1
4,1,3,2,1,0,3,2,3,5,0,0,0,1,1,1,0,3,23,1,7,1,1,8,2,2,2,0,0,3,0,5,1,1,1,0,0,0,0,0,1,2,2
5,3,3,2,1,0,2,2,2,50,0,0,0,1,1,1,0,3,25,1,7,1,6,14,2,1,3,0,0,1,0,1,4,1,0,1,0,1,1,0,1,1,1
6,3,1,0,1,0,3,3,5,87,0,0,1,1,1,1,0,4,25,2,6,2,6,7,2,1,2,0,0,4,2,1,5,1,1,0,0,1,1,0,1,3,1
7,0,2,1,1,0,3,3,2,19,0,0,1,1,0,0,0,2,26,1,8,1,1,10,2,2,3,0,0,3,0,5,2,0,1,1,0,0,0,0,2,3,1
8,0,4,3,1,0,2,2,2,53,0,0,1,1,1,1,0,4,26,1,6,2,6,8,2,2,4,1,0,2,2,2,2,1,1,0,0,0,0,0,1,1,1
9,0,5,3,2,0,3,2,3,39,1,0,1,1,0,1,0,4,25,1,7,1,6,8,2,1,4,0,0,3,0,4,1,1,1,1,0,0,0,0,2,1,1
10,0,2,2,0,0,3,2,2,22,0,0,0,0,0,0,1,1,27,1,8,1,1,8,2,2,4,0,0,3,0,1,1,1,1,0,0,1,1,0,2,2,1
11,4,1,0,1,0,3,2,1,8,0,1,0,1,1,0,0,3,25,1,7,1,1,10,1,1,4,0,0,3,1,4,1,1,1,0,0,0,0,0,1,3,1
12,3,3,3,0,0,3,2,2,20,0,0,0,1,0,1,0,2,24,1,7,1,1,8,1,1,4,1,0,3,0,4,2,1,1,0,0,0,0,0,1,1,1
13,0,3,3,0,0,4,2,4,25,0,0,1,1,0,1,0,3,52,2,4,2,3,5,1,1,3,0,0,3,0,5,2,1,1,1,0,1,0,0,1,3,1
14,2,0,0,0,1,2,2,2,22,0,0,1,1,0,1,0,3,26,1,7,1,6,8,1,1,3,0,0,4,0,2,2,1,0,1,0,1,0,0,2,3,1
16,3,1,0,1,0,2,2,3,24,1,1,0,0,0,0,0,2,27,1,7,1,6,10,2,1,3,0,0,0,0,2,2,1,0,1,0,0,0,0,1,1,1
17,0,0,0,0,1,3,5,2,100,0,0,1,1,0,1,0,3,45,2,7,2,6,12,1,1,7,4,0,2,2,5,2,1,1,0,0,1,0,0,1,1,1
18,3,4,3,1,0,2,2,3,40,0,0,1,1,0,0,0,2,22,2,7,1,1,8,2,2,2,0,1,3,0,4,1,1,1,0,1,0,0,0,2,2,2
